bin,req_lo,req_hi,req_geomean,n,transmitted_frac,actual_over_requested_median,actual_median_s,actual_mean_s,n_unique_actual
0,0.1,0.15027295766349497,0.12258587098988813,443,0.9954853273137697,1.6737817014933611,0.20000000000000284,0.20993227990970656,14
1,0.15027295766349497,0.22581961804934544,0.18421341401406113,472,0.9957627118644068,1.2615214909220516,0.20000000000000284,0.24427966101694948,16
2,0.22581961804934544,0.3393458190271589,0.27682294565182874,470,0.997872340425532,1.2104467302460575,0.30000000000001137,0.3404255319148937,13
3,0.3393458190271589,0.5099449989595227,0.41599002792221224,437,0.9862700228832952,1.1044829175953417,0.5,0.47459954233409607,18
4,0.5099449989595227,0.7663094323935534,0.6251205185439069,406,0.9827586206896551,1.090273524066322,0.7000000000000028,0.6943349753694582,20
5,0.7663094323935534,1.1515558489121325,0.9393870921773051,406,0.9704433497536946,1.056323687042556,1.0,0.9913793103448276,23
6,1.1515558489121325,1.730477033307229,1.4116447673239378,425,0.9741176470588235,1.0357531851782527,1.5,1.4788235294117646,30
7,1.730477033307229,2.600439019638276,2.1213203435596433,416,0.9519230769230769,1.0258986717376157,2.200000000000003,2.1406249999999996,41
8,2.600439019638276,3.90775662704603,3.187770821784489,528,0.9526515151515151,1.0168573512582018,3.25,3.1907196969696976,64
9,3.90775662704603,5.8723014617533,4.790357497429451,453,0.9139072847682119,1.010190522875092,4.799999999999997,4.694922737306844,79
10,5.8723014617533,8.824481089493329,7.198611894042213,490,0.8612244897959184,1.0057910749632688,7.0,6.743265306122448,123
11,8.824481089493329,13.260808731637422,10.817567003893364,472,0.8199152542372882,1.0034140942931546,10.399999999999991,9.855296610169491,155
12,13.260808731637422,19.927409491130547,16.255877883980872,404,0.7202970297029703,1.002008607611095,15.150000000000006,13.817574257425742,180
13,19.927409491130547,29.945507628037884,24.428188490424017,479,0.6200417536534447,1.000951576769289,22.299999999999997,19.856158663883086,262
14,29.945507628037884,45.0,36.708961348173624,410,0.36829268292682926,0.763666030637377,26.699999999999996,24.155609756097565,294
