feature,max_abs_error,matches
0,5.960464477539063e-08,True
1,5.960464477539063e-08,True
2,5.960464477539063e-08,True
3,5.960464477539063e-08,True
4,5.960464477539063e-08,True
5,5.960464477539063e-08,True
6,5.960464477539063e-08,True
7,5.960464477539063e-08,True
11,5.960464477539063e-08,True
13,0.0,True
15,0.0,True
17,2.384185791015625e-07,True
18,2.384185791015625e-07,True
19,2.384185791015625e-07,True
20,2.384185791015625e-07,True
