sample_a,sample_b,n_a,n_b,mean_normalised_w1,max_normalised_w1,argmax_feature,mean_w1_delta_critical,energy_distance,w1_last_pred_err_norm,w1_vx_norm,w1_vy_norm,w1_speed_norm,w1_accel_norm,w1_rel_x_norm,w1_rel_y_norm,w1_dist_norm,w1_tls_red,w1_tls_yellow,w1_tls_green,w1_phase_remaining_norm,w1_dist_to_stopline_norm,w1_n_active_norm,w1_cbr,w1_n_queue_norm,w1_heading_cos,w1_over_sampling_floor,energy_over_sampling_floor,w1_over_reference_shift,energy_over_reference_shift
fixed_d20_s2001,varied_d20_s2001,2698,524,0.05156968051545815,0.1592998635014557,n_queue_norm,0.06913682411916648,0.2518187750886046,0.08096103774295442,0.03158347235553247,0.02425470465637337,0.10894871482648583,0.005382481463712773,0.030457820764246992,0.031038762627945415,0.09756187063985892,0.025478301710625317,0.0036908877936158158,0.032622411851583544,0.03568494458972625,0.11823264456067291,0.049820626316828695,0.016631396964448302,0.1592998635014557,0.02503462639672184,1.9430004748977259,3.447968577740906,0.465232892635777,0.4149458245183628
fixed_d20_s2001,fixed_d20_s2002,2698,2421,0.016988384770131808,0.04313064573178599,speed_norm,0.01673683321487109,0.08986593916318132,0.00043811156830585494,0.027608999126055633,0.0053743978256037914,0.04313064573178599,0.006015094682431535,0.01900030701846235,0.0275587194762207,0.02315024174604248,0.00988478316583119,0.004842113836522444,0.0039578325187106245,0.011583193554116758,0.020745995615961667,0.03993997715988525,0.0027310924264549903,0.023013268081168957,0.019827767558680553,0.6400745427580655,1.230467959884246,0.15325973147048855,0.14808068305892869
fixed_d05_s2001,fixed_d35_s2001,882,4163,0.11084702163531499,0.5303070981308329,n_active_norm,0.10629691862230493,0.6068714521489558,0.001938424636686332,0.09800193661060289,0.17891315909503175,0.13476531560355132,0.017327308295924174,0.038885058971566924,0.07666150947858884,0.10461484991003042,0.1052161276072604,0.02109066863193354,0.08200195764109153,0.007730993476228316,0.08843299951291526,0.5303070981308329,0.01501777283584996,0.3048403678831541,0.07865381947910598,4.176403916519437,8.309442760974985,1.0,1.0
fixed_d20_s2001,fixed_d05_s2001,2698,882,0.05516286851490571,0.28598839560701494,n_active_norm,0.057320839771345514,0.34490713446310606,0.0013358758319602139,0.05870618434179573,0.028171212789797753,0.04942177984125419,0.01701004659231106,0.02719469702988629,0.013655334414389432,0.0529252858947945,0.05776093486566852,0.005711797938844465,0.037659541207142655,0.012842852204866223,0.050669420667232616,0.28598839560701494,0.009674663706782917,0.18717955167440992,0.041861190145245655,2.078381689587056,4.722558758571544,0.49764863052785224,0.5683363968461134
fixed_d20_s2001,fixed_d35_s2001,2698,4163,0.06403813053632422,0.24492063532221647,n_active_norm,0.053321521713873325,0.34623246423561777,0.0007653223910584812,0.04812519252839991,0.2020333070017799,0.08891853374190552,0.0050511269520653445,0.024439772073355428,0.08246791618562058,0.061297489209659654,0.04745519274159188,0.015378870693089075,0.04434241643394887,0.00939033951719319,0.050104482660640506,0.24492063532221647,0.005356117415878731,0.11766081620874422,0.040940688040364215,2.4127765927567353,4.740705520699017,0.5777162939660092,0.5705202691766023
