density,seed,delta_requested,delta_actual,transmitted,err_m,r_err,feat0_next,next_obs_present
5.0,2001,0.139022780556674,0.20000000000000284,1,0.006375212297825783,4.1085706853893326e-08,2.3115438807508326e-07,1
5.0,2001,0.25843759174593817,0.29999999999999716,1,0.025837634285380773,5.025614049523071e-07,3.796791816057521e-06,1
5.0,2001,0.38369420780914304,0.3999999999999986,1,0.09415999398925123,7.408512578587474e-06,5.0422444473952055e-05,1
5.0,2001,0.37657499823848944,0.3999999999999986,1,4.346796345089388e-06,1.5553447595557178e-14,1.0746116588808766e-13,1
5.0,2001,0.43603780021224786,0.5,1,0.0,0.0,0.0,1
5.0,2001,0.47312197206734574,0.5,1,0.031214547599802245,1.4678320774218672e-06,5.541465725400485e-06,1
5.0,2001,0.14149304028994464,0.20000000000000284,1,0.009628409541164729,7.61094258243466e-08,5.272563612379599e-07,1
5.0,2001,0.785523915111347,0.7999999999999972,1,0.02433736332125136,1.5311539605698024e-06,3.3686706046864856e-06,1
5.0,2001,0.7024286929268958,0.7999999999999972,1,0.2164768778011421,6.247038696182423e-05,0.0002664527855813503,1
5.0,2001,0.19429599309631768,0.19999999999999574,1,0.022479392503100826,3.9969938514541857e-07,2.8739607387251453e-06,1
5.0,2001,0.45500962097266484,0.5,1,0.0,0.0,0.0,1
5.0,2001,1.167980767200442,1.2000000000000028,1,0.04368236411903581,3.615394282442857e-06,1.0852268133021425e-05,1
5.0,2001,0.20329855268219887,0.30000000000000426,1,0.006116039579296739,3.456217078610801e-08,2.1274209416333179e-07,1
5.0,2001,1.3307179701914333,1.3999999999999986,1,7.228466086101588,0.08357844602515901,0.22909113764762878,1
5.0,2001,0.17850541088885497,0.20000000000000284,1,0.008130371889137677,8.609183408492647e-08,3.7595305002469104e-07,1
5.0,2001,1.746845730691129,1.7999999999999972,1,0.042614013934439754,4.879266201445681e-06,1.0327931704523508e-05,1
5.0,2001,2.314007495832209,2.3999999999999986,1,0.03867738472183646,3.0912385250225493e-06,8.50792093842756e-06,1
5.0,2001,1.3635491868289369,1.4000000000000057,1,0.018631509866622764,8.171104876710464e-07,1.974277438421268e-06,1
5.0,2001,2.726536158126684,2.799999999999997,1,5.076337994128494,0.091697160692741,0.12782546877861023,1
5.0,2001,0.28827482013636024,0.30000000000000426,1,0.0004539118170328038,1.7234346043342176e-10,1.1718065406896017e-09,1
5.0,2001,3.367020309554858,3.3999999999999986,1,7.262099994869654,0.09100493769558188,0.2307349592447281,1
5.0,2001,2.407017225086987,2.5,1,0.02190359755195459,2.4948134893401404e-06,2.72861757366627e-06,1
5.0,2001,0.625329119777947,0.7000000000000028,1,0.15006115909068285,2.9156453855751575e-05,0.0001280542346648872,1
5.0,2001,0.4902521532560732,0.5,1,1.4600996728746312,0.007485775351958033,0.011979642324149609,1
5.0,2001,2.4823703102953782,2.5,1,1.2241320998645904,0.01937246530097739,0.008450529538094997,1
5.0,2001,35.70954438619681,4.5,0,0.0,0.00020354128643900132,nan,0
5.0,2001,0.6966971773061295,0.7000000000000028,1,0.09539468901618875,1.254789482529165e-05,5.175339902052656e-05,1
5.0,2001,5.367858393162208,5.400000000000006,1,0.00017695556192620643,2.972209284975998e-10,1.780907643578189e-10,1
5.0,2001,0.2892256281973772,0.29999999999999716,1,0.0,0.0,0.0,1
