tls_state_char,count,fraction,maps_to_onehot
r,180810,0.5122386537480877,red
G,103115,0.29212703269307044,green
g,46792,0.13256275143067595,green
y,12996,0.0368179500254972,yellow
none,9267,0.026253612102668706,ALL ZERO
