index,feature,meaning,nominal_low,nominal_high,n,min,p01,q1,median,q3,p99,max,mean,std,iqr,iqr_over_range,span_over_range,frac_at_low,frac_at_high,n_unique,delta_critical,sample
0,last_pred_err_norm,normalised squared dead-reckoning error at the last update,0.0,1.0,4163,0.0,0.0,1.680196071163209e-08,1.3051107998762745e-05,0.00038149530882947147,0.05560911156237127,0.41498538851737976,0.002618554762438034,0.018911218462850963,0.00038147850686875984,0.00038147850686875984,0.41498538851737976,0.3350948834974778,0.0,1220,False,fixed_d35_s2001
1,vx_norm,velocity x / V_MAX_OBS,-1.0,1.0,4163,-0.6638484001159668,0.0,0.0,0.0,0.18167690932750702,0.734903531074524,0.8311401605606079,0.1304479202552392,0.2357167116640745,0.18167690932750702,0.09083845466375351,0.7474942803382874,0.0,0.0,1785,False,fixed_d35_s2001
2,vy_norm,velocity y / V_MAX_OBS,-1.0,1.0,4163,-0.5990004539489746,0.0,1.359055484602637e-19,3.409632860115415e-17,0.486481249332428,0.7704053282737732,0.8295669555664062,0.20701424395034346,0.2777338391430722,0.486481249332428,0.243240624666214,0.7142837047576904,0.0,0.0,1622,False,fixed_d35_s2001
3,speed_norm,speed / V_MAX_OBS,0.0,1.0,4163,0.0,0.0,0.0027325572445988655,0.39409133791923523,0.5876636803150177,0.7893806767463685,0.8311401605606079,0.343686009677544,0.2728295110361858,0.5849311230704188,0.5849311230704188,0.8311401605606079,0.1359596444871487,0.0,3369,True,fixed_d35_s2001
4,accel_norm,acceleration / a_max,-1.0,1.0,4163,-0.8999999761581421,-0.5080620646476746,-0.07329811155796051,-8.689196874911431e-06,0.032722774893045425,0.4312041342258462,0.5199999809265137,-0.015945469242709995,0.16119975224909616,0.10602088645100594,0.05301044322550297,0.7099999785423279,0.0,0.0,3347,False,fixed_d35_s2001
5,rel_x_norm,(x - x_rsu) / RSU_RANGE,-1.0,1.0,4163,-0.999845564365387,-0.9711997377872467,-0.3631526380777359,0.005333333276212215,0.01600000075995922,0.9008288526535039,0.9988532662391663,-0.14219734237629786,0.3764619892753333,0.3791526388376951,0.18957631941884756,0.9993494153022766,0.0,0.0,1844,False,fixed_d35_s2001
6,rel_y_norm,(y - y_rsu) / RSU_RANGE,-1.0,1.0,4163,-0.9999534487724304,-0.978019425868988,-0.21530156582593918,-0.01600000075995922,-0.005333333276212215,0.8576635479927073,0.9980255365371704,-0.12734698385436807,0.3512526736547805,0.20996823254972696,0.10498411627486348,0.9989894926548004,0.0,0.0,1639,False,fixed_d35_s2001
7,dist_norm,distance to RSU / RSU_RANGE,0.0,1.0,4163,0.005681865848600864,0.03304912477731704,0.23733239620923996,0.44318193197250366,0.7037755250930786,0.9985253298282624,0.999967634677887,0.472001691456681,0.28055131136215194,0.46644312888383865,0.46644312888383865,0.9942857688292861,0.0,0.0,3511,False,fixed_d35_s2001
8,tls_red,traffic light red indicator,0.0,1.0,4163,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5263031467691569,0.4993676456418479,1.0,1.0,1.0,0.47369685323084315,0.5263031467691569,2,True,fixed_d35_s2001
9,tls_yellow,traffic light yellow indicator,0.0,1.0,4163,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03242853711265914,0.17715661432605123,0.0,0.0,1.0,0.9675714628873409,0.03242853711265914,2,True,fixed_d35_s2001
10,tls_green,traffic light green indicator,0.0,1.0,4163,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.435743454239731,0.49591347184194506,1.0,1.0,1.0,0.5642565457602691,0.435743454239731,2,True,fixed_d35_s2001
11,phase_remaining_norm,time to the next signal switch / 60 s,0.0,1.0,4163,0.0,0.0016666667070239782,0.11083333194255829,0.28333333134651184,0.5533333420753479,0.6966666579246521,1.0,0.31658139202594776,0.22881563691199575,0.4425000101327896,0.4425000101327896,1.0,0.005765073264472736,0.0055248618784530384,343,True,fixed_d35_s2001
12,dist_to_stopline_norm,distance to the stop line / RSU_RANGE,0.0,1.0,4163,0.00034770104684866965,0.0033366666175425053,0.25337056815624237,0.5525273680686951,0.9303088188171387,1.0,1.0,0.5623281432743267,0.34005840494889866,0.6769382506608963,0.6769382506608963,0.9996522989531513,0.0,0.22267595484025943,2533,True,fixed_d35_s2001
13,n_active_norm,vehicles in coverage / N_ACTIVE_MAX_OBS,0.0,1.0,4163,0.0,0.0,0.636904776096344,0.6904761791229248,0.7440476417541504,0.7976190447807312,0.8035714030265808,0.6702555401262801,0.12268464755702159,0.1071428656578064,0.1071428656578064,0.8035714030265808,0.02065817919769397,0.0,49,False,fixed_d35_s2001
14,cbr,channel busy ratio,0.0,1.0,4163,0.0,0.0,0.013439999893307686,0.02127999998629093,0.02800000086426735,0.0963200032711029,0.0963200032711029,0.02411618550537244,0.01825473410329499,0.014560000970959663,0.014560000970959663,0.0963200032711029,0.022339658899831853,0.0,42,False,fixed_d35_s2001
15,n_queue_norm,vehicles queued ahead in lane / queue_max,0.0,1.0,4163,0.0,0.0,0.10000000149011612,0.3499999940395355,0.699999988079071,1.0,1.0,0.41617823789200903,0.3369638916037246,0.5999999865889549,0.5999999865889549,1.0,0.09824645688205622,0.11530146528945472,21,True,fixed_d35_s2001
16,heading_cos,cosine of the approach angle to the RSU,-1.0,1.0,4163,-0.9999857544898987,-0.9999812841415405,0.0,0.9992511868476868,0.999875545501709,0.9999852406978608,0.9999857544898987,0.4450080375201193,0.8183093265517914,0.999875545501709,0.4999377727508545,0.9999857544898987,0.0,0.0,1599,False,fixed_d35_s2001
