model,arm,seed,n_steps,wall_s,diverged,divergence_rule,divergence_pseudo_episode,divergence_at_env_step,n_grad_updates,mean_recent_loss,max_consecutive_nonfinite_losses,composite_score,n_update_failures,n_observations,tx_attempts,hparams,divergence_reason,gamma,effective_horizon_s,divergence_threshold,divergence_baseline_loss,divergence_pseudo_episodes_seen,mean_aoi,mean_error,packet_loss_rate,coverage_outage_rate,avg_tx_power_dbm,mean_cbr
I-HAMAPPO,selected,1003,4000,330.5,False,,-1,4000,7994,0.2319,0,8.3348,0,579569,12620,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.9986278038774985, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.9986278038774985,728.76,1000.0,0.8208,19,5.3413,5.3255,0.1598,0.26928,11.2414,0.003536
I-HAMAPPO,gamma097,1003,4000,318.4,False,,-1,4000,7992,0.0545,0,7.6204,0,579569,9039,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.97, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.97,33.33,1115.8,1.1158,19,5.2199,4.7245,0.1217,0.26928,12.7639,0.002532
I-HAMAPPO,gamma099,1003,4000,323.7,False,,-1,4000,7990,0.1569,0,10.9451,0,579569,7458,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.99, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.99,100.0,1601.3,1.6013,19,6.2226,7.5908,0.0908,0.26928,13.9918,0.00209
