model,arm,seed,n_steps,wall_s,diverged,divergence_rule,divergence_pseudo_episode,divergence_at_env_step,n_grad_updates,mean_recent_loss,max_consecutive_nonfinite_losses,composite_score,n_update_failures,n_observations,tx_attempts,hparams,divergence_reason,gamma,effective_horizon_s,divergence_threshold,divergence_baseline_loss,divergence_pseudo_episodes_seen,mean_aoi,mean_error,packet_loss_rate,coverage_outage_rate,avg_tx_power_dbm,mean_cbr
PPO,selected,1003,4000,403.0,False,,-1,4000,7998,2.2285,0,39.8134,0,579569,5266,"{""hidden_dim"": 64, ""learning_rate"": 0.0010809366764261586, ""gamma"": 0.9975073184286054, ""clip_range"": 0.2361881493638004, ""ent_coef"": 0.02051249550821203, ""vf_coef"": 0.5638821363327259, ""n_epochs"": 4}",,0.9975073184286054,401.17,4128.3,4.1283,19,13.9937,32.4675,0.1487,0.26928,13.3536,0.001475
PPO,gamma097,1003,4000,397.1,False,,-1,4000,7998,0.5692,0,24.5286,0,579569,6970,"{""hidden_dim"": 64, ""learning_rate"": 0.0010809366764261586, ""gamma"": 0.97, ""clip_range"": 0.2361881493638004, ""ent_coef"": 0.02051249550821203, ""vf_coef"": 0.5638821363327259, ""n_epochs"": 4}",,0.97,33.33,3020.3,3.0203,19,9.8163,19.2782,0.1446,0.26928,13.4466,0.001953
PPO,gamma099,1003,4000,384.1,False,,-1,4000,7996,0.5184,0,23.8597,0,579569,7323,"{""hidden_dim"": 64, ""learning_rate"": 0.0010809366764261586, ""gamma"": 0.99, ""clip_range"": 0.2361881493638004, ""ent_coef"": 0.02051249550821203, ""vf_coef"": 0.5638821363327259, ""n_epochs"": 4}",,0.99,100.0,2853.8,2.8538,19,9.4952,18.7626,0.1558,0.26928,12.4638,0.002052
