Distance,REMO-DQN,Fixed 10Hz,ReactDCC,AdaptDCC,MoEDQN,MAPPO,PPO,SAC,DDPG,TD3,DuelingDQN,DoubleDQN,VanillaDQN,QLearning,SARSA,ActorCritic,DecisionTransformer
0,171.01,155.93,155.93,155.93,256.26,186.48,1169.98,155.93,155.87,505.34,1169.98,158.73,185.7,332.76,513.18,155.93,1173.91
50,171.01,155.93,155.93,155.93,256.26,186.48,1169.98,155.93,155.87,505.34,1169.98,158.73,185.7,332.76,513.18,155.93,1173.91
100,171.01,155.93,155.93,155.93,256.26,186.48,1169.98,155.93,155.87,505.34,1169.98,158.73,185.7,332.76,513.18,155.93,1173.91
150,171.01,155.93,155.93,155.93,256.26,186.48,1169.98,155.93,155.87,505.34,1169.98,158.73,185.7,332.76,513.18,155.93,1173.91
200,171.03,155.95,155.95,155.95,256.29,186.51,1170.12,155.95,155.89,505.4,1170.12,158.75,185.72,332.8,513.24,155.95,1174.05
250,171.09,156.0,156.0,156.0,256.37,186.57,1170.5,156.0,155.94,505.56,1170.5,158.8,185.78,332.91,513.41,156.0,1174.43
300,171.23,156.13,156.13,156.13,256.58,186.72,1171.47,156.13,156.07,505.98,1171.47,158.93,185.94,333.19,513.83,156.13,1175.41
