Episode,Global_Step,REMO-DQN,Fixed 10Hz,ReactDCC,AdaptDCC,MoEDQN,MAPPO,PPO,SAC,DDPG,TD3,DuelingDQN,DoubleDQN,VanillaDQN,QLearning,SARSA,ActorCritic,DecisionTransformer
29,58000,-942798.2879058238,-995000.0,-982000.0,-978000.0,-902460.8924820648,-882767.4161066423,-874955.2641991265,-882690.2536669705,-868851.0785148819,-902456.6593339083,-862333.3570831353,-897673.7066158924,-864887.7496425263,-887000.6581554883,-886987.0718452473,-886547.8108839468,-894105.3823861704
30,60000,-957416.0879028294,-995000.0,-982000.0,-978000.0,-947909.6277285472,-974231.0288288392,-964316.3229144064,-974903.5558060544,-958472.3234830266,-953212.05073292,-998369.2787899696,-947918.3270015646,-952650.6421542228,-979336.6761323678,-979391.4657805648,-979883.5071514924,-988626.7894521924
31,62000,-932300.1117939678,-995000.0,-982000.0,-978000.0,-1010370.905441154,-986020.3189905182,-975332.0587803517,-986406.9671917052,-970175.6661751884,-958885.285456294,-1004085.8878292984,-961385.4960361233,-962047.5985961602,-991413.5298843536,-991421.4149582328,-992860.74508837,-1001771.4915480705
32,64000,-945626.627469666,-995000.0,-982000.0,-978000.0,-902709.2432775326,-925129.910475358,-915191.9336630504,-925793.6083226968,-910413.6358443772,-1000827.7247842632,-1008916.3781098071,-906473.8572096118,-905323.2074989232,-929851.826714333,-929887.604921915,-932032.2355799254,-940170.49791811
33,66000,-989316.8495813436,-995000.0,-982000.0,-978000.0,-946360.5541581291,-972701.470741924,-961440.7578213402,-973821.1631090586,-957459.1269254874,-948986.6655773324,-946361.3982142116,-958598.1993270068,-951812.1740103264,-977904.5790893912,-977930.9841752218,-981223.604271225,-989167.0686697708
34,68000,-942235.2690583651,-995000.0,-982000.0,-978000.0,-993463.2930444618,-912726.2891070966,-902578.7345832642,-913591.4462345068,-898451.100687301,-993449.7095183748,-891822.3304707748,-961342.802200372,-996084.5826389703,-917272.6660846506,-917148.1952213376,-920912.0450727724,-927090.6897134244
35,70000,-932920.6835259576,-995000.0,-982000.0,-978000.0,-962183.4533414209,-938642.293027938,-927174.9860070244,-938933.5324809148,-922969.6503894574,-1023219.1242016688,-916600.478520788,-957546.8465371776,-989316.9482307294,-943728.551024312,-943721.2018677248,-941370.2437766698,-954452.313385363
36,72000,-917387.3465143328,-995000.0,-982000.0,-978000.0,-1063210.844490518,-973096.6433405996,-960572.7598586276,-974675.5160964852,-958078.9996413476,-949665.1589554172,-1062868.8676582442,-1063217.7271637218,-1066807.5830893728,-978820.0813292149,-978844.495569449,-975339.9355044971,-989536.5635691788
37,74000,-906243.6434629692,-995000.0,-982000.0,-978000.0,-958330.4362198632,-935417.0502457008,-923442.8732902644,-936796.1841244372,-920218.4374160472,-1020764.3334362424,-949217.4876954248,-911279.964752226,-961672.7864801468,-941504.2767741784,-941524.6757103768,-936899.3579700248,-951114.6118298694
38,76000,-907818.7200073856,-995000.0,-982000.0,-978000.0,-907774.7532528136,-928727.039212563,-916783.5123449824,-929490.1528938212,-915465.5030363993,-907774.5793442548,-907773.7063824496,-980929.7172304068,-910597.4975532858,-934414.4607995102,-934413.292424975,-929420.2316523144,-944074.825910562
39,78000,-916145.210287764,-995000.0,-982000.0,-978000.0,-930634.5452614756,-954657.5899113582,-941582.9564411348,-955578.4475054146,-940617.2758164016,-1042317.9572260692,-937790.8784949012,-1040793.4559810044,-980824.7707055032,-960375.81277244,-960439.4722887464,-954513.8650905956,-970684.3967440508
40,80000,-968152.8206290082,-995000.0,-982000.0,-978000.0,-997532.9071518033,-915995.5269161928,-903211.3245736324,-917597.0353977552,-902956.422961204,-898742.2120912838,-938498.9426865078,-893176.1299028195,-1000405.2726024552,-921217.4223419032,-921135.7573711502,-914925.713858241,-931103.0611153204
41,82000,-895458.4798678656,-995000.0,-982000.0,-978000.0,-931751.3472187473,-909454.7223460326,-896580.9671297036,-910238.7374933813,-896649.9958399414,-886956.0958390123,-990558.6235754596,-889202.0209132539,-891244.9760206509,-914541.6092207476,-914524.4994004704,-907658.571157837,-924107.9246935088
42,84000,-888336.8496837094,-995000.0,-982000.0,-978000.0,-925050.2171484052,-947002.2512762474,-932386.1759884472,-948104.2444536577,-933288.978288824,-1023216.394492844,-955182.4527037712,-922399.7536377086,-974926.0811634448,-953143.5131770693,-953104.7013882864,-944109.875462277,-963843.2519642798
43,86000,-953673.6589011496,-995000.0,-982000.0,-978000.0,-994305.1769975444,-969880.4178614157,-955036.5900974488,-971169.3025679193,-955856.9569499588,-994294.3601419784,-994305.9840138156,-994311.6004078093,-951696.7560549042,-977136.5199796763,-977171.234676211,-965927.776744306,-986681.9448323894
44,88000,-878631.9167561819,-995000.0,-982000.0,-978000.0,-948479.5512026576,-973915.2805857812,-957845.2998997052,-975342.2143993726,-959478.962805398,-948478.0252341612,-948483.0674104524,-950693.3575156038,-953433.2671523988,-980346.8445668488,-980407.831723331,-968498.5155232408,-991751.741688622
45,90000,-878032.1048378454,-995000.0,-982000.0,-978000.0,-940352.9481827876,-962520.8504637592,-946960.830088254,-964992.8613027158,-948860.6041396176,-945860.4890323092,-938334.24368677,-987768.9474142136,-940726.743392686,-969168.9650101534,-969228.566595358,-956391.0067546052,-979760.9465673434
46,92000,-869918.2025325104,-995000.0,-982000.0,-978000.0,-967884.6460097382,-942775.6748824568,-927009.06970408,-945714.6890096504,-929456.9377543523,-919277.1862063726,-921220.9398539928,-967883.9411012356,-1033729.23962889,-948601.1803462034,-948612.104446961,-935400.7485115743,-959966.0684553746
47,94000,-880553.1130894073,-995000.0,-982000.0,-978000.0,-916617.1587820804,-939603.8333142678,-924172.7593649774,-942396.543644704,-926720.967950368,-1012455.5841385666,-918917.4475868212,-1025899.722399153,-920044.142248962,-946781.8385595236,-946757.914999046,-931272.985235019,-956660.3533409236
48,96000,-863741.8461740991,-995000.0,-982000.0,-978000.0,-879763.9505025164,-899391.4039057918,-884332.9577066854,-901509.2041866943,-887315.5656258024,-877907.7294326506,-981840.414759964,-879765.123020031,-984355.91674952,-905568.9894798452,-905615.3947572026,-890237.1860014598,-916106.3673559944
49,98000,-870504.0160101441,-995000.0,-982000.0,-978000.0,-902311.4868655222,-925203.799784042,-909291.6350960566,-928013.017405987,-912834.295717502,-1003558.65824255,-950109.7883609273,-932545.3290695028,-1013288.1424818592,-931370.0757100346,-931348.3351925004,-914406.5787792064,-942809.6419851742
50,100000,-860948.1893832105,-995000.0,-982000.0,-978000.0,-993731.472647855,-966516.411916743,-948942.0232248696,-969895.2674198475,-953039.2981068168,-993735.2369909724,-992709.4316213824,-1060185.4377396023,-945572.2029389286,-974745.200370486,-974762.5529550684,-953368.2467767636,-985805.5491980038
51,102000,-887413.5125354133,-995000.0,-982000.0,-978000.0,-902760.0454801256,-924389.8507401084,-908787.4112789548,-927447.0317043512,-911298.6451061968,-1007116.755011502,-902761.470936798,-948129.1864671428,-932591.6743281018,-931799.804731799,-931876.7816932612,-911761.1555864612,-941372.479978406
52,104000,-875028.5970130306,-995000.0,-982000.0,-978000.0,-906235.1469050643,-926071.0236525772,-909891.88355681,-929738.7589886324,-914145.9286329076,-906251.7469414956,-951021.4463214718,-904097.745236413,-906220.6760854056,-932872.5757427072,-932861.393993714,-911973.4371873282,-943891.6911847274
53,106000,-927715.8599863644,-995000.0,-982000.0,-978000.0,-885858.312650798,-907273.1260272738,-891433.3623064046,-909658.5954960046,-895911.886198653,-895874.2272619213,-991135.595415786,-888292.5431493137,-885870.5750642389,-914146.6160076602,-914128.19798325,-892719.9218270481,-924784.0951066238
54,108000,-924176.8702348114,-995000.0,-982000.0,-978000.0,-951894.1048619202,-972672.7737150794,-955285.650308238,-975197.8159737237,-960331.478167395,-949706.2519339316,-1064765.3615176529,-952205.6856316928,-952857.4488758276,-980834.4818973676,-980863.1001252322,-955833.512159078,-991621.5033936956
55,110000,-877483.1988226366,-995000.0,-982000.0,-978000.0,-986376.3075746596,-959539.1758101552,-941955.6882803944,-963045.0654938946,-947215.734229136,-1051586.7499212488,-936632.3354021412,-999731.5946502374,-956865.1711959498,-967699.1462888094,-967502.7541966456,-941768.2969002782,-978910.6981737476
56,112000,-853211.1120211349,-995000.0,-982000.0,-978000.0,-971791.2673908772,-946815.944889244,-930236.6630153048,-950950.7800267156,-935474.2489609572,-946766.2733366232,-927464.8706830088,-931604.8784143298,-953072.5562563476,-954895.6612990936,-954734.68568001,-929528.7287979332,-964924.1947262624
57,114000,-860393.2602839,-995000.0,-982000.0,-978000.0,-915653.8805789418,-934962.6896397772,-918164.8205597586,-938413.9537932088,-923534.9717768166,-913627.1722667052,-913638.7657065556,-960606.4061176904,-960600.3841585892,-943070.912390511,-943029.5236397056,-917063.1032449316,-953545.7847435996
58,116000,-871407.1164400062,-995000.0,-982000.0,-978000.0,-858108.4148434775,-876951.051864502,-861987.3103939404,-879682.8588869708,-866914.2179782997,-862756.5275401577,-859829.761056939,-943879.3355399392,-860569.5977657943,-884599.3050834632,-884685.4638134161,-860686.4101513678,-893613.4714929931
59,118000,-845704.3607189142,-995000.0,-982000.0,-978000.0,-941737.8999658016,-916997.2941236524,-900927.5691803098,-921202.0344403668,-906464.1634000296,-1002183.9538494442,-899029.277996574,-897347.6888836697,-1002148.4243178848,-925714.0658426574,-925739.6320950508,-899380.0735674581,-935091.6780178148
60,120000,-913271.171394648,-995000.0,-982000.0,-978000.0,-870601.3527871562,-890670.1536090084,-874650.435492795,-893781.2083943479,-880656.3028725111,-873300.2276286003,-915807.3438331892,-902624.9351566248,-915802.6679528556,-898773.4772766684,-898855.5199411686,-873171.9971454475,-909001.5643505184
61,122000,-845074.6131794975,-995000.0,-982000.0,-978000.0,-1000546.8086469627,-916010.710662186,-899868.0947827761,-920100.0693607178,-905725.2037672568,-896341.0683276496,-898159.9513892073,-943935.0562151722,-896334.2631885752,-924187.566628532,-924168.2601242705,-898129.9747701398,-934651.1867323944
62,124000,-914844.0217579931,-995000.0,-982000.0,-978000.0,-900677.2196303724,-918394.6325153898,-901979.0902892306,-922296.8887788953,-908313.2509623468,-1004186.9429546538,-971206.2135385912,-936363.860701798,-900677.3163502438,-927406.2993412508,-927511.7264447702,-900309.2263193658,-937207.3631942532
63,126000,-837085.8988859167,-995000.0,-982000.0,-978000.0,-1008086.4892556884,-979423.4204926532,-961124.0820334208,-984677.6601172284,-968120.8922755588,-958067.3949607316,-1047478.2195847426,-957436.2309103336,-1076223.3520058214,-990492.5594812258,-990478.6851807896,-959052.6279629152,-1000640.448773578
64,128000,-912640.8552147516,-995000.0,-982000.0,-978000.0,-925856.9731200858,-946570.0898321044,-929405.1533508748,-951961.4869493784,-936268.3909992884,-952852.2390588692,-925862.3483381128,-962602.8670990996,-925851.1417752096,-964411.7503531604,-972040.9922477696,-927523.2808787,-966798.7383378432
65,130000,-915740.8742496428,-995000.0,-982000.0,-978000.0,-1014668.2330510248,-985886.918291688,-967898.0069227528,-990993.151754002,-975290.150593087,-1074538.0125856758,-966839.6189216386,-966835.083057248,-966852.7976087936,-999813.9116143108,-1006911.3651193752,-966152.1647168528,-1007154.9813566564
66,132000,-837604.629631705,-995000.0,-982000.0,-978000.0,-889565.681458993,-906585.5809216086,-890597.5236537344,-912802.9106248252,-897289.7846470382,-887614.9151993344,-889555.8606659491,-887609.9549714783,-932934.5452891396,-911799.5295752127,-924079.371646584,-889039.490338876,-926144.8163832084
67,134000,-835318.4245952159,-995000.0,-982000.0,-978000.0,-996760.4972666492,-910111.7734278188,-893887.9286073196,-915463.9865012811,-900830.24931179,-936755.2981065396,-996771.9381577668,-936759.4092881064,-893078.3361363193,-914607.4415236284,-926744.2819119764,-892442.7198747296,-929894.5100335816
68,136000,-861569.6875619135,-995000.0,-982000.0,-978000.0,-881000.2073647538,-900104.9140408692,-884069.5354549756,-905134.8061536693,-891242.6811821893,-883930.4092610286,-926673.5041638408,-881006.4650482658,-881012.899259026,-903064.881500597,-917095.146352248,-883031.5644348088,-919861.0917013702
69,138000,-860527.7456508075,-995000.0,-982000.0,-978000.0,-882479.2311609366,-900458.4993903792,-885136.163108221,-905373.9132388867,-891950.2277437703,-882479.2610675844,-882471.5311542071,-982278.530092272,-984032.1405447128,-904699.065183529,-913468.52306508,-883967.4879294138,-919677.8579534718
70,140000,-838789.1107880292,-995000.0,-982000.0,-978000.0,-941067.5519766732,-913986.9704843157,-898074.7924517926,-919556.5285367168,-905299.9727400704,-895435.5318561881,-897625.4568551248,-895440.9598666524,-941063.5842002447,-916033.94831125,-928663.4518486294,-896942.0221229665,-934223.1404396133
71,142000,-857376.965529171,-995000.0,-982000.0,-978000.0,-945733.2320561678,-965473.1340414071,-948369.436457356,-971904.0553857844,-956262.335911692,-945728.4627221336,-947873.4811903676,-979579.203631697,-947872.6608616778,-966345.849556647,-981073.5622180236,-947117.0703999684,-987395.6739037518
72,144000,-840516.0703331454,-995000.0,-982000.0,-978000.0,-915061.4894144356,-933897.1179706954,-917512.3331844624,-940507.7893143296,-925188.9139454416,-962790.7628362369,-915060.3888948424,-962788.5527074938,-915060.4012256684,-936675.8313130185,-950987.9417420584,-916397.1622481945,-955604.1644209188
73,146000,-833226.6211329232,-995000.0,-982000.0,-978000.0,-861500.7232454893,-876646.1989768656,-861862.1667589068,-883024.6972583086,-868834.8285294505,-859754.6374027302,-959993.917291812,-861075.3734877523,-861502.1140177677,-880897.4546258156,-891384.7957943508,-860856.9095491668,-896362.4035207223
74,148000,-859383.5772840154,-995000.0,-982000.0,-978000.0,-912561.643750093,-930723.0543899576,-914930.3026700068,-937487.5600809236,-922653.5408427742,-1013649.7951787746,-1019477.6170845884,-959962.0594793038,-1019487.511636359,-933456.5974325064,-945261.8621231576,-914112.4969582162,-952029.6029793448
75,150000,-895820.0930027169,-995000.0,-982000.0,-978000.0,-961258.0908025728,-934073.9992884292,-918942.8554278032,-941060.7858455929,-926122.3875430868,-918149.9868189424,-961259.6531640772,-918455.578148974,-961253.806608025,-935121.0794189912,-947758.2665287164,-917863.6560349596,-954568.2717768312
76,152000,-838780.5002437788,-995000.0,-982000.0,-978000.0,-940581.2763771666,-911921.9173178774,-896515.3819308094,-918773.3285128264,-904144.7937445696,-894463.251873096,-1000659.039831473,-894459.6919511736,-894471.5449878185,-913450.8975445617,-923815.3834974128,-895645.0273480159,-933599.1077327592
77,154000,-908220.2564186446,-995000.0,-982000.0,-978000.0,-855532.4931478673,-869265.6683732846,-855118.5968647918,-875721.9176591119,-862449.8848963083,-853083.1368501392,-895650.6617148774,-858673.3165999632,-855537.2336041046,-867927.3366370131,-881859.1592251217,-854521.7210445853,-889718.54615867
78,156000,-857086.5196314985,-995000.0,-982000.0,-978000.0,-877658.9250329541,-894206.3284584121,-879643.3740116415,-901840.066178342,-886289.7470587728,-921727.0924391364,-880009.0349790168,-877660.2796216229,-921740.6601016076,-893609.1319491698,-907562.122344,-878971.8998743213,-915462.7725005068
79,158000,-898892.7257585459,-995000.0,-982000.0,-978000.0,-853689.589528788,-868956.099484864,-855405.9642386214,-875856.8934385286,-861523.2719599622,-894933.8548078,-853694.3785404959,-950842.5485141427,-855483.1837209912,-870841.229296949,-880112.4420151423,-854640.9923978894,-889009.5795470094
80,160000,-828361.5374197655,-995000.0,-982000.0,-978000.0,-949014.0677346018,-865720.2132058162,-852288.4689100205,-873002.1792262819,-859418.3409902339,-857138.119154666,-850671.1471335337,-891852.7917550282,-949001.736071147,-865726.4589542631,-877534.1730638271,-851432.5783489322,-886014.1156220718
81,162000,-905708.6709477096,-995000.0,-982000.0,-978000.0,-939024.4140447862,-954302.6642601744,-938752.1088857624,-963194.0654254096,-945902.6190559692,-1048475.380308104,-985074.4695491056,-1048497.0498746368,-939025.1113582668,-951351.3549530982,-967222.4921618904,-937840.4131990796,-978623.4570979289
82,164000,-831138.7481092985,-995000.0,-982000.0,-978000.0,-904969.4680855968,-877779.1312638647,-864269.94426018,-885466.9276136548,-870606.7373712952,-867293.0806004858,-862694.8352006644,-904791.7579013056,-864574.9938110214,-880248.2359138753,-891040.726737481,-863445.3502383889,-899358.9798550922
83,166000,-851745.9610941077,-995000.0,-982000.0,-978000.0,-928988.9605471608,-899955.515775931,-885923.8577350721,-908672.34487601,-893847.9819649797,-885315.6881234895,-886332.6796427123,-910865.1306741956,-888511.4245883242,-900619.341367539,-911830.2395633172,-885006.5576368405,-922692.807159575
84,168000,-832741.2178680722,-995000.0,-982000.0,-978000.0,-912685.0569735433,-929429.5624650944,-914412.6823447782,-937955.531956331,-922458.761294776,-960849.064897864,-1022660.7852834004,-912677.9348818436,-1022661.0305653628,-930144.5854369056,-942617.6975252568,-913446.490399844,-954056.8480591164
85,170000,-899959.3735121461,-995000.0,-982000.0,-978000.0,-893490.6481951374,-908567.9853506532,-894902.6798838272,-916982.8808013244,-902630.6336890678,-894438.1926180254,-940401.8283821896,-982138.001403822,-937828.7219444596,-909592.3197885586,-923903.0828699404,-893901.2290212692,-931245.0789568456
86,172000,-840610.1413422101,-995000.0,-982000.0,-978000.0,-870976.4266123635,-883533.5005841991,-870387.8763375003,-892167.2849568734,-878112.007798304,-870966.5909629529,-868887.5374133962,-868885.0605605242,-868889.1502165898,-885708.0679798631,-895136.3432033169,-869340.5054945803,-906185.4190645124
87,174000,-825780.1655278514,-995000.0,-982000.0,-978000.0,-981431.9960173966,-892581.0830190119,-879235.7948859383,-901149.091910896,-886079.4073200263,-877834.7020635657,-977407.8520144868,-879855.7418815473,-922331.0520150624,-894910.1264267915,-906813.9784204144,-878136.5210865418,-915977.2445390784
88,176000,-902647.4559357614,-995000.0,-982000.0,-978000.0,-983871.241831146,-895271.7065219485,-882283.7301953593,-904120.2444309068,-889076.3916501452,-881155.2646484742,-882711.8547066891,-880923.8351430626,-880919.7865772172,-896331.1687286176,-908967.7574597856,-881155.8330626994,-918097.6569503328
89,178000,-908135.2027045096,-995000.0,-982000.0,-978000.0,-849555.5524583338,-863017.3309160192,-850858.3597681617,-871234.5538510454,-857308.9385172562,-849564.3113114763,-849547.1236722375,-890313.1971437087,-947305.7751286024,-865655.6618055323,-876751.9535970449,-849767.4510424259,-884354.1869480866
90,180000,-856909.2126139539,-995000.0,-982000.0,-978000.0,-947702.2698568716,-962828.3681083492,-948982.0356937454,-972741.200451298,-957538.238656904,-1060594.4664364867,-947889.0699537538,-947704.1976621272,-949375.389829066,-964469.5816788416,-977598.9038730623,-947778.4095979529,-988396.3698727876
91,182000,-854415.8793875421,-995000.0,-982000.0,-978000.0,-877186.1192737705,-889224.4146025239,-876298.867849201,-898990.3295649146,-884566.1620724126,-875625.082218023,-920292.7275227978,-891804.021136635,-877186.9564295503,-889714.1272074159,-902225.0694577296,-875066.6893804289,-913529.3142648936
92,184000,-857315.7445392675,-995000.0,-982000.0,-978000.0,-1029038.3603075872,-933600.7376537668,-920342.6642473708,-944911.8608978146,-929067.7171743436,-919555.530664864,-966196.936586233,-919074.7784535764,-1029038.398862454,-934512.0359050534,-949000.5414621118,-919086.901137873,-959123.7653290912
93,186000,-852334.3005541208,-995000.0,-982000.0,-978000.0,-972947.8257488076,-939655.2345587204,-926425.159230746,-950948.850007094,-935207.7333603904,-1036049.246566348,-925160.7147647291,-1029204.0704713628,-925160.5935268622,-938792.5545048706,-957026.5496243528,-925140.8656420326,-965761.37940663
