Density,REMO-DQN,Fixed 10Hz,ReactDCC,AdaptDCC,MoEDQN,MAPPO,PPO,SAC,DDPG,TD3,DuelingDQN,DoubleDQN,VanillaDQN,QLearning,SARSA,ActorCritic,DecisionTransformer
20,89.99833333333333,92.98,92.98,92.98,94.62,87.16000000000001,36.656666666666666,92.96,92.99666666666667,96.61,36.56333333333333,92.95333333333333,87.11333333333333,85.74333333333334,78.01666666666667,92.98,40.81333333333333
40,88.77666666666666,91.75333333333333,91.75333333333333,91.75333333333333,93.59666666666668,85.95,35.800000000000004,91.73333333333333,91.76333333333332,95.49666666666667,35.71333333333333,91.73,85.89999999999999,83.12333333333333,84.22,91.75333333333333,40.93333333333333
60,88.72166666666668,91.69666666666667,91.69666666666667,91.69666666666667,93.55333333333333,85.87666666666667,35.843333333333334,91.68,91.71999999999998,95.40666666666668,35.75666666666667,91.69666666666667,85.84333333333332,83.04333333333334,84.44,91.69666666666667,41.29
80,88.73666666666666,91.69333333333333,91.69333333333333,91.69333333333333,93.49000000000001,85.92,35.82666666666667,91.67333333333333,91.70666666666666,95.33,35.74333333333333,91.66000000000001,85.87666666666667,82.68,84.07666666666667,91.69333333333333,41.75666666666667
100,88.68333333333334,91.65333333333335,91.65333333333335,91.65333333333335,93.45,85.87666666666667,35.846666666666664,91.64,91.66666666666667,95.22333333333334,35.763333333333335,91.62333333333333,85.80666666666666,83.19333333333333,84.06666666666666,91.65333333333335,41.52333333333333
120,88.72833333333334,91.7,91.7,91.7,93.44,85.87666666666667,35.830000000000005,91.67999999999999,91.72333333333334,95.14333333333333,35.74666666666667,91.65333333333335,85.85333333333334,82.91000000000001,83.92666666666668,91.7,41.49
