density,seed,mean_cbr,std_cbr,p95_cbr,max_cbr
10,42,0.016111824190467135,0.005741233197623228,0.02447222588925559,0.02803218390804597
10,123,0.014894097090252452,0.0060613571784086445,0.026082820512820504,0.028877929984779296
20,42,0.029120480703024275,0.011550981555098897,0.04684047108151436,0.05310543318649045
20,123,0.02672590787995261,0.01105428671977719,0.04565556923678294,0.05264868217054263
30,42,0.03881038495612591,0.01595241372304105,0.0635908769149498,0.06824836193447736
30,123,0.03827822707206811,0.015486307177248419,0.06272344458832867,0.07185347985347985
40,42,0.04596311336398644,0.01939962671845418,0.07680587633658759,0.08834619883040935
40,123,0.04508924201906308,0.01859998683957046,0.07366906550023503,0.07966373815676141
50,42,0.04877501814866792,0.019930379392851607,0.07879802609169775,0.0913150812064965
50,123,0.048909160939415885,0.019575113794901434,0.07936927295866811,0.0866305973025048
60,42,0.05115474333392487,0.020366047215513907,0.08228848266867209,0.0909151515151515
60,123,0.049628649626760765,0.019275120392480374,0.07974515527257683,0.08519288687097994
80,42,0.05255029459017114,0.020788626892117176,0.08448651668739243,0.09198424242424241
80,123,0.05170152733298179,0.01980875071452718,0.0826225847438802,0.09081609719058466
100,42,0.0530497885109998,0.02074307164674809,0.08433810361424696,0.09410461538461537
100,123,0.051297998509288505,0.019863027277876866,0.08231671184176416,0.09125279940674823
