x,y,Cluster
30.482733,0.6673029,Low Traffic
25.507145,-11.942653,Low Traffic
-14.793191,10.338783,Low Traffic
26.337362,-5.5217566,Low Traffic
-17.386047,10.5246105,Low Traffic
26.729113,0.6305982,Low Traffic
-21.567495,6.760886,Low Traffic
-12.923292,5.5093384,Low Traffic
-16.421236,10.593437,Low Traffic
26.902876,-3.905004,Low Traffic
-18.07362,10.291145,Low Traffic
-19.77795,9.101383,Low Traffic
34.812275,-4.949366,Low Traffic
-14.545561,5.207863,Low Traffic
-11.914528,0.5031243,Low Traffic
27.034245,-3.8042479,Low Traffic
25.821203,-9.474948,Low Traffic
-20.432287,-2.493304,Low Traffic
25.070904,-13.0244665,Low Traffic
-9.160117,3.1251833,Low Traffic
-12.028976,0.8263788,Low Traffic
-10.629811,2.634585,Low Traffic
23.71792,-11.284968,Low Traffic
20.768724,-7.905554,Low Traffic
-14.925024,-2.7966242,Low Traffic
19.472204,-10.360114,Low Traffic
-17.70536,10.772447,Low Traffic
-11.572648,8.925242,Low Traffic
23.896082,-10.217495,Low Traffic
-12.6699505,1.79727,Low Traffic
-15.637372,-3.1376483,Low Traffic
31.553192,2.6409757,Low Traffic
-9.170731,4.432646,Low Traffic
-10.191611,7.855402,Low Traffic
-12.5551195,0.40318513,Low Traffic
34.79727,-2.6141336,Low Traffic
-15.848787,-0.68777406,Low Traffic
24.656239,-1.8917122,Low Traffic
21.421112,-13.178963,Low Traffic
30.880438,2.6037693,Low Traffic
-17.673231,-1.6246119,Low Traffic
24.835907,-10.846705,Low Traffic
-16.593616,-2.1909451,Low Traffic
-13.60142,6.4767804,Low Traffic
-10.979594,9.51696,Low Traffic
34.39177,-3.5945232,Low Traffic
-17.36276,1.2127748,Low Traffic
21.830624,-13.738015,Low Traffic
25.70657,-11.303343,Low Traffic
-19.410856,-0.04720209,Low Traffic
36.25824,-4.29504,Low Traffic
-21.832039,-2.7229009,Low Traffic
27.327217,-3.2903516,Low Traffic
31.97377,-2.6617963,Low Traffic
-18.320082,-3.5237794,Low Traffic
26.8811,-0.16594838,Low Traffic
-10.413507,7.501604,Low Traffic
-11.478141,9.031953,Low Traffic
30.129248,-4.087279,Low Traffic
-18.117416,11.973747,Low Traffic
23.836407,-10.668675,Low Traffic
24.114388,-7.4721837,Low Traffic
32.719257,-4.5855875,Low Traffic
28.523926,-2.827952,Low Traffic
32.484722,2.2783322,Low Traffic
25.824873,-7.8546166,Low Traffic
-15.700349,10.254186,Low Traffic
-14.635482,-1.0267726,Low Traffic
-10.540442,7.1561937,Low Traffic
34.63174,-4.267766,Low Traffic
30.172981,0.10895877,Low Traffic
30.561207,-3.40898,Low Traffic
28.616068,-2.6208723,Low Traffic
24.76027,-11.194968,Low Traffic
-18.462175,-1.9011372,Low Traffic
31.116499,2.9891722,Low Traffic
-20.995733,-3.4856715,Low Traffic
26.178635,-12.227332,Low Traffic
25.172245,-12.793189,Low Traffic
32.998966,1.1520807,Low Traffic
26.59231,-7.0372496,Low Traffic
-16.440113,2.9867,Low Traffic
36.217667,-3.8386219,Low Traffic
21.228985,-7.851329,Low Traffic
-20.968723,7.7433095,Low Traffic
-16.064495,-0.780291,Low Traffic
-24.573757,-0.6422855,Low Traffic
22.156641,-10.179698,Low Traffic
-24.631327,-2.7664087,Low Traffic
25.905855,-8.523154,Low Traffic
31.870918,-0.78086126,Low Traffic
-16.39933,11.33396,Low Traffic
-24.48217,-0.8332266,Low Traffic
-9.979889,8.104134,Low Traffic
31.931353,1.8105952,Low Traffic
32.341324,0.5931706,Low Traffic
20.778942,-10.475789,Low Traffic
22.601004,-14.688057,Low Traffic
-8.7480545,5.715176,Low Traffic
-19.010592,11.186819,Low Traffic
22.985483,-10.541901,Low Traffic
20.846947,-9.835013,Low Traffic
-15.921405,0.78962255,Low Traffic
25.714983,-5.9129148,Low Traffic
-14.903471,6.3017507,Low Traffic
-11.405748,10.420614,Low Traffic
26.482111,0.4390571,Low Traffic
25.957958,-13.408012,Low Traffic
24.317486,-2.5168562,Low Traffic
23.660519,-11.726634,Low Traffic
31.285976,0.30998096,Low Traffic
-18.769743,12.116184,Low Traffic
28.414965,1.8174628,Low Traffic
20.255255,-10.747247,Low Traffic
26.40448,-3.1092575,Low Traffic
33.86593,-4.9503937,Low Traffic
-19.198051,-1.0070307,Low Traffic
-9.645418,7.2243247,Low Traffic
-17.639563,-1.5686464,Low Traffic
24.922194,-7.3130803,Low Traffic
-11.375034,3.4591033,Low Traffic
-13.883133,4.259924,Low Traffic
-21.279686,-4.191109,Low Traffic
26.605942,-2.692858,Low Traffic
24.900206,-6.613867,Low Traffic
23.769354,-12.286276,Low Traffic
34.45225,-3.4970145,Low Traffic
-20.559273,-3.4173265,Low Traffic
27.344515,-0.967974,Low Traffic
23.623983,-12.878089,Low Traffic
