Density,Expert1 (Low Density),Expert2 (Medium Density),Expert3 (High Density)
20,33.08,44.03,22.89
30,31.05,50.54,18.41
40,28.64,56.85,14.51
50,25.99,62.77,11.24
60,23.21,68.23,8.56
70,20.44,73.13,6.43
80,17.79,77.44,4.77
90,15.32,81.18,3.51
100,13.08,84.37,2.55
110,11.09,87.06,1.85
120,9.34,89.33,1.33
