Model,Step,MAE
FTT,0,246.98103919570053
FTT,1,179.20202564639197
FTT,2,96.28710732806547
FTT,3,77.1303406518398
FTT,4,68.5653689534553
FTT,5,64.85955333292861
FTT,6,63.38704940481136
FTT,7,62.02775336156572
FTT,8,60.67901600562997
FTT,9,59.83097468231576
FTT,10,59.75223952109321
FTT,11,58.33510055341121
FTT,12,57.212902332466896
FTT,13,57.06994934386263
FTT,14,56.48204985713396
FTT,15,55.876109188878736
FTT,16,55.63597181860446
FTT,17,54.75133712252531
FTT,18,54.61291479879732
FTT,19,54.541515626198205
FTT,20,54.76143222909371
FTT,21,53.781742462488175
FTT,22,53.32258125231653
FTT,23,53.04919407695036
FTT,24,52.66962851433693
FTT,25,52.5551834322918
FTT,26,52.16883622586814
FTT,27,52.35803458240938
FTT,28,51.93111239108311
FTT,29,51.566788277875055
FTT,30,51.00556072226234
FTT,31,51.18900344843562
FTT,32,50.48540203690953
FTT,33,51.025065686627705
FTT,34,50.90095852451369
FTT,35,50.28242536477372
FTT,36,49.78116023443291
FTT,37,50.16493788901741
FTT,38,49.66499240737072
FTT,39,49.61657621545973
FTT,40,49.42540246726502
FTT,41,49.38318386883803
FTT,42,49.46449701926395
FTT,43,48.93677590939809
FTT,44,48.49994141274028
FTT,45,48.68763809319164
FTT,46,49.097904253589824
FTT,47,48.61797267412323
FTT,48,48.3548216690684
FTT,49,47.7126014330938
FTT,50,48.28067858075746
FTT,51,47.84046439552127
FTT,52,47.9666475985564
FTT,53,47.4948514105276
FTT,54,47.22261675914151
FTT,55,47.43427415602394
FTT,56,47.26803286897543
FTT,57,47.21741380109149
FTT,58,47.251529534369325
FTT,59,47.63707087266111
FTT,60,47.08958970545711
FTT,61,46.9318056778169
FTT,62,47.01184356307993
FTT,63,47.02261930033582
FTT,64,47.02618670778642
FTT,65,46.67342043555571
FTT,66,46.891205880074
FTT,67,47.29090002312537
FTT,68,46.37229170594118
FTT,69,46.79063549428376
FTT,70,46.128567657076765
FTT,71,46.48068193074052
FTT,72,46.60322191486031
FTT,73,46.55740238418944
