veh_id,cur_rsu,next_rsu,r_cov,dirct,d_rsu,d_e_n,n_t_0,n_t_1,n_t_2,n_t_3,d_l_c,d_l_n,v_c_a,v_n_a,tls_c,tls_n,tlt_c,tlt_n,n_cur,n_nxt,v_ahead_avg,dist_leader,v_leader,est_travel_time,route_lane_changes,q_len_cur,q_len_nxt,n_ahead_cur,n_ahead_nxt,n_merge_nxt,occ_cur,occ_nxt,dwell_cur,dwell_nxt
F11_2.0,N29,N22,800.0,1,2400.0,1968.8949908007162,9,30,0,0,431.10500919928404,3568.894990800716,0.0,0.0,-1,-1,4.0,4.0,17,4,13.505009231906968,33.9707838364925,13.047307049155682,201.7760895320597,0,0,0,4,0,30,0.05884330867518494,0.0,95.0,138.99999999999994
F11_12.0,N29,N30,800.0,-1,2400.0,1341.2239572679732,7,7,0,8,541.1740646559831,2941.223957267973,0.0,0.0,-2,1,15.0,15.0,29,8,10.749396608809365,200.0,10.749396608809365,229.9353156918524,0,0,0,0,0,15,0.00840618695359785,0.004203093476798925,51.0,182.0
F11_18.0,N29,N30,800.0,-1,2400.0,1438.3810337395662,7,7,0,8,638.3046263730771,3038.381033739566,0.0,0.0,-2,1,22.0,22.0,26,8,11.365787465909852,14.693775641821503,11.365787465909852,234.74875826530874,0,0,0,1,1,15,0.004392202975098603,0.0021961014875493015,63.0,178.0
F11_10.1,N29,N30,800.0,1,2400.0,1923.497022826602,7,7,0,8,476.50297717339794,3523.497022826602,0.0,0.0,-1,-1,0.0,0.0,18,7,12.981858607509334,18.225495641856924,11.920232253937142,201.4090886749056,0,0,0,2,0,15,0.046234028244788165,0.0,107.0,158.0
F15_3.0,N29,N22,800.0,-1,2400.0,932.4155715961906,42,54,18,0,132.3916660593061,2532.4155715961906,44.37304540846004,0.0,-2,1,29.0,29.0,71,12,13.001801975124316,64.71245580056461,12.332383465931708,190.6585613206834,0,0,0,4,4,72,0.018913920645595158,0.015761600537995964,11.0,176.0
F11_2.3,N29,N22,800.0,1,2400.0,2007.1120181560968,13,33,5,0,392.88798184390333,3607.112018156097,0.0,0.0,1,1,31.0,31.0,21,4,12.918740289570083,253.56419343797347,13.175857671386972,201.72665375574957,0,0,0,2,2,38,0.0401066979776525,0.0010507733691997312,145.0,136.0
F11_5.0,N29,N22,800.0,1,2400.0,1881.545473597002,17,34,6,0,518.4545264029982,3481.545473597002,0.0,0.0,1,1,20.0,20.0,27,5,10.277753718554532,14.476385197354375,12.3404620995099,205.1914446676575,0,0,0,3,3,40,0.05043712172158709,0.0010507733691997312,141.0,150.0
F15_5.0,N29,N22,800.0,1,2400.0,2391.3096233209576,14,34,5,0,8.690376679042288,3991.3096233209576,0.0,0.0,-1,1,28.0,28.0,22,4,11.47832734540899,200.0,11.47832734540899,203.150098988804,0,1,0,0,0,39,0.04203093476798924,0.0010507733691997312,140.0,157.0
F15_6.0,N29,N22,800.0,1,2400.0,2357.886513876072,14,34,5,0,42.113486123927714,3957.886513876072,0.0,0.0,-1,1,28.0,28.0,22,4,9.173284646274912,164.6980665730548,13.519809129120521,203.150098988804,0,1,0,3,3,39,0.05884330867518494,0.0010507733691997312,139.0,160.0
F15_0.0,N29,N22,800.0,-1,2400.0,1548.2993570254748,38,53,12,0,748.0721292371159,3148.299357025475,45.101886309870046,0.0,-2,1,40.0,40.0,66,11,12.365622982195706,42.647206486610614,11.752574314977794,187.38902575904217,0,0,0,7,7,65,0.0168123739071957,0.011558507061197043,70.0,165.0
