Time,VehicleID,X,Y,Z,State
33.0,V1,3728.7,379.8,165.6,DESCENT
33.0,V2,3728.7,379.8,195.6,DESCENT
33.0,V3,1071.8,2657.9,227.9,CRUISE
33.0,V4,3373.1,228.0,160.0,CRUISE
34.0,V1,3728.7,379.8,162.6,DESCENT
34.0,V2,3728.7,379.8,192.6,DESCENT
34.0,V3,1088.7,2622.2,226.7,CRUISE
34.0,V4,3366.9,223.3,160.6,CRUISE
35.0,V1,3728.7,379.8,159.6,DESCENT
35.0,V2,3728.7,379.8,189.6,DESCENT
35.0,V3,1106.7,2584.3,225.0,CRUISE
35.0,V4,3358.8,217.1,161.1,CRUISE
36.0,V1,3728.7,379.8,156.6,DESCENT
36.0,V2,3728.7,379.8,186.6,DESCENT
36.0,V3,1125.7,2544.2,223.0,CRUISE
36.0,V4,3348.7,209.4,161.3,CRUISE
37.0,V1,3728.7,379.8,153.6,DESCENT
37.0,V2,3728.7,379.8,183.6,DESCENT
37.0,V3,1145.7,2501.8,220.5,CRUISE
37.0,V4,3336.6,200.1,161.3,CRUISE
38.0,V1,3726.8,378.2,150.6,CRUISE
38.0,V2,3728.7,379.8,180.6,DESCENT
38.0,V3,1166.8,2457.2,217.6,CRUISE
38.0,V4,3322.5,189.4,161.0,CRUISE
39.0,V1,3723.1,374.8,147.7,CRUISE
39.0,V2,3728.7,379.8,177.6,DESCENT
39.0,V3,1188.2,2412.0,214.6,CRUISE
39.0,V4,3306.5,177.2,160.1,CRUISE
40.0,V1,3717.5,369.8,145.1,CRUISE
40.0,V2,3728.7,379.8,174.6,DESCENT
40.0,V3,1209.6,2366.8,211.6,CRUISE
40.0,V4,3292.5,166.5,158.9,DESCENT
41.0,V1,3710.1,363.2,143.0,CRUISE
41.0,V2,3728.7,379.8,171.6,DESCENT
41.0,V3,1230.9,2321.6,208.6,CRUISE
41.0,V4,3280.4,157.3,157.5,CRUISE
42.0,V1,3700.9,354.9,141.2,CRUISE
42.0,V2,3728.7,379.8,168.6,DESCENT
42.0,V3,1252.3,2276.4,205.6,CRUISE
42.0,V4,3270.4,149.6,156.1,CRUISE
43.0,V1,3689.9,345.0,140.0,CRUISE
43.0,V2,3728.7,379.8,165.6,DESCENT
43.0,V3,1273.7,2231.2,202.6,CRUISE
43.0,V4,3262.3,143.5,154.6,CRUISE
44.0,V1,3677.0,333.4,139.1,CRUISE
44.0,V2,3728.7,379.8,162.6,DESCENT
44.0,V3,1295.1,2186.0,200.0,CRUISE
44.0,V4,3256.2,138.8,153.0,CRUISE
45.0,V1,3662.3,320.2,138.7,CRUISE
45.0,V2,3728.7,379.8,159.6,DESCENT
45.0,V3,1316.5,2140.8,199.9,CRUISE
45.0,V4,3252.1,135.7,151.3,CRUISE
46.0,V1,3645.7,305.3,138.8,CRUISE
46.0,V2,3728.7,379.8,156.6,DESCENT
46.0,V3,1337.8,2095.6,200.0,CRUISE
46.0,V4,3250.0,134.1,149.7,CRUISE
47.0,V1,3627.3,288.8,139.3,CRUISE
47.0,V2,3728.7,379.8,153.6,DESCENT
47.0,V3,1359.2,2050.4,200.0,CRUISE
47.0,V4,3249.9,134.0,148.2,CRUISE
48.0,V1,3607.1,270.6,140.2,CRUISE
48.0,V2,3726.8,378.2,150.6,CRUISE
48.0,V3,1380.6,2005.2,200.0,CRUISE
48.0,V4,3251.8,135.4,146.8,CRUISE
49.0,V1,3585.1,250.8,141.6,CRUISE
49.0,V2,3723.1,374.8,147.7,CRUISE
49.0,V3,1402.0,1960.0,200.0,CRUISE
49.0,V4,3255.6,138.4,145.6,CRUISE
50.0,V1,3561.2,229.4,143.4,CRUISE
50.0,V2,3717.5,369.8,145.1,CRUISE
50.0,V3,1423.4,1914.8,200.0,CRUISE
50.0,V4,3261.4,142.8,144.8,CRUISE
51.0,V1,3535.5,206.3,145.6,CRUISE
51.0,V2,3710.1,363.2,143.0,CRUISE
51.0,V3,1444.7,1869.6,200.0,CRUISE
51.0,V4,3269.2,148.8,144.3,CRUISE
52.0,V1,3508.0,181.5,148.2,CRUISE
52.0,V2,3700.9,354.9,141.2,CRUISE
52.0,V3,1466.1,1824.4,200.0,CRUISE
52.0,V4,3279.0,156.2,144.3,CRUISE
53.0,V1,3478.6,155.1,150.6,CRUISE
53.0,V2,3689.9,345.0,140.0,CRUISE
53.0,V3,1487.5,1779.2,200.0,CRUISE
53.0,V4,3290.6,165.1,145.1,CRUISE
54.0,V1,3447.4,127.1,152.4,CRUISE
54.0,V2,3677.0,333.4,139.1,CRUISE
54.0,V3,1508.9,1734.0,200.0,CRUISE
54.0,V4,3301.4,173.3,148.1,CRUISE
55.0,V1,3414.5,97.6,153.0,CRUISE
55.0,V2,3662.3,320.2,138.7,CRUISE
55.0,V3,1530.2,1688.8,200.0,CRUISE
55.0,V4,3314.0,183.1,151.0,CRUISE
56.0,V1,3380.1,66.6,152.3,CRUISE
56.0,V2,3645.7,305.3,138.8,CRUISE
56.0,V3,1551.6,1643.6,200.0,CRUISE
56.0,V4,3328.5,194.7,153.7,CRUISE
57.0,V1,3344.0,34.2,150.6,CRUISE
57.0,V2,3627.3,288.8,139.3,CRUISE
57.0,V3,1573.0,1598.4,200.0,CRUISE
57.0,V4,3344.8,207.8,155.9,CRUISE
58.0,V1,3306.8,0.7,150.0,CRUISE
58.0,V2,3607.1,270.6,140.2,CRUISE
58.0,V3,1594.4,1553.2,200.0,CRUISE
58.0,V4,3363.0,222.6,157.6,CRUISE
59.0,V1,3271.4,-31.0,149.4,CRUISE
59.0,V2,3585.1,250.8,141.6,CRUISE
59.0,V3,1615.8,1508.0,200.0,CRUISE
59.0,V4,3383.0,239.1,159.0,CRUISE
60.0,V1,3238.0,-61.1,148.9,CRUISE
60.0,V2,3561.2,229.4,143.4,CRUISE
60.0,V3,1637.1,1462.8,200.0,CRUISE
60.0,V4,3404.8,257.2,159.9,CRUISE
61.0,V1,3206.3,-89.5,148.4,CRUISE
61.0,V2,3535.5,206.3,145.6,CRUISE
61.0,V3,1658.5,1417.6,200.0,CRUISE
61.0,V4,3428.4,276.9,160.3,CRUISE
62.0,V1,3176.6,-116.2,148.0,CRUISE
62.0,V2,3508.0,181.5,148.2,CRUISE
62.0,V3,1679.9,1372.4,200.0,CRUISE
62.0,V4,3453.8,298.4,160.3,CRUISE
63.0,V1,3148.7,-141.3,147.6,CRUISE
63.0,V2,3478.6,155.1,150.6,CRUISE
63.0,V3,1701.3,1327.2,200.0,CRUISE
63.0,V4,3481.0,321.5,159.9,CRUISE
64.0,V1,3122.7,-164.7,147.3,CRUISE
64.0,V2,3447.4,127.1,152.4,CRUISE
64.0,V3,1722.6,1282.0,200.0,CRUISE
64.0,V4,3510.0,346.3,159.0,CRUISE
65.0,V1,3098.5,-186.4,147.1,CRUISE
65.0,V2,3414.5,97.6,153.0,CRUISE
65.0,V3,1744.0,1236.8,200.0,CRUISE
65.0,V4,3540.7,372.9,157.7,CRUISE
66.0,V1,3076.2,-206.5,147.0,CRUISE
66.0,V2,3380.1,66.6,152.3,CRUISE
66.0,V3,1765.4,1191.6,200.0,CRUISE
