model_name,category,best_value,best_trial_number,hidden_dim,learning_rate,gamma,clip_range,ent_coef,vf_coef,n_epochs,w1,w2,w3,w4,reward_weights_json,hparams_json,tau,target_update_interval,policy_delay,target_policy_noise,target_noise_clip,lr_actor,lr_critic,num_res_blocks,epsilon_decay,lr_q,clip_ratio,entropy_coef,value_coef,lr,target_update_freq,per_alpha,omega,actor_lr,critic_lr,global_critic_weight,gumbel_tau
PPO,Category 1 (Basic),31.064,10,64,0.0010809366764261586,0.9975073184286054,0.2361881493638004,0.02051249550821203,0.5638821363327259,4.0,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""learning_rate"": 0.0010809366764261586, ""gamma"": 0.9975073184286054, ""clip_range"": 0.2361881493638004, ""ent_coef"": 0.02051249550821203, ""vf_coef"": 0.5638821363327259, ""n_epochs"": 4}",,,,,,,,,,,,,,,,,,,,,
SAC,Category 1 (Basic),15.3315,11,256,0.0027207252467157236,0.9728362403567159,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 256, ""learning_rate"": 0.0027207252467157236, ""gamma"": 0.9728362403567159, ""tau"": 0.004400956473756023, ""target_update_interval"": 1}",0.004400956473756023,1.0,,,,,,,,,,,,,,,,,,,
TD3,Category 1 (Basic),1.1831,14,64,0.00014286087587174216,0.9686210900343065,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""learning_rate"": 0.00014286087587174216, ""gamma"": 0.9686210900343065, ""tau"": 0.003388090824674181, ""policy_delay"": 3, ""target_policy_noise"": 0.11093660279535178, ""target_noise_clip"": 0.2767791941805241}",0.003388090824674181,,3.0,0.11093660279535178,0.2767791941805241,,,,,,,,,,,,,,,,
RES-MAPDDPG,Category 2 (Latest),10.0093,12,64,,0.9503074785171901,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""lr_actor"": 0.00010370908867969758, ""lr_critic"": 0.00030386862788237174, ""gamma"": 0.9503074785171901, ""tau"": 0.002111505744716034, ""num_res_blocks"": 1, ""epsilon_decay"": 0.9935491114049353}",0.002111505744716034,,,,,0.00010370908867969758,0.00030386862788237174,1.0,0.9935491114049353,,,,,,,,,,,,
MA2HDQN,Category 2 (Latest),7.93,14,64,,0.9610089895669421,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""lr_q"": 0.0013304052839132727, ""lr_actor"": 0.0003339120912607416, ""lr_critic"": 0.00010117131728547454, ""gamma"": 0.9610089895669421, ""tau"": 0.003402489714403765, ""epsilon_decay"": 0.9905080161893678}",0.003402489714403765,,,,,0.0003339120912607416,0.00010117131728547454,,0.9905080161893678,0.0013304052839132727,,,,,,,,,,,
I-HAMAPPO,Category 2 (Latest),16.2884,11,64,,0.9986278038774985,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.9986278038774985, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,,,,,0.0008433020501242809,0.0005608338145080542,,,,0.24947883746104182,0.004483168971211849,0.5771926186506204,,,,,,,,
SPAM-D3QN,Category 3 (Similar),12.8915,2,64,,0.9723474292266348,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""lr"": 0.0003476649150592621, ""gamma"": 0.9723474292266348, ""target_update_freq"": 200, ""epsilon_decay"": 0.9956279384041894, ""per_alpha"": 0.4185801650879991}",,,,,,,,,0.9956279384041894,,,,,0.0003476649150592621,200.0,0.4185801650879991,,,,,
CARLTON,Category 3 (Similar),21.6427,14,128,,0.9722836721875214,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 128, ""lr"": 0.00010511167829158413, ""gamma"": 0.9722836721875214, ""omega"": 0.3113691375471681}",,,,,,,,,,,,,,0.00010511167829158413,,,0.3113691375471681,,,,
MADDPG-MT,Category 3 (Similar),0.9255,0,128,,0.9576437314964739,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 128, ""actor_lr"": 0.0007661100707771367, ""critic_lr"": 0.0001700037298921101, ""gamma"": 0.9576437314964739, ""tau"": 0.0011900590783184247, ""global_critic_weight"": 0.7929409166199481, ""gumbel_tau"": 1.4016725176148133}",0.0011900590783184247,,,,,,,,,,,,,,,,,0.0007661100707771367,0.0001700037298921101,0.7929409166199481,1.4016725176148133
