episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_task_decomposed,wiring_task_decomposed_n,wiring_global_critic_cooperative,wiring_global_critic_cooperative_n
88,176000,20.0,-0.059054,-0.443568,-0.059054,,,,0,False,-0.036823,1.0045,0.9067201130092144,220,24380,220,1219,9.3737,7.5113,3180,3176,ok,,6.3224,45.2,7.3451,0.1299,4.3114,253.0139,4.2291,4.3485,10.4787,0.01643,0.8709,0.3549,3233,420,5,0.26207,1115733,4257393,8.2376,2813,0,241159,362,0.001811,0.00784,220,1.0,220,1.0,220
89,178000,25.0,-0.067518,-0.541078,-0.067518,,,,0,False,-0.036823,0.9726,0.8594366312026978,256,24636,256,1231,9.6882,8.0138,3557,3553,ok,,6.7783,45.3,7.8862,0.1884,5.3613,323.2249,4.0576,6.4673,10.4789,0.019687,0.8498,0.2968,3875,730,6,0.24706,1330193,5384097,9.4285,3145,0,287664,405,0.002171,0.01008,256,1.0,256,1.0,256
90,180000,30.0,-0.070913,-0.518666,-0.070913,-0.035467,-0.205196,20.0,3580,True,-0.035467,1.1363,0.9464270919561386,263,24899,263,1244,8.6464,7.3141,3677,3674,ok,,6.4371,46.0,7.2473,0.2113,5.0601,287.049,3.2707,6.6603,10.4787,0.021339,0.864,0.3312,4197,887,8,0.280733,1698000,6048458,8.1471,3310,0,271843,359,0.002351,0.00896,263,1.0,263,1.0,263
91,182000,35.0,-0.06867,-0.488829,-0.06867,,,,0,False,-0.035467,1.055,1.016887977719307,305,25204,305,1260,8.3386,7.1185,4525,4523,ok,,6.1633,45.3,7.1084,0.2278,4.605,313.6135,3.8264,5.3536,10.4782,0.027058,0.8675,0.2707,5326,1213,29,0.301695,1869959,6198177,7.2243,4113,0,325909,383,0.002983,0.01008,305,1.0,305,1.0,305
92,184000,5.0,-0.051091,-0.341307,-0.051091,,,,0,False,-0.035467,1.2132,1.1129598319530487,57,25261,57,1263,8.9795,6.6804,511,511,ok,,6.3054,41.8,6.2305,0.0965,4.2629,227.7253,3.6163,4.4393,10.5235,0.002502,0.7646,0.2177,487,47,0,0.281648,306095,1086801,8.2269,440,0,34520,71,0.000273,0.00336,57,1.0,57,1.0,57
93,186000,10.0,-0.045762,-0.293673,-0.045762,,,,0,False,-0.035467,1.0088,0.9964105747640133,118,25379,118,1268,8.2257,6.4174,1504,1504,ok,,5.6115,33.4,6.1191,0.1377,2.4774,172.8018,3.1033,2.2737,10.4727,0.007814,0.8739,0.2998,1540,212,4,0.27219,605950,2226204,5.1742,1328,0,97719,172,0.000862,0.00672,118,1.0,118,1.0,118
94,188000,15.0,-0.055339,-0.375284,-0.055339,,,,0,False,-0.035467,1.0702,0.9700729362666607,146,25525,146,1276,8.8319,6.7816,1818,1817,ok,,5.8855,45.1,6.4922,0.1362,4.0123,293.692,3.6778,4.1288,10.4887,0.009352,0.8364,0.2663,1836,250,1,0.265781,867898,3265460,7.7651,1586,0,124644,231,0.001028,0.0056,146,1.0,146,1.0,146
95,190000,20.0,-0.056718,-0.399347,-0.056718,,,,0,False,-0.035467,0.9614,0.9355573356151581,184,25709,184,1285,8.9345,7.0409,2447,2447,ok,,5.992,45.3,6.8515,0.1485,3.8148,237.1335,2.9892,4.2352,10.5044,0.012954,0.8221,0.2689,2532,376,3,0.262563,1111279,4232425,7.5589,2156,0,174255,288,0.001418,0.00784,184,1.0,184,1.0,184
96,192000,25.0,-0.060877,-0.430363,-0.060877,,,,0,False,-0.035467,0.944,0.9234645962715149,243,25952,243,1297,8.6529,7.0694,3374,3372,ok,,6.0543,45.2,6.8892,0.2066,3.8788,208.7086,2.8832,4.4246,10.4819,0.019348,0.8739,0.3625,3809,787,7,0.248287,1288338,5188896,7.3064,3022,0,241198,345,0.002133,0.00896,243,1.0,243,1.0,243
97,194000,30.0,-0.068714,-0.531882,-0.068714,,,,0,False,-0.035467,0.985,0.8958775885403156,269,26221,269,1311,9.1118,7.7406,3733,3731,ok,,7.0672,79.2,7.6142,0.2053,5.1614,311.2314,3.0461,7.0819,10.4772,0.021555,0.7942,0.3318,4243,871,12,0.288191,1783028,6186966,8.0363,3372,0,291982,349,0.002377,0.0112,269,1.0,269,1.0,269
98,196000,35.0,-0.063532,-0.459778,-0.063532,,,,0,False,-0.035467,1.1294,0.991002045571804,322,26543,322,1327,8.4496,7.2369,4696,4693,ok,,6.3473,45.2,7.1538,0.2479,4.0206,343.526,2.6698,5.3932,10.4796,0.028713,0.8514,0.3681,5652,1401,22,0.295248,1877368,6358610,7.1685,4251,0,343686,423,0.003165,0.01232,322,1.0,322,1.0,322
