episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_n_step_active,wiring_n_step_active_n,wiring_target_synced,wiring_target_synced_n
86,172000,10.0,-0.037499,-0.345353,-0.037499,,,,0,False,-0.033348,2.5569,2.225808337330818,112,24021,112,1201,12.2805,9.2096,854,854,ok,,7.1952,45.2,8.9239,0.1086,2.6268,322.8649,1.7047,2.8944,10.2628,0.003804,0.8805,0.1485,792,86,2,0.277013,567362,2048141,8.1527,706,0,79255,146,0.000446,0.00448,112,0.0,112,0.008928571428571428,112
87,174000,15.0,-0.047575,-0.429176,-0.047575,,,,0,False,-0.033348,2.2914,2.119446448981762,196,24217,196,1210,11.253,9.021,1875,1872,ok,,6.9055,45.2,8.9693,0.1359,3.5488,219.3188,2.7825,3.848,10.2591,0.008752,0.8676,0.3565,1832,249,4,0.269463,870081,3228941,10.276,1583,0,170272,287,0.001026,0.00672,196,0.0,196,0.00510204081632653,196
88,176000,20.0,-0.045496,-0.389506,-0.045496,,,,0,False,-0.033348,2.3219,2.087285939604044,282,24499,282,1224,10.0831,8.5613,2792,2791,ok,,6.6892,45.2,8.6824,0.159,3.0977,308.9432,3.4361,2.9452,10.2522,0.013737,0.8753,0.2716,2881,458,7,0.26207,1115733,4257393,8.1715,2423,0,241159,362,0.001614,0.01008,282,0.0,282,0.0035460992907801418,282
89,178000,25.0,-0.051838,-0.487367,-0.051838,,,,0,False,-0.033348,2.2832,1.9543142393231392,304,24803,304,1240,10.9195,9.4017,3039,3034,ok,,7.6648,45.2,9.544,0.2087,3.323,146.2191,2.4492,4.0642,10.2523,0.015809,0.8897,0.5856,3315,692,10,0.24706,1330193,5384097,9.6922,2623,0,287664,405,0.001858,0.01008,304,0.0,304,0.006578947368421052,304
90,180000,30.0,-0.050897,-0.416697,-0.050897,-0.03729,-0.273221,20.0,2837,False,-0.033348,2.1558,1.9536681771278381,332,25135,332,1256,9.4579,8.187,3288,3287,ok,,6.9137,45.3,8.2362,0.2127,3.1547,172.245,2.2925,3.9258,10.2504,0.017662,0.8954,0.4411,3705,788,12,0.280733,1698000,6048458,7.9807,2917,0,271843,359,0.002076,0.00896,332,0.0,332,0.0030120481927710845,332
91,182000,35.0,-0.056394,-0.500193,-0.056394,,,,0,False,-0.033348,2.3739,2.0998252257704735,356,25491,356,1274,9.8823,8.8696,3644,3640,ok,,7.4625,62.8,9.1209,0.2418,4.3413,295.0064,3.16,5.477,10.2535,0.020403,0.8646,0.2981,4277,1034,18,0.301695,1869959,6198177,9.0507,3243,0,325909,383,0.002396,0.00896,356,0.0,356,0.0056179775280898875,356
92,184000,5.0,-0.033518,-0.279902,-0.033518,,,,0,False,-0.033348,2.5343,2.204091377556324,68,25559,68,1277,11.4925,8.3507,410,410,ok,,6.7006,44.1,8.3277,0.0813,2.0231,130.4628,2.1354,1.9924,10.281,0.001772,0.875,0.5115,369,30,0,0.281648,306095,1086801,7.7265,339,0,34520,71,0.000207,0.00448,68,0.0,68,0.0,68
93,186000,10.0,-0.035833,-0.296368,-0.035833,,,,0,False,-0.033348,2.8642,2.0495664328336716,139,25698,139,1284,10.374,8.2707,1171,1171,ok,,6.6011,44.2,8.1926,0.0993,2.0148,151.3263,1.5916,2.1525,10.2603,0.005303,0.855,0.4523,1108,110,1,0.27219,605950,2226204,6.671,998,0,97719,172,0.000622,0.00448,139,0.0,139,0.007194244604316547,139
94,188000,15.0,-0.043871,-0.34998,-0.043871,,,,0,False,-0.033348,2.1105,2.069733753800392,174,25872,174,1293,10.0462,7.9775,1548,1548,ok,,6.3897,45.2,7.8462,0.1314,2.8358,167.8694,2.137,3.0793,10.2468,0.007216,0.8599,0.4442,1515,199,1,0.265781,867898,3265460,8.5513,1316,0,124644,231,0.000849,0.0056,174,0.0,174,0.005747126436781609,174
95,190000,20.0,-0.044007,-0.343549,-0.044007,,,,0,False,-0.033348,2.655,1.953186571598053,239,26111,239,1305,9.6457,7.8066,2212,2210,ok,,6.4942,45.3,7.5535,0.1436,2.906,213.2106,1.8826,3.4272,10.2629,0.010733,0.8564,0.3267,2242,322,4,0.262563,1111279,4232425,7.6615,1920,0,174255,288,0.001258,0.00672,239,0.0,239,0.0041841004184100415,239
96,192000,25.0,-0.051107,-0.406186,-0.051107,,,,0,False,-0.033348,2.2608,1.8666484653949738,304,26415,304,1320,9.2244,7.9477,3006,3004,ok,,6.5921,45.2,8.0945,0.2049,3.2556,212.8927,2.2376,3.8138,10.2547,0.015939,0.8579,0.4123,3339,684,6,0.248287,1288338,5188896,8.0756,2655,0,241198,345,0.001872,0.00784,304,0.0,304,0.006578947368421052,304
97,194000,30.0,-0.047806,-0.408234,-0.047806,,,,0,False,-0.033348,2.0415,1.7713347002863884,338,26753,338,1337,10.0202,8.5394,3388,3386,ok,,6.9785,56.4,8.551,0.2409,2.9369,150.0636,1.5681,4.1796,10.2545,0.018978,0.8659,0.5862,3977,958,20,0.288191,1783028,6186966,7.7554,3019,0,291982,349,0.002228,0.0112,338,0.0,338,0.0029585798816568047,338
98,196000,35.0,-0.048777,-0.388822,-0.048777,,,,0,False,-0.033348,2.3753,1.9699861146509647,408,27161,408,1358,9.4049,7.9714,4267,4266,ok,,6.6484,45.2,7.9277,0.2376,2.6535,165.9051,1.6674,3.6555,10.2636,0.024,0.8971,0.4972,5021,1193,16,0.295248,1877368,6358610,6.7537,3828,0,343686,423,0.002812,0.0112,408,0.0,408,0.004901960784313725,408
99,198000,5.0,-0.034752,-0.311543,-0.034752,,,,0,False,-0.033348,2.3639,1.9632955491542816,79,27240,79,1362,12.4578,8.9648,591,591,ok,,7.1457,40.3,8.9118,0.0737,2.6881,213.8141,1.3704,3.0421,10.2559,0.002524,0.8795,0.1707,529,39,0,0.28664,304377,1061878,8.2509,490,0,53396,101,0.000296,0.00448,79,0.0,79,0.012658227848101266,79
100,200000,10.0,-0.040289,-0.411113,-0.040289,-0.045476,-0.451953,20.0,2099,False,-0.033348,2.4437,2.092841826379299,108,27348,108,1367,14.8089,10.204,751,751,ok,,8.157,45.2,10.0038,0.1042,3.1766,291.9862,3.7269,3.0561,10.2452,0.003069,0.8673,0.2369,643,67,1,0.282474,573191,2029179,10.8016,576,0,77088,174,0.000361,0.00448,108,0.0,108,0.0,108
