episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_n_step_active,wiring_n_step_active_n,wiring_target_synced,wiring_target_synced_n
76,152000,30.0,-0.053267,-0.497246,-0.053267,,,,0,False,-0.033348,2.2283,1.8713470622897148,322,21888,322,1094,10.8662,9.3349,3120,3117,ok,,7.0227,45.3,9.3918,0.228,3.5444,196.5712,2.388,4.6049,10.2523,0.01708,0.8955,0.5142,3583,817,8,0.284895,1757661,6169496,9.2587,2766,0,293542,346,0.002006,0.00896,322,0.0,322,0.006211180124223602,322
77,154000,35.0,-0.048278,-0.404591,-0.048278,,,,0,False,-0.033348,2.4545,2.065988000482321,362,22250,362,1112,9.9087,8.3804,3652,3647,ok,,6.2867,45.2,8.4882,0.2123,3.0385,193.1815,1.7464,4.0198,10.2461,0.019579,0.9049,0.5176,4112,873,12,0.292686,1850788,6323463,8.1294,3239,0,308650,400,0.002304,0.00896,362,0.0,362,0.0055248618784530384,362
78,156000,5.0,-0.03908,-0.39204,-0.03908,,,,0,False,-0.033348,2.4327,2.125495821237564,71,22321,71,1116,12.7648,10.0317,509,508,ok,,8.0818,45.2,9.9153,0.0457,4.0335,349.5554,6.6402,3.0566,10.2555,0.002089,0.8814,0.1847,438,20,0,0.281695,315809,1121103,9.8451,418,0,51321,91,0.000245,0.00336,71,0.0,71,0.0,71
79,158000,10.0,-0.036204,-0.329222,-0.036204,,,,0,False,-0.033348,2.3931,2.0464344918727875,120,22441,120,1122,12.0666,9.0934,884,884,ok,,6.8259,38.7,8.8126,0.11,2.1825,123.4268,1.3858,2.3891,10.2487,0.003941,0.9106,0.4718,827,91,0,0.274529,562878,2050342,8.0465,736,0,81006,148,0.000463,0.00448,120,0.0,120,0.008333333333333333,120
80,160000,15.0,-0.040497,-0.376621,-0.040497,-0.040984,-0.371201,20.0,2301,False,-0.033348,2.2184,2.081528514623642,181,22622,181,1131,12.0789,9.3,1625,1623,ok,,6.9792,45.2,8.9137,0.1286,2.6338,190.2597,2.2763,2.7468,10.2752,0.007564,0.8858,0.3589,1578,203,1,0.267726,856148,3197855,8.4577,1375,0,152158,248,0.000884,0.0056,181,0.0,181,0.0055248618784530384,181
81,162000,20.0,-0.056891,-0.587969,-0.056891,,,,0,False,-0.033348,2.7069,2.1898724734783173,207,22829,207,1141,12.8652,10.3351,1743,1743,ok,,7.7893,45.2,10.4259,0.113,5.4009,298.9221,6.524,4.9988,10.2521,0.007765,0.8584,0.2625,1629,184,3,0.254013,1080802,4254914,14.0089,1445,0,181396,295,0.000912,0.0056,207,0.0,207,0.004830917874396135,207
82,164000,25.0,-0.056191,-0.510433,-0.056191,,,,0,False,-0.033348,2.7066,2.1106881499290466,289,23118,289,1155,10.7068,9.0838,2853,2850,ok,,6.7393,45.2,8.9951,0.2228,4.0181,238.5579,3.5645,4.3327,10.2549,0.015318,0.9175,0.3617,3209,715,13,0.256584,1365953,5323617,10.272,2494,0,261197,346,0.001798,0.00896,289,0.0,289,0.0034602076124567475,289
83,166000,30.0,-0.047763,-0.408466,-0.047763,,,,0,False,-0.033348,2.7833,2.3050902634859085,375,23493,375,1174,10.2479,8.5519,3749,3747,ok,,6.9497,45.2,8.4458,0.2465,2.8054,292.3646,1.85,3.6367,10.2548,0.021118,0.8733,0.2406,4426,1091,22,0.285335,1730195,6063739,7.3431,3335,0,323587,392,0.00248,0.01008,375,0.0,375,0.005333333333333333,375
84,168000,35.0,-0.045148,-0.409984,-0.045148,,,,0,False,-0.033348,2.5612,2.369942992925644,345,23838,345,1191,10.6298,9.0809,3461,3460,ok,,6.9058,54.7,9.1101,0.2533,2.8139,171.9297,1.8132,3.7933,10.2494,0.019632,0.8899,0.5092,4122,1044,15,0.300575,1925702,6406731,7.9563,3078,0,317094,368,0.002308,0.01008,345,0.0,345,0.005797101449275362,345
85,170000,5.0,-0.037019,-0.348923,-0.037019,,,,0,False,-0.033348,2.4635,2.3707477748394012,71,23909,71,1195,13.223,9.4254,460,460,ok,,7.5639,45.2,9.3446,0.0763,2.8923,202.0626,3.7293,2.7034,10.239,0.001868,0.8225,0.2825,393,30,0,0.290133,315793,1088442,10.4172,363,0,43654,96,0.00022,0.00336,71,0.0,71,0.0,71
