episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_actor_updated,wiring_actor_updated_n
88,176000,20.0,-0.04304,-0.299026,-0.04304,,,,0,False,-0.038662,0.2657,0.21871177107095718,474,52577,474,2628,7.8755,6.9476,3434,3430,ok,,4.6621,26.6,6.9828,0.1293,2.0617,109.1329,1.5227,2.3046,10.4638,0.018011,0.9387,0.6184,3527,456,1,0.26207,1115733,4257393,5.8798,3071,0,241159,362,0.001975,0.00896,474,0.5,474
89,178000,25.0,-0.047096,-0.321194,-0.047096,,,,0,False,-0.038662,0.3366,0.23816678673028946,574,53151,574,2657,7.7125,6.8199,4168,4166,ok,,4.5443,27.1,6.9566,0.1939,2.4284,195.6313,1.4071,3.2949,10.4314,0.023511,0.949,0.5306,4651,902,13,0.24706,1330193,5384097,6.1726,3749,0,287664,405,0.002607,0.0112,574,0.5,574
90,180000,30.0,-0.045896,-0.292081,-0.045896,-0.037958,-0.244127,20.0,3226,True,-0.037958,0.3258,0.27261441946029663,590,53741,590,2687,7.1,6.364,4217,4214,ok,,4.2325,32.8,6.4218,0.2402,2.1295,123.9992,1.1861,2.9731,10.4081,0.025271,0.9439,0.5571,5046,1212,24,0.280733,1698000,6048458,5.2893,3834,0,271843,359,0.002827,0.0112,590,0.5,590
91,182000,35.0,-0.045942,-0.303915,-0.045942,,,,0,False,-0.037958,0.4015,0.2646583318710327,659,54400,659,2720,7.2453,6.6152,4865,4862,ok,,4.4154,31.0,6.7112,0.2492,2.128,128.9834,1.3198,2.9049,10.3514,0.029247,0.9385,0.5425,5938,1480,24,0.301695,1869959,6198177,5.4307,4458,0,325909,383,0.003328,0.0112,659,0.5007587253414264,659
92,184000,5.0,-0.038766,-0.215593,-0.038766,,,,0,False,-0.037958,0.3251,0.22555147856473923,126,54526,126,2726,6.6244,5.5614,612,612,ok,,3.8291,18.9,5.4969,0.1043,1.5373,85.1072,1.0605,1.6674,10.6527,0.003334,0.9433,0.5991,604,63,0,0.281648,306095,1086801,4.63,541,0,34520,71,0.000338,0.00336,126,0.5,126
93,186000,10.0,-0.038978,-0.235638,-0.038978,,,,0,False,-0.037958,0.2813,0.23203769326210022,261,54787,261,2739,7.1048,6.0455,1596,1595,ok,,4.0598,24.1,6.0267,0.1476,1.8015,170.4381,1.1124,2.0258,10.5032,0.008696,0.9275,0.3426,1667,246,3,0.27219,605950,2226204,4.3381,1421,0,97719,172,0.000935,0.00672,261,0.49808429118773945,261
94,188000,15.0,-0.041934,-0.257194,-0.041934,,,,0,False,-0.037958,0.319,0.21382108330726624,315,55102,315,2755,7.1716,6.1333,2006,2006,ok,,4.2326,28.3,6.0948,0.1626,1.9492,135.8303,0.9146,2.3096,10.5428,0.011206,0.925,0.5411,2116,344,3,0.265781,867898,3265460,5.4674,1772,0,124644,231,0.001186,0.00784,315,0.5015873015873016,315
95,190000,20.0,-0.042602,-0.267917,-0.042602,,,,0,False,-0.037958,0.317,0.22285261750221252,415,55517,415,2775,7.3967,6.2889,2737,2735,ok,,4.2738,24.0,6.3744,0.163,2.0005,153.6546,1.195,2.4106,10.4665,0.015,0.9386,0.5088,2921,476,4,0.262563,1111279,4232425,5.3861,2445,0,174255,288,0.001637,0.00896,415,0.4987951807228916,415
96,192000,25.0,-0.044768,-0.302379,-0.044768,,,,0,False,-0.037958,0.2864,0.21082276105880737,521,56038,521,2801,7.6973,6.7544,3528,3527,ok,,4.4979,26.6,6.8176,0.1939,2.1675,102.2462,1.3551,2.613,10.401,0.019724,0.9355,0.6225,3936,763,10,0.248287,1288338,5188896,5.884,3173,0,241198,345,0.002206,0.0112,521,0.5009596928982726,521
97,194000,30.0,-0.04597,-0.319129,-0.04597,,,,0,False,-0.037958,0.3577,0.22812122106552124,599,56637,599,2831,7.703,6.9422,4156,4154,ok,,4.5843,46.5,7.0312,0.2339,2.4366,205.6615,1.3391,3.4331,10.327,0.024117,0.9281,0.2933,4950,1158,15,0.288191,1783028,6186966,5.8113,3792,0,291982,349,0.002773,0.01008,599,0.4991652754590985,599
