model_name,category,best_value,best_trial_number,hidden_dim,lr,gamma,target_update_freq,epsilon_decay,per_alpha,w1,w2,w3,w4,reward_weights_json,hparams_json,best_trial_diverged,n_diverged_trials,omega
SPAM-D3QN,Category 3 (Similar),10.9528,12,256,0.00011373436791696058,0.9691171241356731,1000.0,0.9982188038016471,0.7935240098086288,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 256, ""lr"": 0.00011373436791696058, ""gamma"": 0.9691171241356731, ""target_update_freq"": 1000, ""epsilon_decay"": 0.9982188038016471, ""per_alpha"": 0.7935240098086288}",False,0,
CARLTON,Category 3 (Similar),10.9243,13,256,0.0002943382823012116,0.9724204797376625,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 256, ""lr"": 0.0002943382823012116, ""gamma"": 0.9724204797376625, ""omega"": 16.654404935244415}",False,0,16.654404935244415
