model_name,category,best_value,best_trial_number,hidden_dim,learning_rate,gamma,tau,policy_delay,target_policy_noise,target_noise_clip,w1,w2,w3,w4,reward_weights_json,hparams_json,best_trial_diverged,n_diverged_trials,n_trials,n_usable_trials,n_penalised_trials,failed_fraction,lr_actor,lr_critic,num_res_blocks,epsilon_decay
TD3,Category 1 (Basic),4.7504,10,64,0.00010206070557577011,0.9887814844315146,0.0010552829926879388,2.0,0.20818878163510957,0.27737808578044765,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""learning_rate"": 0.00010206070557577011, ""gamma"": 0.9887814844315146, ""tau"": 0.0010552829926879388, ""policy_delay"": 2, ""target_policy_noise"": 0.20818878163510957, ""target_noise_clip"": 0.27737808578044765}",False,0,15,15,0,0.0,,,,
RES-MAPDDPG,Category 2 (Latest),24.0811,12,64,,0.9502510028711756,0.002111505744716034,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""lr_actor"": 0.00010370908867969758, ""lr_critic"": 0.00030386862788237174, ""gamma"": 0.9502510028711756, ""tau"": 0.002111505744716034, ""num_res_blocks"": 1, ""epsilon_decay"": 0.9935491114049353}",False,0,15,15,0,0.0,0.00010370908867969758,0.00030386862788237174,1.0,0.9935491114049353
