episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_neighbourhood_used,wiring_neighbourhood_used_n,wiring_behaviour_logp_stored,wiring_behaviour_logp_stored_n,wiring_policy_synced,wiring_policy_synced_n
14,28000,35.0,-0.056819,-0.388942,-0.056819,,,,0,False,-0.051117,0.08,0.08884332206252188,858,6934,858,346,7.305,6.8453,4592,4588,ok,,4.5702,23.1,7.0098,0.1224,2.4234,172.6898,1.3507,3.3447,14.5467,0.080269,0.9349,0.5052,4770,584,7,0.294441,1849592,6281708,5.8636,4186,0,318028,399,0.002672,0.0112,858,1.0,858,1.0,858,0.2494172494172494,858
15,30000,5.0,-0.052268,-0.367673,-0.052268,,,,0,False,-0.051117,0.0662,0.050467450188907186,158,7092,158,354,8.0337,7.0344,666,666,ok,,4.7023,22.1,7.2302,0.0695,2.5075,116.9722,1.5705,2.7855,14.5968,0.010621,0.9338,0.5026,619,43,0,0.284242,302380,1063813,6.8645,576,0,47357,90,0.000347,0.00336,158,1.0,158,1.0,158,0.25316455696202533,158
16,32000,10.0,-0.049094,-0.345542,-0.049094,,,,0,False,-0.051117,0.0902,0.06899723266878682,242,7334,242,366,8.0159,7.0384,1057,1054,ok,,4.7097,20.8,7.2029,0.0846,2.3555,104.7832,1.794,2.5111,14.2278,0.01503,0.9221,0.5119,981,83,0,0.278305,582507,2093055,6.8799,898,0,74978,159,0.00055,0.0056,242,1.0,242,1.0,242,0.24793388429752067,242
17,34000,15.0,-0.053663,-0.357886,-0.053663,,,,0,False,-0.051117,0.0786,0.06179164803166056,522,7856,522,392,7.3462,6.6692,2663,2663,ok,,4.4315,21.2,6.8455,0.0841,2.317,101.2038,1.9058,2.5248,14.1365,0.039348,0.9412,0.5495,2604,219,3,0.263022,900522,3423755,6.0419,2385,0,179804,275,0.001459,0.00784,522,1.0,522,1.0,522,0.2509578544061303,522
18,36000,20.0,-0.047493,-0.333995,-0.047493,,,,0,False,-0.051117,0.0666,0.056826202998378414,584,8440,584,422,7.6644,7.0325,2974,2973,ok,,4.6231,22.3,7.2176,0.1156,1.9781,108.5538,1.3135,2.3798,13.6958,0.040084,0.9467,0.5691,2993,346,6,0.255008,1136791,4457857,5.6466,2647,0,211534,321,0.001678,0.00896,584,1.0,584,1.0,584,0.25,584
19,38000,25.0,-0.052008,-0.345992,-0.052008,,,,0,False,-0.051117,0.0675,0.056474997418425925,811,9251,811,462,7.1857,6.6527,4194,4191,ok,,4.3491,20.5,6.7996,0.1273,2.219,134.6947,1.4816,2.734,13.3659,0.053161,0.9376,0.5761,4361,555,2,0.252069,1334221,5293087,5.8753,3806,0,282407,385,0.002443,0.0112,811,1.0,811,1.0,811,0.24907521578298397,811
20,40000,30.0,-0.047991,-0.325588,-0.047991,-0.04028,-0.255674,20.0,3268,True,-0.04028,0.0567,0.051596477566394745,842,10093,842,504,7.237,6.7844,4444,4443,ok,,4.3517,26.5,6.9345,0.1519,1.989,122.3553,1.192,2.7604,13.0056,0.05223,0.959,0.686,4811,731,6,0.280936,1703855,6064931,5.285,4080,0,305317,358,0.002695,0.00896,842,1.0,842,1.0,842,0.2505938242280285,842
21,42000,35.0,-0.05102,-0.358593,-0.05102,,,,0,False,-0.04028,0.0952,0.05897155060402803,788,10881,788,544,7.5832,7.0284,4190,4187,ok,,4.5604,26.0,7.1963,0.1681,2.4016,135.9342,1.3859,3.2514,12.649,0.044442,0.9484,0.6669,4580,770,7,0.301188,1910342,6342681,6.2537,3810,0,297898,373,0.002565,0.01008,788,1.0,788,1.0,788,0.25,788
22,44000,5.0,-0.038575,-0.259164,-0.038575,,,,0,False,-0.04028,0.0817,0.05575887833676757,174,11055,174,552,7.5389,6.7184,746,746,ok,,4.6355,19.7,6.7096,0.0733,1.3635,68.595,1.0906,1.439,13.2051,0.008099,0.9454,0.5815,709,52,0,0.285561,293064,1026275,4.3793,657,0,50711,89,0.000398,0.00448,174,1.0,174,1.0,174,0.2471264367816092,174
23,46000,10.0,-0.038588,-0.281112,-0.038588,,,,0,False,-0.04028,0.084,0.051288047828202156,269,11324,269,566,8.2286,7.2849,1210,1208,ok,,4.7786,18.6,7.4012,0.0968,1.7301,112.1203,1.6334,1.753,12.9851,0.012572,0.9524,0.4411,1147,111,1,0.271453,602269,2218687,5.5637,1036,0,88905,173,0.000643,0.0056,269,1.0,269,1.0,269,0.2527881040892193,269
