Episode,Reward,Loss,Epsilon,AoI_mean,CBR_mean,PDR_mean
1,-10934.554233705805,0.0049973905096802424,0.019944633602480003,386.145,0.032,68.68
2,-19722.578265485507,0.0011762094128382494,0.01,866.512,0.0133,69.33
3,-5951.592127047134,0.00029776741791119745,0.01,421.701,0.0272,78.2
4,-5860.4508868294215,0.00022211810910017675,0.01,1120.492,0.0264,41.02
5,-9788.826486120764,0.0004372529666548119,0.01,312.511,0.0242,90.72
