number,value,datetime_start,datetime_complete,duration,params_epsilon_decay,params_gamma,params_hidden_dim,params_lr_actor,params_lr_critic,params_lr_q,params_n_step,params_tau,params_w1_raw,params_w2_raw,params_w3_raw,params_w4_raw,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,0.88738,2026-08-31 00:12:55.524654,2026-08-31 00:12:57.047050,0 days 00:00:01.522396,0.999214143595539,0.9528460969962418,128,0.0001700037298921101,0.00016998978382700775,0.0007661100707771367,3,0.013394334706750489,0.6798962421591127,0.04117945639537582,0.037119961692981145,0.03731991924980983,0.4611,15.9956,0.88738,0.9214,0.3345,0.0,0.0,0.854661,0.051764,0.046662,0.046913,COMPLETE,0.854661,0.051764,0.046662,0.046913
1,0.8919600000000001,2026-08-31 00:12:57.047106,2026-08-31 00:12:58.534494,0 days 00:00:01.487388,0.9948852271649293,0.9643150877782256,128,0.0008012737503998541,0.000160712385120399,0.0002692655251486473,3,0.0029967309097101583,0.3912141628549695,0.023423019911048188,0.15792373602053378,0.03572027577879417,0.5073,16.595,0.8919600000000001,0.9529,0.314,0.0,0.0,0.643147,0.038507,0.259623,0.058723,COMPLETE,0.643147,0.038507,0.259623,0.058723
2,1.0642749999999999,2026-08-31 00:12:58.534544,2026-08-31 00:13:00.042751,0 days 00:00:01.508207,0.9986385438197485,0.9835274182990956,256,0.00028180680291847244,0.00013940346079873228,0.0015635108708133452,3,0.0037381058681917956,0.18145961353490248,0.19039508965385352,0.05773844076099147,0.1172825833939305,0.4928,16.4061,1.0642749999999999,0.9029,0.3406,0.0868,0.0868,0.331811,0.348151,0.105579,0.214459,COMPLETE,0.331811,0.348151,0.105579,0.214459
