model,trial,recorded_value,penalised_trial,mean_error,mean_aoi,coverage_outage_rate,packet_loss_rate,avg_power_norm,old_score,new_score,delta
MADDPG-MT,7,15.238179333333337,False,11.8327,5.7028,0.2621,0.1426,0.1495,15.2382,14.9992,-0.239
MADDPG-MT,8,7.049359333333332,False,5.0788,2.8717,0.2621,0.2648,0.0525,7.04935,7.05475,0.0054
MADDPG-MT,9,1.311446,False,0.3515,0.8502,0.2621,0.2536,0.0531,1.31142,1.29442,-0.017
MADDPG-MT,10,12.170572666666668,False,9.6388,3.9945,0.2621,0.2914,0.0518,12.17061,12.22921,0.0586
MADDPG-MT,11,1.3793693333333332,False,0.341,1.0102,0.2621,0.2538,0.0455,1.3794,1.3628,-0.0166
MADDPG-MT,12,5.179966,False,3.6476,1.9957,0.2621,0.2648,0.0516,5.17997,5.18537,0.0054
MADDPG-MT,13,10.782136,False,8.2434,4.0053,0.2621,0.2854,0.0595,10.78215,10.82875,0.0466
MADDPG-MT,14,15.873032666666663,False,12.4151,5.8159,0.2621,0.244,0.1291,15.87307,15.83687,-0.0362
PPO,0,100.0,True,nan,nan,nan,nan,nan,nan,nan,nan
PPO,1,34.61784599999999,False,28.0777,11.889,0.2621,0.1012,0.3571,34.61782,34.29602,-0.3218
PPO,2,100.0,True,nan,nan,nan,nan,nan,nan,nan,nan
PPO,3,33.639546,False,27.1966,11.7299,0.2621,0.1592,0.2691,33.63957,33.43377,-0.2058
PPO,4,35.331009333333334,False,28.6304,12.2224,0.2621,0.115,0.3259,35.33098,35.03678,-0.2942
PPO,5,32.932012666666665,False,26.5231,11.6477,0.2621,0.1293,0.3043,32.93201,32.66641,-0.2656
PPO,6,100.0,True,nan,nan,nan,nan,nan,nan,nan,nan
PPO,7,100.0,True,nan,nan,nan,nan,nan,nan,nan,nan
PPO,8,32.876946,False,26.3763,11.8453,0.2621,0.1084,0.2688,32.87691,32.56951,-0.3074
PPO,9,35.606546,False,28.8634,12.2925,0.2621,0.0763,0.3638,35.60661,35.23501,-0.3716
PPO,10,31.063952666666665,False,24.9909,11.0216,0.2621,0.1431,0.1903,31.06396,30.82596,-0.238
PPO,11,34.92870933333333,False,28.6333,11.4346,0.2621,0.151,0.2694,34.92868,34.70648,-0.2222
PPO,12,33.59033266666666,False,27.2407,11.5411,0.2621,0.1409,0.2747,33.59039,33.34799,-0.2424
PPO,13,35.814506,False,29.3142,11.8236,0.2621,0.1356,0.3216,35.81452,35.56152,-0.253
PPO,14,100.0,True,nan,nan,nan,nan,nan,nan,nan,nan
RES-MAPDDPG,0,34.53058266666667,False,28.202,11.4993,0.2621,0.2046,0.2737,34.53059,34.41559,-0.115
RES-MAPDDPG,1,13.727149333333337,False,10.3889,5.5935,0.2621,0.2218,0.0867,13.72719,13.64659,-0.0806
RES-MAPDDPG,2,32.38508933333333,False,26.3636,10.8799,0.2621,0.1537,0.2869,32.38513,32.16833,-0.2168
RES-MAPDDPG,3,30.190276,False,24.4616,10.3167,0.2621,0.2017,0.2307,30.19029,30.06949,-0.1208
RES-MAPDDPG,4,26.773862666666663,False,21.4257,9.5708,0.2621,0.1851,0.193,26.7739,26.6199,-0.154
RES-MAPDDPG,5,12.569899333333334,False,9.6966,4.66,0.2621,0.2329,0.0956,12.56992,12.51152,-0.0584
RES-MAPDDPG,6,31.78874933333333,False,25.7551,10.982,0.2621,0.2625,0.0924,31.78878,31.78958,0.0008
RES-MAPDDPG,7,24.587799333333336,False,19.7896,8.5177,0.2621,0.2351,0.0757,24.58779,24.53379,-0.054
RES-MAPDDPG,8,32.128505999999994,False,25.7652,11.4311,0.2621,0.0786,0.6178,32.12851,31.76151,-0.367
RES-MAPDDPG,9,26.199705999999995,False,21.0494,9.2215,0.2621,0.2443,0.0768,26.19971,26.16411,-0.0356
RES-MAPDDPG,10,11.274792666666668,False,8.4261,4.5679,0.2621,0.1702,0.2027,11.27479,11.09099,-0.1838
RES-MAPDDPG,11,14.352669333333331,False,11.0455,5.5066,0.2621,0.2146,0.1482,14.35264,14.25764,-0.095
