model,arm,seed,n_steps,wall_s,diverged,divergence_rule,divergence_pseudo_episode,divergence_at_env_step,n_grad_updates,divergence_threshold,divergence_baseline_loss,divergence_pseudo_episodes_seen,mean_recent_loss,max_consecutive_nonfinite_losses,composite_score,n_update_failures,n_observations,tx_attempts,hparams,divergence_reason
PPO,selected,1001,4000,349.6,False,,-1,4000,7998,3405.4,3.4054,19,1.3201,0,35.5441,0,674679,6168,"{""hidden_dim"": 64, ""learning_rate"": 0.0010809366764261586, ""gamma"": 0.9975073184286054, ""clip_range"": 0.2361881493638004, ""ent_coef"": 0.02051249550821203, ""vf_coef"": 0.5638821363327259, ""n_epochs"": 4}",
PPO,control,1001,4000,351.2,False,,-1,4000,7998,2185.7000000000003,2.1857,19,0.8873,0,32.4673,0,674679,6681,"{""hidden_dim"": 64, ""learning_rate"": 0.0003, ""gamma"": 0.9975073184286054, ""clip_range"": 0.2361881493638004, ""ent_coef"": 0.02051249550821203, ""vf_coef"": 0.5638821363327259, ""n_epochs"": 4}",
I-HAMAPPO,selected,1001,4000,280.3,False,,-1,4000,7990,2378.7,2.3787,19,0.3867,0,11.698,0,674679,8062,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.9986278038774985, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",
I-HAMAPPO,control,1001,4000,280.3,False,,-1,4000,7990,1926.6000000000001,1.9266,19,0.5178,0,13.4118,0,674679,8249,"{""hidden_dim"": 64, ""lr_actor"": 0.0003, ""lr_critic"": 0.0003, ""gamma"": 0.9986278038774985, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",
