model_name,category,best_value,best_trial_number,hidden_dim,learning_rate,gamma,clip_range,ent_coef,vf_coef,n_epochs,w1,w2,w3,w4,reward_weights_json,hparams_json,best_trial_diverged,n_diverged_trials,n_trials,n_usable_trials,n_penalised_trials,failed_fraction,actor_lr,critic_lr,tau,global_critic_weight,gumbel_tau,lr_actor,lr_critic,clip_ratio,entropy_coef,value_coef,target_update_interval,policy_delay,target_policy_noise,target_noise_clip,num_res_blocks,epsilon_decay,lr,target_update_freq,per_alpha,alpha,lr_q
PPO,Category 1 (Basic),24.0694,11,64,0.0001078364514055,0.964914933295324,0.2984647641390094,0.0004916498576566,0.5719074694562581,20.0,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""learning_rate"": 0.0001078364514055156, ""gamma"": 0.9649149332953239, ""clip_range"": 0.2984647641390094, ""ent_coef"": 0.0004916498576566107, ""vf_coef"": 0.5719074694562581, ""n_epochs"": 20}",False,0,15,15,0,0.0,,,,,,,,,,,,,,,,,,,,,
SAC,Category 1 (Basic),3.5946,8,128,0.001193526270851,0.9808508138674378,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 128, ""learning_rate"": 0.001193526270851053, ""gamma"": 0.9808508138674378, ""tau"": 0.0012483440997339652, ""target_update_interval"": 4}",False,0,15,15,0,0.0,,,0.0012483440997339,,,,,,,,4.0,,,,,,,,,,
TD3,Category 1 (Basic),4.7504,10,64,0.0001020607055757,0.9887814844315146,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""learning_rate"": 0.00010206070557577011, ""gamma"": 0.9887814844315146, ""tau"": 0.0010552829926879388, ""policy_delay"": 2, ""target_policy_noise"": 0.20818878163510957, ""target_noise_clip"": 0.27737808578044765}",False,0,15,15,0,0.0,,,0.0010552829926879,,,,,,,,,2.0,0.2081887816351095,0.2773780857804476,,,,,,,
RES-MAPDDPG,Category 2 (Latest),24.0811,12,64,,0.9502510028711756,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""lr_actor"": 0.00010370908867969758, ""lr_critic"": 0.00030386862788237174, ""gamma"": 0.9502510028711756, ""tau"": 0.002111505744716034, ""num_res_blocks"": 1, ""epsilon_decay"": 0.9935491114049353}",False,0,15,15,0,0.0,,,0.002111505744716,,,0.0001037090886796,0.0003038686278823,,,,,,,,1.0,0.9935491114049352,,,,,
MA2HDQN,Category 2 (Latest),9.8062,10,128,,0.9615198725078762,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 128, ""lr_q"": 0.002192739812335705, ""lr_actor"": 0.0027047297227177757, ""lr_critic"": 0.0010702771547160396, ""gamma"": 0.9615198725078762, ""tau"": 0.0011230074742268848, ""epsilon_decay"": 0.9992361710556368}",False,0,15,15,0,0.0,,,0.0011230074742268,,,0.0027047297227177,0.001070277154716,,,,,,,,,0.9992361710556368,,,,,0.0021927398123357
I-HAMAPPO,Category 2 (Latest),8.7026,14,128,,0.950096093426176,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 128, ""lr_actor"": 0.0014211388994153887, ""lr_critic"": 0.0006817779343845319, ""gamma"": 0.9500960934261761, ""clip_ratio"": 0.21437835161486604, ""entropy_coef"": 0.0038383003785303535, ""value_coef"": 0.4305569181442844}",False,0,15,15,0,0.0,,,,,,0.0014211388994153,0.0006817779343845,0.214378351614866,0.0038383003785303,0.4305569181442844,,,,,,,,,,,
SPAM-D3QN,Category 3 (Similar),14.9901,11,256,,0.9668861705202938,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 256, ""lr"": 0.0003347287738455857, ""gamma"": 0.9668861705202938, ""target_update_freq"": 1000, ""epsilon_decay"": 0.9926672290652772, ""per_alpha"": 0.7783238879894854}",False,0,15,15,0,0.0,,,,,,,,,,,,,,,,0.9926672290652772,0.0003347287738455,1000.0,0.7783238879894854,,
HOORL,Category 3 (Similar),5.9561,3,128,,0.9518580165088,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 128, ""actor_lr"": 0.0005748924681991981, ""critic_lr"": 0.000750011895041699, ""gamma"": 0.9518580165087999, ""tau"": 0.006172115948107073, ""alpha"": 0.0028856223618597358}",False,0,15,15,0,0.0,0.0005748924681991,0.0007500118950416,0.006172115948107,,,,,,,,,,,,,,,,,0.0028856223618597,
MADDPG-MT,Category 3 (Similar),8.8986,1,256,,0.957272998688284,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 256, ""actor_lr"": 0.0016967533607196547, ""critic_lr"": 0.00020589728197687926, ""gamma"": 0.957272998688284, ""tau"": 0.0017322667470546255, ""global_critic_weight"": 0.3433937943676302, ""gumbel_tau"": 1.2871346474483567}",False,0,15,15,0,0.0,0.0016967533607196,0.0002058972819768,0.0017322667470546,0.3433937943676302,1.2871346474483567,,,,,,,,,,,,,,,,
