number,value,datetime_start,datetime_complete,duration,params_gamma,params_hidden_dim,params_lr,params_omega,params_tau,params_w1_raw,params_w2_raw,params_w3_raw,params_w4_raw,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,1.489055,2026-08-31 00:13:09.797398,2026-08-31 00:13:11.437075,0 days 00:00:01.639677,0.9576449133816793,128,0.0007661100707771367,0.22479561626896213,0.0011900590783184247,0.7348118405270447,0.15450756778614705,0.22229978886189947,0.021450419486343995,0.4127,15.3643,1.489055,0.7652,0.7376,0.1431,0.1431,0.648514,0.136362,0.196193,0.018931,COMPLETE,0.648514,0.136362,0.196193,0.018931
1,1.21977,2026-08-31 00:13:11.437128,2026-08-31 00:13:13.036191,0 days 00:00:01.599063,0.9589868209828182,64,0.00018559980846490597,0.3433937943676302,0.004816414530907085,0.2703616066662001,0.05385310502972944,0.16025475007997078,0.03214247702407975,0.5551,17.2164,1.21977,0.757,0.5825,0.0739,0.0739,0.523336,0.104243,0.310203,0.062218,COMPLETE,0.523336,0.104243,0.310203,0.062218
2,1.4080949999999999,2026-08-31 00:13:13.036239,2026-08-31 00:13:14.663687,0 days 00:00:01.627448,0.9597840153257596,256,0.0014447746112718689,0.5113875507308893,0.005898602410432692,0.1112885317490573,0.15792373602053378,0.03572027577879417,0.024952788545138892,0.3591,14.6686,1.4080949999999999,0.7687,0.6305,0.1607,0.1607,0.337355,0.478723,0.108281,0.075641,COMPLETE,0.337355,0.478723,0.108281,0.075641
