sweep_id,param_name,param_value,seed,AoI_mean,CBR_mean,PDR_mean,energy_efficiency,ETSI_compliance,runtime_sec,n_cam_events,status,error
SA3,cbr_target,0.3,42,1303.021,0.3289,60.35,3.8929,100.0,21.02,124534,ok,
SA3,cbr_target,0.3,123,1311.027,0.3233,57.06,3.9762,100.0,20.4,122967,ok,
SA3,cbr_target,0.3,456,1499.772,0.2987,46.64,3.8844,100.0,16.85,112869,ok,
SA3,cbr_target,0.4,42,844.939,0.4145,57.3,5.5838,100.0,23.38,178629,ok,
SA3,cbr_target,0.4,123,966.621,0.4045,53.51,5.6175,100.0,22.68,173725,ok,
SA3,cbr_target,0.4,456,977.848,0.3645,44.26,5.2377,100.0,18.24,152192,ok,
SA3,cbr_target,0.5,42,899.847,0.4236,57.18,5.6856,100.0,22.96,181883,ok,
SA3,cbr_target,0.5,123,974.304,0.4096,53.42,5.6775,100.0,21.59,175579,ok,
SA3,cbr_target,0.5,456,998.084,0.3705,44.11,5.31,100.0,17.61,154292,ok,
SA3,cbr_target,0.55,42,848.335,0.4282,57.1,5.738,100.0,22.42,183560,ok,
SA3,cbr_target,0.55,123,947.108,0.4135,53.37,5.7229,100.0,21.81,176983,ok,
SA3,cbr_target,0.55,456,993.199,0.3751,43.96,5.3674,100.0,17.35,155959,ok,
SA3,cbr_target,0.6,42,806.558,0.4329,56.97,5.7911,100.0,21.94,185259,ok,
SA3,cbr_target,0.6,123,924.164,0.4186,53.38,5.7832,100.0,20.92,178849,ok,
SA3,cbr_target,0.6,456,947.374,0.3783,43.87,5.4082,100.0,17.28,157147,ok,
SA3,cbr_target,0.65,42,832.131,0.4375,56.82,5.8418,100.0,21.98,186881,ok,
SA3,cbr_target,0.65,123,872.81,0.4234,53.26,5.8375,100.0,21.24,180529,ok,
SA3,cbr_target,0.65,456,936.462,0.3828,43.83,5.4639,100.0,17.41,158763,ok,
SA3,cbr_target,0.7,42,682.984,0.4845,57.28,6.537,100.0,22.89,209122,ok,
SA3,cbr_target,0.7,123,800.119,0.4712,53.93,6.5594,100.0,22.02,202855,ok,
SA3,cbr_target,0.7,456,843.513,0.4198,44.91,6.0524,100.0,18.11,175865,ok,
