sweep_id,param_name,param_value,seed,AoI_mean,CBR_mean,PDR_mean,energy_efficiency,ETSI_compliance,runtime_sec,n_cam_events,status,error,method,runner_kwargs
,n_vehicles,10.0,42.0,315.862,0.2113,78.34,6.1909,,,,ok,,ReactDCC,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 42, 'method': 'ReactDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,123.0,696.718,0.1692,81.98,6.7038,,,,ok,,ReactDCC,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 123, 'method': 'ReactDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,456.0,359.252,0.1285,84.84,5.6951,,,,ok,,ReactDCC,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 456, 'method': 'ReactDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,42.0,287.558,0.2145,78.22,6.2832,,,,ok,,AdaptDCC,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 42, 'method': 'AdaptDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,123.0,696.718,0.1692,81.98,6.7038,,,,ok,,AdaptDCC,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 123, 'method': 'AdaptDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,456.0,359.252,0.1285,84.84,5.6951,,,,ok,,AdaptDCC,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 456, 'method': 'AdaptDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,42.0,548.183,0.1524,80.89,4.4864,,,,ok,,Heuristic,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 42, 'method': 'Heuristic', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,123.0,719.155,0.1233,83.07,4.9155,,,,ok,,Heuristic,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 123, 'method': 'Heuristic', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,456.0,402.916,0.0991,86.93,4.4074,,,,ok,,Heuristic,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 456, 'method': 'Heuristic', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,42.0,287.558,0.2145,78.22,6.2832,,,,ok,,Fixed10Hz,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 42, 'method': 'Fixed10Hz', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,123.0,696.718,0.1692,81.98,6.7038,,,,ok,,Fixed10Hz,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 123, 'method': 'Fixed10Hz', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,456.0,359.252,0.1285,84.84,5.6951,,,,ok,,Fixed10Hz,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 456, 'method': 'Fixed10Hz', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,42.0,440.241,0.2049,75.64,0.6003,,,,ok,,DecTree,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 42, 'method': 'DecTree', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,123.0,940.099,0.1692,77.88,0.6704,,,,ok,,DecTree,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 123, 'method': 'DecTree', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,10.0,456.0,382.38,0.1285,80.89,0.5695,,,,ok,,DecTree,"{'scenario': 'urban_grid', 'n_vehicles': 10, 'seed': 456, 'method': 'DecTree', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,42.0,725.405,0.353,60.67,5.9681,,,,ok,,ReactDCC,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 42, 'method': 'ReactDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,123.0,721.346,0.3271,61.28,5.6491,,,,ok,,ReactDCC,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 123, 'method': 'ReactDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,456.0,894.093,0.2768,61.93,5.5468,,,,ok,,ReactDCC,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 456, 'method': 'ReactDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,42.0,619.462,0.3752,60.82,6.3313,,,,ok,,AdaptDCC,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 42, 'method': 'AdaptDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,123.0,597.869,0.3542,61.35,6.1049,,,,ok,,AdaptDCC,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 123, 'method': 'AdaptDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,456.0,758.31,0.2965,62.01,5.9364,,,,ok,,AdaptDCC,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 456, 'method': 'AdaptDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,42.0,1004.468,0.2675,60.04,4.5488,,,,ok,,Heuristic,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 42, 'method': 'Heuristic', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,123.0,925.391,0.2515,61.02,4.3635,,,,ok,,Heuristic,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 123, 'method': 'Heuristic', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,456.0,1101.484,0.2151,62.02,4.3251,,,,ok,,Heuristic,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 456, 'method': 'Heuristic', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,42.0,598.667,0.4011,59.91,6.7747,,,,ok,,Fixed10Hz,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 42, 'method': 'Fixed10Hz', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,123.0,616.037,0.3692,60.65,6.37,,,,ok,,Fixed10Hz,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 123, 'method': 'Fixed10Hz', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,456.0,729.498,0.3108,61.19,6.2223,,,,ok,,Fixed10Hz,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 456, 'method': 'Fixed10Hz', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,n_vehicles,20.0,42.0,841.924,0.351,60.39,0.5942,,,,ok,,DecTree,"{'scenario': 'urban_grid', 'n_vehicles': 20, 'seed': 42, 'method': 'DecTree', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
