sweep_id,param_name,param_value,seed,AoI_mean,CBR_mean,PDR_mean,energy_efficiency,ETSI_compliance,runtime_sec,n_cam_events,status,error
SA4,scenario,urban_grid,42,725.405,0.353,46.0,5.9681,100.0,11.36,131685,ok,
SA4,scenario,urban_grid,123,721.346,0.3271,39.9,5.6491,100.0,9.8,120994,ok,
SA4,scenario,urban_grid,456,894.093,0.2768,33.07,5.5468,100.0,7.67,101344,ok,
SA4,scenario,urban_grid,42,851.49,0.4144,57.25,5.584,100.0,21.53,178635,ok,
SA4,scenario,urban_grid,123,964.0,0.4044,53.42,5.6181,100.0,20.88,173744,ok,
SA4,scenario,urban_grid,456,1065.949,0.3642,44.2,5.2355,100.0,17.04,152129,ok,
SA4,scenario,urban_grid,42,1037.828,0.4686,86.97,5.4943,100.0,55.71,285809,ok,
SA4,scenario,urban_grid,123,975.894,0.4591,89.59,5.5476,100.0,53.37,277799,ok,
SA4,scenario,urban_grid,456,1129.169,0.4368,73.87,5.1429,100.0,45.7,250858,ok,
SA4,scenario,highway,42,725.405,0.353,46.0,5.9681,100.0,11.33,131685,ok,
SA4,scenario,highway,123,721.346,0.3271,39.9,5.6491,100.0,10.05,120994,ok,
SA4,scenario,highway,456,894.093,0.2768,33.07,5.5468,100.0,7.67,101344,ok,
SA4,scenario,highway,42,851.49,0.4144,57.25,5.584,100.0,21.46,178635,ok,
SA4,scenario,highway,123,964.0,0.4044,53.42,5.6181,100.0,20.97,173744,ok,
SA4,scenario,highway,456,1065.949,0.3642,44.2,5.2355,100.0,17.08,152129,ok,
SA4,scenario,highway,42,1037.828,0.4686,86.97,5.4943,100.0,55.73,285809,ok,
SA4,scenario,highway,123,975.894,0.4591,89.59,5.5476,100.0,53.32,277799,ok,
SA4,scenario,highway,456,1129.169,0.4368,73.87,5.1429,100.0,45.6,250858,ok,
