vid,sim_time,cbr_global,n_neighbors,v_norm,dt_since_last_cam,cbr_smoothed,action_idx,T_GenCam_chosen,p_tx_chosen,cost,alpha,beta,gamma
F0_1.0,30.0,1.0,0.26,0.356107,0.0,0.668711,1,0.1,15.0,27.189379,0.3,0.6,0.1
F0_11.0,30.0,1.0,0.26,0.529473,0.0,0.668711,4,0.3,15.0,0.556411,0.3,0.6,0.1
F0_12.0,30.0,1.0,0.24,0.128919,0.0,0.6687,1,0.1,15.0,27.189379,0.3,0.6,0.1
F0_13.0,30.0,1.0,0.26,0.504642,0.0,0.668711,1,0.1,15.0,27.189379,0.3,0.6,0.1
F0_14.0,30.0,1.0,0.22,0.493683,0.0,0.668711,4,0.3,15.0,0.556411,0.3,0.6,0.1
F0_14.1,30.0,1.0,0.26,0.45887,0.0,0.668711,7,1.0,15.0,2.609046,0.3,0.6,0.1
F0_14.2,30.0,1.0,0.26,0.508776,0.0,0.668711,7,1.0,15.0,2.609046,0.3,0.6,0.1
F0_18.0,30.0,1.0,0.26,0.507268,0.0,0.668711,4,0.3,15.0,0.556411,0.3,0.6,0.1
F0_19.0,30.0,1.0,0.24,0.119891,0.0,0.66867,1,0.1,15.0,27.189379,0.3,0.6,0.1
F0_3.0,30.0,1.0,0.26,0.503246,0.0,0.668711,7,1.0,15.0,2.609046,0.3,0.6,0.1
F0_4.0,30.0,1.0,0.26,0.496963,0.0,0.668711,1,0.1,15.0,27.189379,0.3,0.6,0.1
F0_5.0,30.0,1.0,0.26,0.42847,0.0,0.668711,7,1.0,15.0,2.609046,0.3,0.6,0.1
F0_7.0,30.0,1.0,0.26,0.469221,0.0,0.668711,4,0.3,15.0,0.556411,0.3,0.6,0.1
F0_8.0,30.0,1.0,0.26,0.453939,0.0,0.668711,1,0.1,15.0,27.189379,0.3,0.6,0.1
F10_0.0,30.0,1.0,0.28,0.49934,0.0,0.668711,4,0.3,15.0,0.556411,0.3,0.6,0.1
F10_1.0,30.0,1.0,0.28,0.492802,0.0,0.668711,1,0.1,15.0,27.189379,0.3,0.6,0.1
F10_14.0,30.0,1.0,0.28,0.451932,0.0,0.668711,7,1.0,15.0,2.609046,0.3,0.6,0.1
F10_15.0,30.0,1.0,0.26,0.341221,0.0,0.668711,7,1.0,15.0,2.609046,0.3,0.6,0.1
F10_16.0,30.0,1.0,0.28,0.449045,0.0,0.668711,1,0.1,15.0,27.189379,0.3,0.6,0.1
F10_17.0,30.0,1.0,0.28,0.48189,0.0,0.668711,7,1.0,15.0,2.609046,0.3,0.6,0.1
F10_17.1,30.0,1.0,0.26,0.541032,0.0,0.668711,7,1.0,15.0,2.609046,0.3,0.6,0.1
F10_17.2,30.0,1.0,0.24,0.039339,0.0,0.658117,4,0.3,15.0,0.556411,0.3,0.6,0.1
F10_19.0,30.0,1.0,0.26,0.574222,0.0,0.668711,4,0.3,15.0,0.556411,0.3,0.6,0.1
