model_name,category,best_value,best_trial_number,hidden_dim,learning_rate,gamma,clip_range,ent_coef,vf_coef,n_epochs,w1,w2,w3,w4,reward_weights_json,hparams_json,best_trial_diverged,n_diverged_trials,n_trials,n_usable_trials,n_penalised_trials,failed_fraction,actor_lr,critic_lr,tau,global_critic_weight,gumbel_tau
PPO,Category 1 (Basic),24.0694,11,64,0.0001078364514055156,0.9649149332953239,0.2984647641390094,0.0004916498576566107,0.5719074694562581,20.0,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 64, ""learning_rate"": 0.0001078364514055156, ""gamma"": 0.9649149332953239, ""clip_range"": 0.2984647641390094, ""ent_coef"": 0.0004916498576566107, ""vf_coef"": 0.5719074694562581, ""n_epochs"": 20}",False,0,15,15,0,0.0,,,,,
MADDPG-MT,Category 3 (Similar),8.8986,1,256,,0.957272998688284,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 256, ""actor_lr"": 0.0016967533607196547, ""critic_lr"": 0.00020589728197687926, ""gamma"": 0.957272998688284, ""tau"": 0.0017322667470546255, ""global_critic_weight"": 0.3433937943676302, ""gumbel_tau"": 1.2871346474483567}",False,0,15,15,0,0.0,0.0016967533607196547,0.00020589728197687926,0.0017322667470546255,0.3433937943676302,1.2871346474483567
