Episode,Vanilla DQN,Double DQN,TD3,SAC,PPO,DDPG,Decision Transformer,Actor-Critic,Q-Learning,SARSA,DQN+MoE,REMO-DQN
1,-942.8134968177948,-1541.2270941515592,-1544.276033663422,-1543.1867962303656,-23230.897676117085,-26599.95686269318,0.0,-944.7939690567443,-943.8918283387496,-944.6660156164368,-942.954630825472,-943.8897675535744
2,-2188.68359604865,-1497.821874634578,-1473.9537044724952,-1446.6446317096124,-20761.60830127537,-25110.2815052799,0.0,-2186.9628801681715,-2191.0036211513,-2189.9561842816074,-2187.0138977780894,-2188.1305441240333
3,-1567.0786241166534,-1254.640288863527,-1278.6756201606656,-1262.9263473496228,-22221.989231770327,-23321.982349827005,0.0,-1569.498884806741,-1567.3294946268095,-1567.3597076553297,-1563.7366420050214,-1565.820891475263
4,-2162.459817253148,-376.7074021505375,-376.9075823591488,-378.082667995294,-21238.81887487329,-23864.768903263423,0.0,-2172.4362768130886,-2167.13909909136,-2170.746033380861,-2162.9402624185377,-2160.8608169897866
5,-843.3572108721816,-569.2896356182777,-569.2334881720539,-565.0141514961131,-19310.32807986381,-27433.082197034422,0.0,-858.2505894831112,-844.3621341423595,-847.2142133486367,-843.5038954963516,-843.4571631834121
