Episode,Global_Step,REMO-DQN,wo_ResNet,wo_MoE,wo_Dueling
1,2000,-926260.4455966464,-926138.0610143694,-926247.1562111074,-926291.1903550978
2,4000,-932810.5608737986,-932811.0241716217,-908018.6476479358,-1014833.5043889728
3,6000,-921051.9789662432,-919259.7035661442,-1027751.9171351132,-1009367.429436851
4,8000,-939204.3574661048,-896787.8619265971,-998781.7541833308,-896790.1715006223
5,10000,-966093.5416089478,-919772.0576890904,-1012044.3266433248,-1029241.1368229452
6,12000,-929492.9550920152,-1036349.4373033711,-927331.001145502,-929505.7914669078
7,14000,-919974.4261669616,-918066.6863681816,-918063.4510133069,-973021.3882855668
8,16000,-941208.058882538,-896261.0753007398,-941202.1912317108,-963561.0987607175
9,18000,-917788.3518527676,-1027416.7649100544,-965340.2921288478,-920068.5807856906
10,20000,-1011350.9019772004,-905605.4678838226,-1011388.1910653628,-1011378.2858227236
11,22000,-875639.7690067391,-918269.2388647028,-918269.4127888904,-919380.0555969202
12,24000,-896338.145160241,-896341.5837550135,-942160.7449320444,-941877.6232766014
13,26000,-874965.7774905281,-877770.598998466,-874971.1105243872,-920409.0193107142
14,28000,-917833.3301226884,-919415.6315190564,-919418.7629391165,-919418.694728811
15,30000,-943580.5719143652,-900540.7764568585,-901173.6593791824,-901196.25979448
16,32000,-1007777.519502744,-946856.1164759104,-901238.7943160706,-932033.459535614
17,34000,-1100941.9277031654,-1030422.1070290284,-983936.0048110863,-1080764.0782231132
18,36000,-932905.6083236192,-978559.5360682146,-1032023.1182100668,-978557.8150745456
19,38000,-922502.7468591898,-920589.194699858,-922507.0463297656,-920588.4117138904
20,40000,-970279.5683850512,-1035031.1251909632,-970268.8648446896,-1026993.6393296744
21,42000,-896767.4730384058,-896751.6865117983,-898874.0158014667,-944024.0874882012
22,44000,-943333.499280993,-1055084.4039870205,-997985.0735477626,-949459.812476568
23,46000,-960427.861775499,-960427.0696611428,-1011795.1587167298,-1075073.074642692
24,48000,-867506.7908676716,-867492.9884746342,-909860.7218179512,-872657.0835829772
25,50000,-1011658.6903824336,-903980.1383047207,-903989.5713978416,-903986.9655389544
26,52000,-956073.4450110908,-956078.4526724992,-909604.9622124314,-912092.7438230256
27,54000,-890795.4593910328,-934009.6642465934,-890800.0549220969,-892054.6604184092
28,56000,-904375.4712798444,-906063.729791352,-950104.6857324346,-904569.3366789672
29,58000,-959374.9653937916,-902460.8924820648,-862333.3570831353,-897673.7066158924
30,60000,-947924.703485234,-947909.6277285472,-998369.2787899696,-947918.3270015646
31,62000,-958885.4514130916,-1010370.905441154,-1004085.8878292984,-961385.4960361233
32,64000,-902724.6417281412,-902709.2432775326,-1008916.3781098071,-906473.8572096118
33,66000,-946363.6639798807,-946360.5541581291,-946361.3982142116,-958598.1993270068
34,68000,-891818.8064381094,-993463.2930444618,-891822.3304707748,-961342.802200372
35,70000,-962192.2646278222,-962183.4533414209,-916600.478520788,-957546.8465371776
36,72000,-997537.3084364852,-1063210.844490518,-1062868.8676582442,-1063217.7271637218
37,74000,-958333.557646949,-958330.4362198632,-949217.4876954248,-911279.964752226
38,76000,-905445.9172891591,-907774.7532528136,-907773.7063824496,-980929.7172304068
39,78000,-930636.0407411052,-930634.5452614756,-937790.8784949012,-1040793.4559810044
40,80000,-938493.7639687776,-997532.9071518033,-938498.9426865078,-893176.1299028195
41,82000,-931762.8192736648,-931751.3472187473,-990558.6235754596,-889202.0209132539
42,84000,-922380.3128763929,-925050.2171484052,-955182.4527037712,-922399.7536377086
43,86000,-1059841.844877726,-994305.1769975444,-994305.9840138156,-994311.6004078093
44,88000,-1066839.9407473062,-948479.5512026576,-948483.0674104524,-950693.3575156038
45,90000,-938328.2855778546,-940352.9481827876,-938334.24368677,-987768.9474142136
46,92000,-1031287.9630987614,-967884.6460097382,-921220.9398539928,-967883.9411012356
47,94000,-963821.098628255,-916617.1587820804,-918917.4475868212,-1025899.722399153
48,96000,-981843.7420747596,-879763.9505025164,-981840.414759964,-879765.123020031
49,98000,-1010907.5360498214,-902311.4868655222,-950109.7883609273,-932545.3290695028
50,100000,-944324.3805032222,-993731.472647855,-992709.4316213824,-1060185.4377396023
51,102000,-904985.2495440792,-902760.0454801256,-902761.470936798,-948129.1864671428
52,104000,-904104.6722822628,-906235.1469050643,-951021.4463214718,-904097.745236413
53,106000,-885867.5797566442,-885858.312650798,-991135.595415786,-888292.5431493137
54,108000,-951901.8798670182,-951894.1048619202,-1064765.3615176529,-952205.6856316928
55,110000,-938770.31548258,-986376.3075746596,-936632.3354021412,-999731.5946502374
56,112000,-927468.202317078,-971791.2673908772,-927464.8706830088,-931604.8784143298
57,114000,-913628.36308702,-915653.8805789418,-913638.7657065556,-960606.4061176904
58,116000,-899809.0875556368,-858108.4148434775,-859829.761056939,-943879.3355399392
59,118000,-896948.5790824548,-941737.8999658016,-899029.277996574,-897347.6888836697
60,120000,-870595.7927703613,-870601.3527871562,-915807.3438331892,-902624.9351566248
61,122000,-941505.0847560848,-1000546.8086469627,-898159.9513892073,-943935.0562151722
62,124000,-898281.6703800658,-900677.2196303724,-971206.2135385912,-936363.860701798
63,126000,-959355.7220003596,-1008086.4892556884,-1047478.2195847426,-957436.2309103336
64,128000,-927973.3831056393,-925856.9731200858,-925862.3483381128,-962602.8670990996
65,130000,-964310.0561886632,-1014668.2330510248,-966839.6189216386,-966835.083057248
66,132000,-992698.7631996272,-889565.681458993,-889555.8606659491,-887609.9549714783
67,134000,-890897.7571590946,-996760.4972666492,-996771.9381577668,-936759.4092881064
68,136000,-881011.523747746,-881000.2073647538,-926673.5041638408,-881006.4650482658
