method,n_vehicles,seed,runtime_sec,n_cam_events,CBR_mean,AoI_mean,PDR_mean,energy_efficiency,ETSI_compliance,timestamp
Fixed10Hz,74,42,0.43,2005,0.0075,332.872,78.97,28.0278,100.0,1785735356.6420548
Fixed10Hz,82,42,0.43,2005,0.0075,332.872,75.25,28.0278,100.0,1785735356.6606236
Fixed10Hz,70,42,0.46,2005,0.0075,332.872,79.67,28.0278,100.0,1785735356.663173
Fixed10Hz,80,42,0.44,2005,0.0075,332.872,75.33,28.0278,100.0,1785735356.6669445
Fixed10Hz,86,42,0.42,2005,0.0075,332.872,73.05,28.0278,100.0,1785735356.6670396
Fixed10Hz,88,42,0.44,2005,0.0075,332.872,72.52,28.0278,100.0,1785735356.692382
Fixed10Hz,84,42,0.46,2005,0.0075,332.872,73.62,28.0278,100.0,1785735356.7071166
Fixed10Hz,57,42,0.4,2005,0.0075,332.872,87.47,28.0278,100.0,1785735356.9881675
Fixed10Hz,51,42,0.44,2005,0.0075,332.872,89.48,28.0278,100.0,1785735357.005317
Fixed10Hz,63,42,0.39,2005,0.0075,332.872,84.01,28.0278,100.0,1785735357.0108316
Fixed10Hz,69,42,0.39,2005,0.0075,332.872,81.6,28.0278,100.0,1785735357.0192842
Fixed10Hz,65,42,0.43,2005,0.0075,332.872,83.3,28.0278,100.0,1785735357.029494
Fixed10Hz,67,42,0.4,2005,0.0075,332.872,82.72,28.0278,100.0,1785735357.032473
Fixed10Hz,59,42,0.43,2005,0.0075,332.872,86.01,28.0278,100.0,1785735357.0325572
Fixed10Hz,53,42,0.44,2005,0.0075,332.872,88.56,28.0278,100.0,1785735357.0372198
Fixed10Hz,73,42,0.42,2005,0.0075,332.872,79.67,28.0278,100.0,1785735357.0410652
Fixed10Hz,55,42,0.43,2005,0.0075,332.872,87.38,28.0278,100.0,1785735357.0422895
Fixed10Hz,61,42,0.42,2005,0.0075,332.872,85.7,28.0278,100.0,1785735357.046389
Fixed10Hz,79,42,0.41,2005,0.0075,332.872,77.0,28.0278,100.0,1785735357.0489883
Fixed10Hz,77,42,0.45,2005,0.0075,332.872,76.99,28.0278,100.0,1785735357.0545828
Fixed10Hz,75,42,0.42,2005,0.0075,332.872,78.12,28.0278,100.0,1785735357.06817
Fixed10Hz,87,42,0.41,2005,0.0075,332.872,72.93,28.0278,100.0,1785735357.0780473
Fixed10Hz,83,42,0.42,2005,0.0075,332.872,75.77,28.0278,100.0,1785735357.0829573
Fixed10Hz,71,42,0.43,2005,0.0075,332.872,80.01,28.0278,100.0,1785735357.095165
Fixed10Hz,85,42,0.41,2005,0.0075,332.872,73.34,28.0278,100.0,1785735357.1168778
Fixed10Hz,81,42,0.46,2005,0.0075,332.872,76.07,28.0278,100.0,1785735357.124705
Fixed10Hz,89,42,0.46,2005,0.0075,332.872,71.59,28.0278,100.0,1785735357.1497695
Fixed10Hz,94,42,0.27,2005,0.0075,332.872,68.57,28.0278,100.0,1785735357.2791498
Fixed10Hz,90,42,0.29,2005,0.0075,332.872,72.61,28.0278,100.0,1785735357.2866845
Fixed10Hz,100,42,0.25,2005,0.0075,332.872,67.02,28.0278,100.0,1785735357.2871015
Fixed10Hz,92,42,0.28,2005,0.0075,332.872,70.41,28.0278,100.0,1785735357.2886348
Fixed10Hz,96,42,0.27,2005,0.0075,332.872,68.61,28.0278,100.0,1785735357.2915208
Fixed10Hz,98,42,0.27,2005,0.0075,332.872,67.32,28.0278,100.0,1785735357.3033037
Fixed10Hz,93,42,0.23,2005,0.0075,332.872,70.22,28.0278,100.0,1785735357.5230677
Fixed10Hz,97,42,0.23,2005,0.0075,332.872,68.03,28.0278,100.0,1785735357.5232632
Fixed10Hz,95,42,0.24,2005,0.0075,332.872,69.6,28.0278,100.0,1785735357.524248
Fixed10Hz,91,42,0.24,2005,0.0075,332.872,70.54,28.0278,100.0,1785735357.5261664
Fixed10Hz,99,42,0.25,2005,0.0075,332.872,67.85,28.0278,100.0,1785735357.5492947
ReactDCC,38,42,0.36,2005,0.0075,332.872,96.13,28.0278,100.0,1785735357.9664545
ReactDCC,34,42,0.37,2005,0.0075,332.872,97.52,28.0278,100.0,1785735357.9688122
ReactDCC,30,42,0.4,2005,0.0075,332.872,99.72,28.0278,100.0,1785735358.0005856
ReactDCC,22,42,0.4,2005,0.0075,332.872,99.92,28.0278,100.0,1785735358.0020635
ReactDCC,10,42,0.4,2005,0.0075,332.872,99.97,28.0278,100.0,1785735358.004523
ReactDCC,18,42,0.4,2005,0.0075,332.872,99.72,28.0278,100.0,1785735358.005388
ReactDCC,26,42,0.41,2005,0.0075,332.872,99.11,28.0278,100.0,1785735358.0084574
ReactDCC,44,42,0.41,2005,0.0075,332.872,93.43,28.0278,100.0,1785735358.0101886
ReactDCC,24,42,0.41,2005,0.0075,332.872,100.0,28.0278,100.0,1785735358.015156
ReactDCC,28,42,0.41,2005,0.0075,332.872,100.0,28.0278,100.0,1785735358.0157166
ReactDCC,46,42,0.42,2005,0.0075,332.872,92.16,28.0278,100.0,1785735358.026234
ReactDCC,48,42,0.42,2005,0.0075,332.872,91.46,28.0278,100.0,1785735358.0274458
ReactDCC,12,42,0.43,2005,0.0075,332.872,100.0,28.0278,100.0,1785735358.0274744
ReactDCC,42,42,0.43,2005,0.0075,332.872,94.83,28.0278,100.0,1785735358.029955
ReactDCC,36,42,0.43,2005,0.0075,332.872,97.08,28.0278,100.0,1785735358.0307193
ReactDCC,16,42,0.44,2005,0.0075,332.872,100.0,28.0278,100.0,1785735358.03946
ReactDCC,20,42,0.47,2005,0.0075,332.872,99.48,28.0278,100.0,1785735358.0757663
ReactDCC,40,42,0.48,2005,0.0075,332.872,95.41,28.0278,100.0,1785735358.0792952
ReactDCC,14,42,0.51,2005,0.0075,332.872,100.0,28.0278,100.0,1785735358.1096354
ReactDCC,32,42,0.52,2005,0.0075,332.872,99.75,28.0278,100.0,1785735358.1201138
ReactDCC,39,42,0.43,2005,0.0075,332.872,96.38,28.0278,100.0,1785735358.401389
ReactDCC,19,42,0.41,2005,0.0075,332.872,99.28,28.0278,100.0,1785735358.4195275
ReactDCC,35,42,0.45,2005,0.0075,332.872,96.71,28.0278,100.0,1785735358.421095
ReactDCC,47,42,0.4,2005,0.0075,332.872,91.23,28.0278,100.0,1785735358.426379
ReactDCC,49,42,0.42,2005,0.0075,332.872,91.35,28.0278,100.0,1785735358.4446754
ReactDCC,13,42,0.42,2005,0.0075,332.872,99.74,28.0278,100.0,1785735358.4489443
ReactDCC,31,42,0.46,2005,0.0075,332.872,99.52,28.0278,100.0,1785735358.4593415
ReactDCC,29,42,0.44,2005,0.0075,332.872,100.0,28.0278,100.0,1785735358.4597092
ReactDCC,25,42,0.45,2005,0.0075,332.872,100.0,28.0278,100.0,1785735358.4624946
ReactDCC,45,42,0.47,2005,0.0075,332.872,92.56,28.0278,100.0,1785735358.4818938
ReactDCC,17,42,0.45,2005,0.0075,332.872,99.99,28.0278,100.0,1785735358.4858367
ReactDCC,23,42,0.48,2005,0.0075,332.872,100.0,28.0278,100.0,1785735358.487888
ReactDCC,27,42,0.48,2005,0.0075,332.872,100.0,28.0278,100.0,1785735358.4881094
ReactDCC,11,42,0.5,2005,0.0075,332.872,99.8,28.0278,100.0,1785735358.5040476
ReactDCC,43,42,0.47,2005,0.0075,332.872,93.48,28.0278,100.0,1785735358.504658
ReactDCC,37,42,0.47,2005,0.0075,332.872,96.69,28.0278,100.0,1785735358.5057478
ReactDCC,21,42,0.45,2005,0.0075,332.872,99.44,28.0278,100.0,1785735358.5261562
ReactDCC,33,42,0.42,2005,0.0075,332.872,98.55,28.0278,100.0,1785735358.5452375
ReactDCC,41,42,0.52,2005,0.0075,332.872,95.1,28.0278,100.0,1785735358.600949
ReactDCC,15,42,0.49,2005,0.0075,332.872,99.83,28.0278,100.0,1785735358.6020288
ReactDCC,66,42,0.39,2005,0.0075,332.872,82.3,28.0278,100.0,1785735358.8579297
ReactDCC,54,42,0.44,2005,0.0075,332.872,87.19,28.0278,100.0,1785735358.8632915
ReactDCC,52,42,0.46,2005,0.0075,332.872,88.46,28.0278,100.0,1785735358.8841083
ReactDCC,56,42,0.46,2005,0.0075,332.872,87.56,28.0278,100.0,1785735358.886284
ReactDCC,50,42,0.48,2005,0.0075,332.872,89.92,28.0278,100.0,1785735358.8864584
ReactDCC,76,42,0.39,2005,0.0075,332.872,78.52,28.0278,100.0,1785735358.8937595
ReactDCC,62,42,0.45,2005,0.0075,332.872,84.79,28.0278,100.0,1785735358.9061563
ReactDCC,60,42,0.46,2005,0.0075,332.872,86.27,28.0278,100.0,1785735358.9078643
ReactDCC,68,42,0.42,2005,0.0075,332.872,81.12,28.0278,100.0,1785735358.908274
ReactDCC,78,42,0.41,2005,0.0075,332.872,76.1,28.0278,100.0,1785735358.9131024
ReactDCC,70,42,0.43,2005,0.0075,332.872,81.15,28.0278,100.0,1785735358.9210684
ReactDCC,58,42,0.48,2005,0.0075,332.872,87.27,28.0278,100.0,1785735358.921764
ReactDCC,72,42,0.45,2005,0.0075,332.872,81.12,28.0278,100.0,1785735358.937228
ReactDCC,64,42,0.48,2005,0.0075,332.872,83.29,28.0278,100.0,1785735358.9376302
ReactDCC,74,42,0.47,2005,0.0075,332.872,80.26,28.0278,100.0,1785735358.9589465
ReactDCC,82,42,0.47,2005,0.0075,332.872,74.72,28.0278,100.0,1785735358.9946885
ReactDCC,80,42,0.49,2005,0.0075,332.872,76.53,28.0278,100.0,1785735358.9953403
ReactDCC,84,42,0.49,2005,0.0075,332.872,74.13,28.0278,100.0,1785735359.0378156
ReactDCC,86,42,0.45,2005,0.0075,332.872,72.69,28.0278,100.0,1785735359.0555286
ReactDCC,88,42,0.49,2005,0.0075,332.872,71.73,28.0278,100.0,1785735359.097413
ReactDCC,55,42,0.43,2005,0.0075,332.872,87.95,28.0278,100.0,1785735359.290722
ReactDCC,57,42,0.41,2005,0.0075,332.872,86.99,28.0278,100.0,1785735359.302519
ReactDCC,51,42,0.42,2005,0.0075,332.872,89.36,28.0278,100.0,1785735359.30732
ReactDCC,71,42,0.4,2005,0.0075,332.872,80.97,28.0278,100.0,1785735359.320362
ReactDCC,63,42,0.41,2005,0.0075,332.872,84.42,28.0278,100.0,1785735359.3217008
ReactDCC,77,42,0.43,2005,0.0075,332.872,76.91,28.0278,100.0,1785735359.327546
ReactDCC,67,42,0.47,2005,0.0075,332.872,81.48,28.0278,100.0,1785735359.3329232
ReactDCC,69,42,0.43,2005,0.0075,332.872,81.82,28.0278,100.0,1785735359.3377502
ReactDCC,53,42,0.47,2005,0.0075,332.872,89.59,28.0278,100.0,1785735359.3573794
ReactDCC,61,42,0.46,2005,0.0075,332.872,85.32,28.0278,100.0,1785735359.3655949
ReactDCC,59,42,0.46,2005,0.0075,332.872,85.53,28.0278,100.0,1785735359.3839912
ReactDCC,75,42,0.44,2005,0.0075,332.872,78.09,28.0278,100.0,1785735359.397607
ReactDCC,65,42,0.46,2005,0.0075,332.872,83.19,28.0278,100.0,1785735359.397921
ReactDCC,79,42,0.49,2005,0.0075,332.872,76.25,28.0278,100.0,1785735359.403464
ReactDCC,73,42,0.47,2005,0.0075,332.872,79.27,28.0278,100.0,1785735359.4058611
ReactDCC,83,42,0.47,2005,0.0075,332.872,74.2,28.0278,100.0,1785735359.4626489
ReactDCC,85,42,0.43,2005,0.0075,332.872,73.89,28.0278,100.0,1785735359.4655802
ReactDCC,81,42,0.47,2005,0.0075,332.872,75.3,28.0278,100.0,1785735359.4682736
ReactDCC,87,42,0.42,2005,0.0075,332.872,73.08,28.0278,100.0,1785735359.4718175
ReactDCC,89,42,0.4,2005,0.0075,332.872,71.93,28.0278,100.0,1785735359.4966729
ReactDCC,94,42,0.29,2005,0.0075,332.872,70.32,28.0278,100.0,1785735359.5978866
ReactDCC,96,42,0.28,2005,0.0075,332.872,68.3,28.0278,100.0,1785735359.6056745
ReactDCC,90,42,0.31,2005,0.0075,332.872,70.54,28.0278,100.0,1785735359.6065674
ReactDCC,92,42,0.31,2005,0.0075,332.872,69.8,28.0278,100.0,1785735359.6089478
ReactDCC,100,42,0.29,2005,0.0075,332.872,65.62,28.0278,100.0,1785735359.6171443
ReactDCC,98,42,0.31,2005,0.0075,332.872,67.61,28.0278,100.0,1785735359.6297889
ReactDCC,93,42,0.24,2005,0.0075,332.872,69.27,28.0278,100.0,1785735359.845211
ReactDCC,91,42,0.24,2005,0.0075,332.872,70.06,28.0278,100.0,1785735359.8455403
ReactDCC,97,42,0.24,2005,0.0075,332.872,67.57,28.0278,100.0,1785735359.8461046
ReactDCC,95,42,0.25,2005,0.0075,332.872,68.09,28.0278,100.0,1785735359.8468504
