model_name,category,best_value,best_trial_number,hidden_dim,learning_rate,gamma,clip_range,ent_coef,vf_coef,n_epochs,w1,w2,w3,w4,reward_weights_json,hparams_json,best_trial_diverged,n_diverged_trials,actor_lr,critic_lr,tau,global_critic_weight,gumbel_tau
PPO,Category 1 (Basic),23.3378,13,256,0.000107156959424132,0.967316410778021,0.2512882785289217,0.0011023372515498503,0.7948016182423288,20.0,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 256, ""learning_rate"": 0.000107156959424132, ""gamma"": 0.967316410778021, ""clip_range"": 0.2512882785289217, ""ent_coef"": 0.0011023372515498503, ""vf_coef"": 0.7948016182423288, ""n_epochs"": 20}",False,0,,,,,
MADDPG-MT,Category 3 (Similar),8.6998,1,256,,0.9589094233931479,,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 256, ""actor_lr"": 0.0016967533607196547, ""critic_lr"": 0.00020589728197687926, ""gamma"": 0.9589094233931479, ""tau"": 0.0017322667470546255, ""global_critic_weight"": 0.3433937943676302, ""gumbel_tau"": 1.2871346474483567}",False,0,0.0016967533607196547,0.00020589728197687926,0.0017322667470546255,0.3433937943676302,1.2871346474483567
