sweep_id,param_name,param_value,seed,AoI_mean,CBR_mean,PDR_mean,energy_efficiency,ETSI_compliance,runtime_sec,n_cam_events,status,error
SA1,n_vehicles,10,42,602.56,0.0097,100.0,33.0073,100.0,1.91,2157,ok,,ReactDCC
SA1,n_vehicles,10,123,503.788,0.0078,100.0,44.9169,100.0,1.94,2405,ok,,ReactDCC
SA1,n_vehicles,10,456,196.38,0.0115,100.0,29.8815,100.0,1.99,2195,ok,,ReactDCC
SA1,n_vehicles,10,42,602.56,0.0097,100.0,33.0073,100.0,1.89,2157,ok,,AdaptDCC
SA1,n_vehicles,10,123,503.788,0.0078,100.0,44.9169,100.0,1.94,2405,ok,,AdaptDCC
SA1,n_vehicles,10,456,196.38,0.0115,100.0,29.8815,100.0,1.94,2195,ok,,AdaptDCC
SA1,n_vehicles,10,42,602.56,0.0097,100.0,33.0073,100.0,1.94,2157,ok,,Heuristic
SA1,n_vehicles,10,123,503.788,0.0078,100.0,44.9169,100.0,2.03,2405,ok,,Heuristic
SA1,n_vehicles,10,456,196.38,0.0115,100.0,29.8815,100.0,1.97,2195,ok,,Heuristic
SA1,n_vehicles,10,42,602.56,0.0097,100.0,33.0073,100.0,1.92,2157,ok,,Fixed10Hz
SA1,n_vehicles,10,123,503.788,0.0078,100.0,44.9169,100.0,2.0,2405,ok,,Fixed10Hz
SA1,n_vehicles,10,456,196.38,0.0115,100.0,29.8815,100.0,1.93,2195,ok,,Fixed10Hz
SA1,n_vehicles,10,42,941.006,0.0097,100.0,3.3007,100.0,3.14,2157,ok,,DecTree
SA1,n_vehicles,10,123,407.762,0.0078,100.0,4.4917,100.0,2.38,2405,ok,,DecTree
SA1,n_vehicles,10,456,174.414,0.0115,100.0,2.9881,100.0,2.27,2195,ok,,DecTree
SA1,n_vehicles,10,42,471.382,0.0095,100.0,5.9496,100.0,3.09,2106,ok,,StdMLP
SA1,n_vehicles,10,123,340.368,0.0074,100.0,18.8427,100.0,3.23,2268,ok,,StdMLP
SA1,n_vehicles,10,456,149.88,0.0108,100.0,7.1348,100.0,3.02,2073,ok,,StdMLP
SA1,n_vehicles,10,42,602.56,0.0097,100.0,16.5428,100.0,2.04,2157,ok,,Proposed
SA1,n_vehicles,10,123,503.788,0.0078,100.0,22.5118,100.0,2.11,2405,ok,,Proposed
SA1,n_vehicles,10,456,196.38,0.0115,100.0,14.9762,100.0,2.07,2195,ok,,Proposed
SA1,n_vehicles,20,42,602.56,0.0097,100.0,33.0073,100.0,1.91,2157,ok,,ReactDCC
