Time,VehicleID,X,Y,Z,State
32.0,V2,12128.5,3147.4,139.3,CRUISE
32.0,V3,8477.5,711.9,213.6,CRUISE
32.0,V4,3396.2,18855.5,146.7,CRUISE
33.0,V1,11965.9,3429.9,152.5,CRUISE
33.0,V2,12119.9,3162.4,138.6,CRUISE
33.0,V3,8489.4,715.4,217.0,CRUISE
33.0,V4,3386.5,18864.6,145.0,CRUISE
34.0,V1,11943.9,3468.1,153.0,CRUISE
34.0,V2,12110.0,3179.5,138.4,CRUISE
34.0,V3,8503.6,719.6,220.0,CRUISE
34.0,V4,3375.0,18875.4,143.7,CRUISE
35.0,V1,11920.8,3508.3,152.3,CRUISE
35.0,V2,12098.9,3198.8,138.6,CRUISE
35.0,V3,8520.2,724.4,222.5,CRUISE
35.0,V4,3361.7,18887.8,142.9,CRUISE
36.0,V1,11896.5,3550.4,150.6,CRUISE
36.0,V2,12086.6,3220.2,139.2,CRUISE
36.0,V3,8539.2,730.0,224.6,CRUISE
36.0,V4,3346.6,18901.9,142.6,CRUISE
37.0,V1,11871.6,3593.7,150.0,CRUISE
37.0,V2,12073.1,3243.7,140.2,CRUISE
37.0,V3,8560.5,736.3,226.4,CRUISE
37.0,V4,3329.8,18917.6,143.3,CRUISE
38.0,V1,11846.6,3637.0,150.0,CRUISE
38.0,V2,12058.3,3269.4,141.6,CRUISE
38.0,V3,8584.2,743.3,227.7,CRUISE
38.0,V4,3314.8,18931.5,144.4,CLIMB
39.0,V1,11821.7,3680.4,150.0,CRUISE
39.0,V2,12042.3,3297.2,143.5,CRUISE
39.0,V3,8610.3,750.9,228.5,CRUISE
39.0,V4,3301.7,18943.8,145.9,CRUISE
40.0,V1,11796.7,3723.7,150.0,CRUISE
40.0,V2,12025.0,3327.2,145.9,CRUISE
40.0,V3,8638.7,759.3,229.0,CRUISE
40.0,V4,3290.4,18954.4,147.5,CRUISE
41.0,V1,11771.8,3767.0,150.0,CRUISE
41.0,V2,12006.5,3359.3,148.5,CRUISE
41.0,V3,8669.5,768.3,229.0,CRUISE
41.0,V4,3280.8,18963.3,149.1,CRUISE
42.0,V1,11746.8,3810.4,150.0,CRUISE
42.0,V2,11986.8,3393.6,150.9,CRUISE
42.0,V3,8702.6,778.1,228.7,CRUISE
42.0,V4,3273.2,18970.5,150.7,CRUISE
43.0,V1,11721.9,3853.7,150.0,CRUISE
43.0,V2,11965.9,3429.9,152.5,CRUISE
43.0,V3,8738.1,788.5,227.9,CRUISE
43.0,V4,3267.3,18975.9,152.2,CRUISE
44.0,V1,11697.0,3897.0,150.0,CRUISE
44.0,V2,11943.9,3468.1,153.0,CRUISE
44.0,V3,8776.0,799.7,226.6,CRUISE
44.0,V4,3263.3,18979.7,153.6,CRUISE
45.0,V1,11672.0,3940.4,150.0,CRUISE
45.0,V2,11920.8,3508.3,152.3,CRUISE
45.0,V3,8816.3,811.5,225.0,CRUISE
45.0,V4,3261.1,18981.8,154.7,CRUISE
46.0,V1,11647.1,3983.7,150.0,CRUISE
46.0,V2,11896.5,3550.4,150.6,CRUISE
46.0,V3,8858.9,824.0,223.0,CRUISE
