vid,reward,delta_actual,interval_steps,done,transmitted,r_err,r_power,cbr,i_redundant,error,term_err,term_pow,term_cong,term_red,bucket
F19_5.0,-0.16413543836739114,0.20000000000000284,2,False,True,1.9692614491965058e-07,0.31619669952159346,0.00448,1.0,0.015643679827917367,9.846307245982529e-08,0.0632393399043187,0.000896,0.1,"[0.1, 0.5)"
F18_5.1,-0.11913919384220151,0.29999999999999716,3,False,True,6.152312673394783e-09,0.0912159538302258,0.00448,1.0,0.0024600118913440383,3.0761563366973913e-09,0.01824319076604516,0.000896,0.1,"[0.1, 0.5)"
F18_1.0,-0.16292551877651587,0.5,5,False,True,9.82529870947798e-09,0.3101475693193325,0.00448,1.0,0.002131145427483716,4.91264935473899e-09,0.06202951386386651,0.000896,0.1,"[0.5, 2.0)"
F19_5.1,-0.22457005180957296,0.6000000000000014,6,False,True,5.049490132359439e-07,0.6183689966753316,0.00448,1.0,0.01936208962888486,2.5247450661797197e-07,0.12367379933506634,0.000896,0.1,"[0.5, 2.0)"
F18_5.1,-0.2762501329532372,0.20000000000000284,2,False,True,1.1757736448279633e-07,0.8767703708227749,0.00448,1.0,0.012288835107938212,5.8788682241398165e-08,0.17535407416455498,0.000896,0.1,"[0.1, 0.5)"
F19_15.0,-0.1979801421865482,0.4000000000000057,4,False,True,0.003555887569344089,0.4765309920093807,0.00448,1.0,1.2651400205904793,0.0017779437846720445,0.09530619840187615,0.000896,0.1,"[0.1, 0.5)"
F18_2.0,-0.13911418601076064,0.7999999999999972,8,False,True,9.535420565018642e-06,0.19106709150239054,0.00448,1.0,0.06936281191519811,4.767710282509321e-06,0.038213418300478114,0.000896,0.1,"[0.5, 2.0)"
F19_5.0,-0.13877437884356325,0.5,5,False,True,2.2626538400776423e-07,0.18939132855435623,0.00448,1.0,0.01567108329709299,1.1313269200388212e-07,0.037878265710871245,0.000896,0.1,"[0.5, 2.0)"
F18_12.1,-0.20183666222609525,0.8999999999999986,9,False,True,6.582125234331013e-06,0.5046868558173904,0.00448,1.0,0.060014728032001585,3.2910626171655064e-06,0.10093737116347808,0.000896,0.1,"[0.5, 2.0)"
F18_12.1,-0.14950333692094517,0.7999999999999972,8,False,True,4.250171478558453e-07,0.2430356220618562,0.00448,1.0,0.005596978744506487,2.1250857392792266e-07,0.04860712441237124,0.000896,0.1,"[0.5, 2.0)"
F19_12.0,-0.11335398804051289,1.8999999999999986,19,False,True,4.140872407671146e-06,0.06227958802154522,0.00448,1.0,0.029182620099163614,2.070436203835573e-06,0.012455917604309044,0.000896,0.1,"[0.5, 2.0)"
F19_5.0,-0.11737089871562621,1.6000000000000014,16,False,True,6.021525934519385e-07,0.08237298819664737,0.00448,1.0,0.01610838715259888,3.0107629672596923e-07,0.016474597639329475,0.000896,0.1,"[0.5, 2.0)"
F18_12.1,-0.16740332429431892,1.0,10,False,True,1.8890077563137967e-07,0.3325361492196555,0.00448,1.0,0.004317646535128006,9.445038781568983e-08,0.0665072298439311,0.000896,0.1,"[0.5, 2.0)"
