bucket,n,mean_r,r_per_sec
"[0.1, 0.5)",117.0,-0.19448723713685112,-0.7340324756455374
"[0.5, 2.0)",147.0,-0.17440082870799567,-0.16966857591049211
"[2.0, 10.0)",155.0,-0.31208092923558234,-0.06347269916220347
"[10.0, 45.1)",107.0,-3.158656669966321,-0.15494258638719857
