,mean,max,share_of_mean_penalty
term_err,0.6788633589197985,19.17612425537107,0.8213679947382895
term_pow,0.08058254275890596,0.1999763118458969,0.09749814994008912
term_cong,0.0008977034220532317,0.002688,0.0010861462029926317
term_red,0.06615969581749048,0.1,0.08004770911862882
