iter	MAE	RMSE
223	74.77976598	150.9910679
224	74.76102419	150.950825
225	74.74349686	150.9010967
226	74.69975573	150.7665331
227	74.66303602	150.7116065
228	74.64517893	150.6439118
229	74.62058305	150.5595147
230	74.60623872	150.5087531
231	74.57288486	150.4141887
232	74.54543169	150.3746141
233	74.50873574	150.2831461
234	74.48633965	150.2060844
235	74.4700223	150.1598157
236	74.45024483	150.1101817
237	74.41239004	150.017433
238	74.38577832	149.9808621
239	74.37280006	149.9195037
240	74.35004953	149.8831336
241	74.34035339	149.8683083
242	74.3255291	149.8270751
243	74.28945475	149.7205741
244	74.26663186	149.6905733
245	74.25572402	149.6498468
246	74.23877467	149.602551
247	74.2064058	149.5380512
248	74.19327804	149.5125154
249	74.17761317	149.4540637
250	74.16012752	149.4149592
251	74.13543429	149.3671515
252	74.10020247	149.2794123
253	74.07815531	149.2332245
254	74.05774214	149.1880232
255	74.043615	149.1412877
256	74.02848906	149.0982804
257	74.00782126	149.0518025
258	73.97476625	148.9975445
