Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
71,142000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
72,144000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
73,146000,-995000.0,145.545,0.0882,91.75,0.0,0.0,50
74,148000,-995000.0,146.729,0.0893,91.65,0.0,0.0,100
75,150000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
76,152000,-995000.0,146.729,0.0893,91.65,0.0,0.0,100
77,154000,-995000.0,145.545,0.0882,91.75,0.0,0.0,50
78,156000,-995000.0,146.729,0.0893,91.65,0.0,0.0,100
79,158000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
80,160000,-995000.0,146.729,0.0893,91.65,0.0,0.0,100
81,162000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
82,164000,-995000.0,145.545,0.0882,91.75,0.0,0.0,50
83,166000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
84,168000,-995000.0,146.729,0.0893,91.65,0.0,0.0,100
85,170000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
86,172000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
87,174000,-995000.0,146.729,0.0893,91.65,0.0,0.0,100
88,176000,-995000.0,146.729,0.0893,91.65,0.0,0.0,100
89,178000,-995000.0,145.545,0.0882,91.75,0.0,0.0,50
90,180000,-995000.0,145.545,0.0882,91.75,0.0,0.0,50
91,182000,-995000.0,145.545,0.0882,91.75,0.0,0.0,50
92,184000,-995000.0,145.545,0.0882,91.75,0.0,0.0,50
93,186000,-995000.0,146.729,0.0893,91.65,0.0,0.0,100
94,188000,-995000.0,146.729,0.0893,91.65,0.0,0.0,100
95,190000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
96,192000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
97,194000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
98,196000,-995000.0,138.324,0.073,92.98,0.0,0.0,30
99,198000,-995000.0,146.729,0.0893,91.65,0.0,0.0,100
100,200000,-995000.0,146.729,0.0893,91.65,0.0,0.0,100
