trial_id,state,objective_value,total_equity,total_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,win_rate,param_sl_lr,param_sl_hidden_dim,param_sl_batch_size,param_rl_lr,param_rl_gamma,param_rl_clip_range,param_rl_ent_coef,param_rl_hidden_dim,duration_seconds,datetime_start,datetime_complete
0,COMPLETE,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0001329291894316,32,64,0.000260702475837,0.9020378649352844,0.2939819704323988,0.0314288089084011,64,1.4292,2026-09-02T02:34:07.701738+00:00,2026-09-02T02:34:09.130966+00:00
1,COMPLETE,0.9776,12139024.0,21.3902,0.9776,-42.3098,6,0.0,8.17949947521167e-05,256,128,0.0003718364180573,0.9197677044336776,0.2028468876827223,0.0059874749104614,128,0.6189,2026-09-02T02:34:09.134883+00:00,2026-09-02T02:34:09.753813+00:00
2,PRUNED,0.0,10000000.0,0.0,0.0,0.0,0,0.0,1.5673095467235405e-05,64,32,9.7803370166594e-05,0.9034044635904066,0.2818640804157564,0.000597502799996,64,0.5899,2026-09-02T02:34:09.759334+00:00,2026-09-02T02:34:10.349259+00:00
0,COMPLETE,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0001329291894316,32,64,0.000260702475837,0.9020378649352844,0.2939819704323988,0.0314288089084011,64,1.5798,2026-09-02T02:35:47.830788+00:00,2026-09-02T02:35:49.410566+00:00
1,COMPLETE,0.9776,12139024.0,21.3902,0.9776,-42.3098,6,0.0,8.17949947521167e-05,256,128,0.0003718364180573,0.9197677044336776,0.2028468876827223,0.0059874749104614,128,2.108,2026-09-02T02:35:49.417124+00:00,2026-09-02T02:35:51.525162+00:00
2,PRUNED,0.0,10000000.0,0.0,0.0,0.0,0,0.0,1.5673095467235405e-05,64,32,9.7803370166594e-05,0.9034044635904066,0.2818640804157564,0.000597502799996,64,0.8546,2026-09-02T02:35:51.531340+00:00,2026-09-02T02:35:52.385908+00:00
0,COMPLETE,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0001329291894316,32,64,0.000260702475837,0.9020378649352844,0.2939819704323988,0.0314288089084011,64,1.4971,2026-09-02T02:36:10.817992+00:00,2026-09-02T02:36:12.315055+00:00
1,COMPLETE,0.9776,12139024.0,21.3902,0.9776,-42.3098,6,0.0,8.17949947521167e-05,256,128,0.0003718364180573,0.9197677044336776,0.2028468876827223,0.0059874749104614,128,0.7737,2026-09-02T02:36:12.321607+00:00,2026-09-02T02:36:13.095326+00:00
2,PRUNED,0.0,10000000.0,0.0,0.0,0.0,0,0.0,1.5673095467235405e-05,64,32,9.7803370166594e-05,0.9034044635904066,0.2818640804157564,0.000597502799996,64,1.1523,2026-09-02T02:36:13.101030+00:00,2026-09-02T02:36:14.253338+00:00
0,COMPLETE,0.9776,12139024.0,21.3902,0.9776,-42.3098,6,0.0,0.0001329291894316,32,64,0.000260702475837,0.9020378649352844,0.2939819704323988,0.0314288089084011,64,1.748,2026-09-02T02:36:46.841619+00:00,2026-09-02T02:36:48.589630+00:00
1,COMPLETE,0.9776,12139024.0,21.3902,0.9776,-42.3098,6,0.0,8.17949947521167e-05,256,128,0.0003718364180573,0.9197677044336776,0.2028468876827223,0.0059874749104614,128,0.6709,2026-09-02T02:36:48.596167+00:00,2026-09-02T02:36:49.267048+00:00
2,PRUNED,0.0,10000000.0,0.0,0.0,0.0,0,0.0,1.5673095467235405e-05,64,32,9.7803370166594e-05,0.9034044635904066,0.2818640804157564,0.000597502799996,64,0.6219,2026-09-02T02:36:49.272358+00:00,2026-09-02T02:36:49.894254+00:00
0,COMPLETE,0.9723,12115524.0,21.1552,0.9723,-42.3098,6,0.0,0.0001329291894316,32,64,0.000260702475837,0.9020378649352844,0.2939819704323988,0.0314288089084011,64,1.5624,2026-09-02T02:37:28.455487+00:00,2026-09-02T02:37:30.017900+00:00
1,COMPLETE,0.9723,12115524.0,21.1552,0.9723,-42.3098,6,0.0,8.17949947521167e-05,256,128,0.0003718364180573,0.9197677044336776,0.2028468876827223,0.0059874749104614,128,0.6081,2026-09-02T02:37:30.024512+00:00,2026-09-02T02:37:30.632575+00:00
2,PRUNED,0.0,10000000.0,0.0,0.0,0.0,0,0.0,1.5673095467235405e-05,64,32,9.7803370166594e-05,0.9034044635904066,0.2818640804157564,0.000597502799996,64,0.6568,2026-09-02T02:37:30.638176+00:00,2026-09-02T02:37:31.294949+00:00
0,COMPLETE,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0001329291894316,32,64,0.000260702475837,0.9020378649352844,0.2939819704323988,0.0314288089084011,64,1.6092,2026-09-02T06:24:53.914063+00:00,2026-09-02T06:24:55.523265+00:00
1,COMPLETE,0.9483,12009774.0,20.0977,0.9483,-42.3098,6,0.0,8.17949947521167e-05,256,128,0.0003718364180573,0.9197677044336776,0.2028468876827223,0.0059874749104614,128,0.6724,2026-09-02T06:24:55.529845+00:00,2026-09-02T06:24:56.202252+00:00
2,PRUNED,0.0,10000000.0,0.0,0.0,0.0,0,0.0,1.5673095467235405e-05,64,32,9.7803370166594e-05,0.9034044635904066,0.2818640804157564,0.000597502799996,64,0.6062,2026-09-02T06:24:56.208040+00:00,2026-09-02T06:24:56.814210+00:00
0,COMPLETE,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0001329291894316,32,64,0.000260702475837,0.9020378649352844,0.2939819704323988,0.0314288089084011,64,1.5652,2026-09-02T06:35:48.774064+00:00,2026-09-02T06:35:50.339275+00:00
