trial_id,model_type,state,objective_value,total_equity,total_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,win_rate,param_sl_lr,param_sl_dropout,param_rl_lr,param_rl_gamma,param_rl_clip_range,param_rl_ent_coef,param_rl_hidden_dim,param_batch_size,param_res_blocks,param_res_filters,param_res_kernel_size,param_resnet_num_blocks,param_resnet_filters,param_resnet_kernel_size,param_resnet_dropout,param_tf_d_model,param_tf_nhead,param_tf_layers,param_tf_num_layers,param_tf_dim_feedforward,param_tf_dropout,param_cvae_latent_dim,param_cvae_hidden_dim,param_cvae_kl_weight,param_cvae_dropout,params_json,duration_seconds,datetime_start,datetime_complete
0,resnet,COMPLETE,-1.0,10000000.0,0.0,0.0,0.0,0,0.0,0.00023270677083837802,0.09127267288786131,5.6115164153345e-05,0.9941207163345817,0.24639878836228102,0.006251373574521752,64,32,3,32,3,3,32,3,0.09127267288786131,,,,,,,,,,,"{""batch_size"": 32, ""res_blocks"": 3, ""res_filters"": 32, ""res_kernel_size"": 3, ""rl_clip_range"": 0.24639878836228102, ""rl_ent_coef"": 0.006251373574521752, ""rl_gamma"": 0.9941207163345817, ""rl_hidden_dim"": 64, ""rl_lr"": 5.6115164153345e-05, ""sl_dropout"": 0.09127267288786131, ""sl_lr"": 0.00023270677083837802}",1.2568,2026-09-03T06:20:07.083655+00:00,2026-09-03T06:20:08.340475+00:00
1,resnet,COMPLETE,-1.0,10000000.0,0.0,0.0,0.0,0,0.0,0.00013492834268013249,0.28466566117599995,0.00011207606211860574,0.9427625568455694,0.15824582803960838,0.006847920095574782,128,64,1,32,3,1,32,3,0.28466566117599995,,,,,,,,,,,"{""batch_size"": 64, ""res_blocks"": 1, ""res_filters"": 32, ""res_kernel_size"": 3, ""rl_clip_range"": 0.15824582803960838, ""rl_ent_coef"": 0.006847920095574782, ""rl_gamma"": 0.9427625568455694, ""rl_hidden_dim"": 128, ""rl_lr"": 0.00011207606211860574, ""sl_dropout"": 0.28466566117599995, ""sl_lr"": 0.00013492834268013249}",0.8554,2026-09-03T06:20:08.347122+00:00,2026-09-03T06:20:09.202546+00:00
0,transformer,COMPLETE,1.193043,12140433.0,21.4043,0.979,-41.9922,6,0.0,0.00906249060634634,0.24350494472679696,0.0001221264923137779,0.9275585691242858,0.1849035181498266,0.03422381321470752,128,32,,,,,,,,64,2,1,1,,0.24350494472679696,,,,,"{""batch_size"": 32, ""rl_clip_range"": 0.1849035181498266, ""rl_ent_coef"": 0.03422381321470752, ""rl_gamma"": 0.9275585691242858, ""rl_hidden_dim"": 128, ""rl_lr"": 0.0001221264923137779, ""sl_dropout"": 0.24350494472679696, ""sl_lr"": 0.00906249060634634, ""tf_d_model"": 64, ""tf_layers"": 1, ""tf_nhead"": 2}",1.4202,2026-09-03T06:20:09.218048+00:00,2026-09-03T06:20:10.638228+00:00
1,transformer,COMPLETE,0.846699,11157989.0,11.5799,0.7309,-33.6348,67,0.0,0.0001622913492271462,0.11458303348293301,2.2074050179293994e-05,0.9808062501238581,0.15481474940833984,0.001972933971943203,64,64,,,,,,,,64,2,2,2,,0.11458303348293301,,,,,"{""batch_size"": 64, ""rl_clip_range"": 0.15481474940833984, ""rl_ent_coef"": 0.001972933971943203, ""rl_gamma"": 0.9808062501238581, ""rl_hidden_dim"": 64, ""rl_lr"": 2.2074050179293994e-05, ""sl_dropout"": 0.11458303348293301, ""sl_lr"": 0.0001622913492271462, ""tf_d_model"": 64, ""tf_layers"": 2, ""tf_nhead"": 2}",1.6974,2026-09-03T06:20:10.652929+00:00,2026-09-03T06:20:12.350352+00:00
0,cvae,COMPLETE,1.190742,12133425.0,21.3342,0.9774,-42.0091,6,0.0,0.00017476076489734608,0.23567288564844904,0.0007857140400707453,0.9224281946920406,0.2188840288782265,0.0019271967508291577,64,32,,,,,,,,,,,,,,32,32,0.034539056590561515,0.23567288564844904,"{""batch_size"": 32, ""cvae_hidden_dim"": 32, ""cvae_kl_weight"": 0.034539056590561515, ""cvae_latent_dim"": 32, ""rl_clip_range"": 0.2188840288782265, ""rl_ent_coef"": 0.0019271967508291577, ""rl_gamma"": 0.9224281946920406, ""rl_hidden_dim"": 64, ""rl_lr"": 0.0007857140400707453, ""sl_dropout"": 0.23567288564844904, ""sl_lr"": 0.00017476076489734608}",1.105,2026-09-03T06:20:12.367830+00:00,2026-09-03T06:20:13.472805+00:00
1,cvae,COMPLETE,-1.0,10000000.0,0.0,0.0,0.0,0,0.0,0.002287092177321023,0.09880443114316237,3.169641245349481e-05,0.909506941305234,0.2886982073999065,0.03007117801567988,128,64,,,,,,,,,,,,,,16,64,0.018884315086245326,0.09880443114316237,"{""batch_size"": 64, ""cvae_hidden_dim"": 64, ""cvae_kl_weight"": 0.018884315086245326, ""cvae_latent_dim"": 16, ""rl_clip_range"": 0.2886982073999065, ""rl_ent_coef"": 0.03007117801567988, ""rl_gamma"": 0.909506941305234, ""rl_hidden_dim"": 128, ""rl_lr"": 3.169641245349481e-05, ""sl_dropout"": 0.09880443114316237, ""sl_lr"": 0.002287092177321023}",1.14,2026-09-03T06:20:13.487673+00:00,2026-09-03T06:20:14.627645+00:00
