model_name,category,best_value,best_trial_number,lr,hidden_dim,gamma,clip_ratio,entropy_coef,value_coef,hparams_json,tau,policy_noise,noise_clip,policy_freq,embed_dim,lr_actor,lr_critic,epsilon_initial,epsilon_decay,urgency_threshold,lyapunov_v,aoi_thresh
HybridPPO,Category 1 (Basic),4.7499,14,0.00028040403166268814,32.0,0.9837964924386016,0.16855985765326326,0.000162842448381214,0.6232935452109489,"{""lr"": 0.00028040403166268814, ""hidden_dim"": 32, ""gamma"": 0.9837964924386016, ""clip_ratio"": 0.16855985765326326, ""entropy_coef"": 0.000162842448381214, ""value_coef"": 0.6232935452109489}",,,,,,,,,,,,
HybridSAC,Category 1 (Basic),4.5324,7,0.00011240768803005555,32.0,0.9652738427283811,,,,"{""lr"": 0.00011240768803005555, ""hidden_dim"": 32, ""gamma"": 0.9652738427283811, ""tau"": 0.004749239763680406}",0.004749239763680406,,,,,,,,,,,
HybridTD3,Category 1 (Basic),17.9654,8,0.002044187835249379,128.0,0.9872784673822279,,,,"{""lr"": 0.002044187835249379, ""hidden_dim"": 128, ""gamma"": 0.9872784673822279, ""tau"": 0.005373267600451111, ""policy_noise"": 0.25419343599091215, ""noise_clip"": 0.34813867890931727, ""policy_freq"": 2}",0.005373267600451111,0.25419343599091215,0.34813867890931727,2.0,,,,,,,,
MAPPO,Category 2 (Latest),4.6591,7,0.00013511829476450826,128.0,0.9690451871947846,0.1542698063547792,0.017247957710046027,0.4140519960161536,"{""lr"": 0.00013511829476450826, ""hidden_dim"": 128, ""gamma"": 0.9690451871947846, ""clip_ratio"": 0.1542698063547792, ""entropy_coef"": 0.017247957710046027, ""value_coef"": 0.4140519960161536}",,,,,,,,,,,,
HyARPPO,Category 2 (Latest),4.287,7,0.00012863908101989929,128.0,0.9652381337640674,0.16503666440534942,0.009315049998499168,0.5825344828131279,"{""lr"": 0.00012863908101989929, ""hidden_dim"": 128, ""embed_dim"": 4, ""gamma"": 0.9652381337640674, ""clip_ratio"": 0.16503666440534942, ""entropy_coef"": 0.009315049998499168, ""value_coef"": 0.5825344828131279}",,,,,4.0,,,,,,,
MPDQN,Category 2 (Latest),12.7365,11,,32.0,0.9646437267119911,,,,"{""lr_actor"": 0.00023010386139275647, ""lr_critic"": 0.0012587933563680417, ""hidden_dim"": 32, ""gamma"": 0.9646437267119911, ""tau"": 0.0010243796165030018, ""epsilon_initial"": 0.2813263269554531, ""epsilon_decay"": 0.9948206183763194}",0.0010243796165030018,,,,,0.00023010386139275647,0.0012587933563680417,0.2813263269554531,0.9948206183763194,,,
PureAoI,Category 3 (SOTA AoI),15.9489,6,,,,,,,"{""urgency_threshold"": 0.13485016730091967}",,,,,,,,,,0.13485016730091967,,
DuelingQAoI,Category 3 (SOTA AoI),9.432,14,0.0004502908389968202,32.0,0.9794357031230112,,,,"{""lr"": 0.0004502908389968202, ""hidden_dim"": 32, ""gamma"": 0.9794357031230112, ""tau"": 0.006157445086416884, ""epsilon_initial"": 0.2378059731954213, ""epsilon_decay"": 0.9966594157517316}",0.006157445086416884,,,,,,,0.2378059731954213,0.9966594157517316,,,
SACAoI,Category 3 (SOTA AoI),4.1653,12,0.00019682493846460457,128.0,0.9512078315073497,,,,"{""lr"": 0.00019682493846460457, ""hidden_dim"": 128, ""gamma"": 0.9512078315073497, ""tau"": 0.003188626814893989, ""lyapunov_v"": 2.3262758987134613, ""aoi_thresh"": 0.31999670070968744}",0.003188626814893989,,,,,,,,,,2.3262758987134613,0.31999670070968744
