veh_id,cur_rsu,next_rsu,r_cov,dirct,d_rsu,d_e_n,n_t_0,n_t_1,n_t_2,n_t_3,d_l_c,d_l_n,v_c_a,v_n_a,tls_c,tls_n,tlt_c,tlt_n,n_cur,n_nxt,v_ahead_avg,dist_leader,v_leader,est_travel_time,route_lane_changes,q_len_cur,q_len_nxt,n_ahead_cur,n_ahead_nxt,n_merge_nxt,occ_cur,occ_nxt,dwell_cur,dwell_nxt
F7_3.6,N14,N15,800.0,1,2400.0,1656.6112557618221,5,5,17,6,743.3887442381778,3256.611255761822,35.86631073252696,42.193124678025455,-1,0,2.0,2.0,73,22,0.0,0.0010731428351391514,0.0,191.80612900276884,0,12,0,6,0,28,0.09667114996637526,0.0010507733691997312,109.0,204.0
F7_5.3,N14,N15,800.0,1,2400.0,2085.2780953380557,4,4,16,10,314.7219046619442,3685.2780953380557,35.49527201796587,40.898173034395946,-1,1,31.0,31.0,66,19,4.3613518573164916,184.05793890171753,10.983704950781538,155.75893167656866,0,4,0,7,1,30,0.07145258910558171,0.0010507733691997312,144.0,201.0
F7_4.5,N14,N15,800.0,1,2400.0,2397.9420698072263,8,8,21,7,2.057930192773483,3997.9420698072263,35.560131300861826,40.749016709799676,1,-1,0.0,0.0,77,25,9.070628613988978,57.354594841567405,12.348880754181707,127.53174352180896,0,0,0,11,3,36,0.07985877605917956,0.004203093476798925,154.0,206.0
F7_4.4,N14,N15,800.0,1,2400.0,1820.3900815834436,8,8,25,7,579.6099184165565,3420.3900815834436,35.546091560059935,40.749016709799676,-1,1,27.0,27.0,75,28,6.54954449782759,24.832508916871006,10.07565119537663,119.309432377273,0,1,0,3,0,40,0.02942165433759247,0.004203093476798925,135.0,206.0
F7_8.1,N14,N15,800.0,-1,2400.0,833.9360577028369,9,9,39,11,33.913969604924205,2433.936057702837,35.525583677370065,38.41318594393418,-2,-1,26.0,26.0,68,30,9.141765360788058,35.944535493479975,8.72450862406312,260.9853491640588,0,0,0,6,4,59,0.02101546738399462,0.011558507061197041,5.0,203.0
F7_8.3,N14,N15,800.0,1,2400.0,1626.7057895593566,9,9,30,14,773.2942104406433,3226.7057895593566,35.54460062981981,39.1798624315953,-1,1,18.0,18.0,65,31,0.0,0.0010499441154934175,0.0,156.52754331823172,0,6,0,2,1,53,0.09246805648957633,0.00945696032279758,119.0,212.9999999999999
F7_6.7,N14,N15,800.0,1,2400.0,1940.7047886748487,8,8,40,12,459.2952113251515,3540.7047886748487,35.41229043560952,38.15996184823844,-1,1,37.0,37.0,71,34,8.230083012147784,141.11977966896575,10.749199595348312,126.02901744298427,0,0,0,4,2,60,0.04203093476798924,0.01050773369199731,148.0,202.0000000000001
F7_4.6,N14,N15,800.0,1,2400.0,1611.5128005451752,8,8,43,9,788.4871994548249,3211.512800545175,35.38769744962199,38.27177986028471,-1,1,5.0,5.0,81,37,0.0,200.0,0.0,200.21363682588432,0,11,0,0,0,60,0.0336247478143914,0.009456960322797579,104.0,216.0
F7_8.5,N14,N15,800.0,1,2400.0,2399.743237349302,11,11,36,12,0.2567626506977376,3999.743237349302,35.46403832629135,39.21303401807375,-1,1,5.0,5.0,70,30,6.015982190236092,20.594134318422164,10.11395367165275,161.75344445356458,0,8,0,5,1,59,0.037827841291190316,0.00945696032279758,205.0,203.9999999999999
F7_5.5,N14,N15,800.0,1,2400.0,1626.8358282321533,8,8,46,8,773.1641717678469,3226.8358282321533,35.33258166323128,38.26732048915102,-1,0,0.0,0.0,82,38,0.0,0.001041502467387545,0.0,200.47474374562088,0,15,0,2,1,62,0.11348352387357095,0.009456960322797579,106.0,208.0
