veh_id,cur_rsu,next_rsu,r_cov,dirct,d_rsu,d_e_n,n_t_0,n_t_1,n_t_2,n_t_3,d_l_c,d_l_n,v_c_a,v_n_a,tls_c,tls_n,tlt_c,tlt_n,n_cur,n_nxt,v_ahead_avg,dist_leader,v_leader,est_travel_time,route_lane_changes,q_len_cur,q_len_nxt,n_ahead_cur,n_ahead_nxt,n_merge_nxt,occ_cur,occ_nxt,dwell_cur,dwell_nxt
F1_12.0,N15,N22,800.0,-1,2400.0,815.9809248478809,10,9,10,0,15.959102786371204,2415.980924847881,40.23908565047161,35.86494953010791,-2,1,38.0,38.0,22,11,10.326076090444698,47.25541211832217,9.05738765009228,217.2882727643032,0,0,0,3,2,19,0.00840618695359785,0.004203093476798925,2.0,125.0
F2_16.1,N15,N22,800.0,-1,2400.0,807.2393765752352,17,12,17,6,7.21767775553235,2407.239376575235,39.8938938177582,38.649248049034064,-2,-1,0.0,0.0,31,16,10.184130705100136,29.63850424681732,9.568351242630705,229.50453652691218,0,0,0,3,1,35,0.014710827168796235,0.011558507061197043,1.0,178.0
F2_10.1,N15,N22,800.0,1,2400.0,2195.711384545016,8,5,8,0,204.28861545498432,3795.711384545016,40.898173034395946,0.0,-1,-1,36.0,36.0,19,7,0.0,576.8081445154476,0.0,211.94456627694913,0,1,0,1,1,13,0.012609280430396773,0.004203093476798925,124.99999999999994,187.0
F1_12.1,N15,N22,800.0,1,2400.0,1899.558231290358,12,10,12,0,500.4417687096421,3499.558231290358,41.08365864051991,35.86494953010791,1,1,19.0,19.0,22,15,14.461968151671886,45.07663050315659,14.461968151671886,190.19468630762339,0,0,0,1,1,22,0.0168123739071957,0.00945696032279758,88.0,182.0
F2_19.0,N15,N22,800.0,-1,2400.0,849.4754952672965,19,11,19,6,49.453162248363014,2449.4754952672965,40.749016709799676,38.649248049034064,-2,-1,8.0,8.0,32,15,10.818291024845522,773.9124836564039,9.367355784853137,232.97480547585937,0,0,0,2,1,36,0.018913920645595158,0.011558507061197041,6.0,201.0
F2_10.0,N15,N22,800.0,1,2400.0,2388.394433713763,5,6,5,0,11.605566286236694,3988.394433713763,45.714285714285715,0.0,-1,-1,2.0,2.0,14,6,9.076498049496223,211.20661837559965,10.679112667658037,216.3614101997597,0,2,0,8,1,11,0.04203093476798924,0.0021015467383994624,180.0,208.0
F0_12.0,N15,N22,800.0,1,2400.0,2307.519046098517,11,8,11,0,92.48095390148319,3907.519046098517,42.193124678025455,35.86494953010791,-1,-1,0.0,0.0,22,10,9.055761364768083,26.057755671510904,14.139735762497134,224.27073342016826,0,4,0,6,5,19,0.02101546738399462,0.004203093476798925,164.0,150.0
F2_15.0,N15,N22,800.0,-1,2400.0,1530.048079101598,12,10,12,0,729.8786554485974,3130.048079101598,41.2347164971294,35.86494953010791,-2,1,25.0,25.0,23,13,9.789715145140791,57.007503522354284,10.399271530550866,241.74891311413458,0,0,0,4,3,22,0.01050773369199731,0.00945696032279758,100.0,234.0
F1_12.2,N15,N22,800.0,1,2400.0,2399.902689109571,10,9,10,0,0.09731089042884378,3999.902689109571,41.2347164971294,35.86494953010791,1,1,32.0,32.0,21,11,14.16083705509078,272.080013479929,14.641490516046932,189.0689103678493,0,0,0,4,4,19,0.014710827168796235,0.00840618695359785,158.99999999999994,220.0
F2_17.1,N15,N22,800.0,-1,2400.0,1588.8669915078904,14,14,14,6,787.8718807551792,3188.8669915078904,38.810922475077604,39.112635441501276,-2,1,4.0,4.0,25,15,10.00420335910127,101.78594966130706,9.781917813052534,226.23723564761914,0,0,0,13,12,34,0.02763022480949972,0.018018205881548784,73.0,189.0
F2_19.1,N15,N22,800.0,1,2400.0,2190.769292591519,12,10,12,1,209.23070740848095,3790.769292591519,41.08365864051991,37.00615897558027,1,1,4.0,4.0,24,14,11.781885248621204,69.99435702314668,10.259636524644083,191.0386137268093,0,0,0,5,2,23,0.037827841291190316,0.010507733691997312,161.0,198.0
F2_19.2,N15,N22,800.0,1,2400.0,1939.2284777686427,14,18,14,10,460.7715222313572,3539.2284777686427,38.785182754258614,39.04526152717838,1,1,41.0,41.0,29,34,11.776054997883506,200.0,11.776054997883506,209.40757540229768,0,1,0,0,0,42,0.014460392854114313,0.01981539697008494,107.0,192.0
F7_8.0,N15,N16,800.0,1,2400.0,2393.402914448311,5,5,33,19,6.597085551688679,3993.402914448311,38.810922475077604,40.15536074669107,-1,-1,1.0,1.0,27,40,8.026976411976598,200.0,8.026976411976598,266.2349718864628,0,0,0,0,0,57,0.014710827168796235,0.0,184.0,188.0000000000001
