scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CHR,CDSR,AoI_violation_rate,PCO,RLBI
D,Youn2026,10,20,2.0,4,48,0.223343,1.0,0.776657,1.083341,0.290211
D,Youn2026,10,20,2.0,4,49,0.256714,1.0,0.743286,0.799907,0.275465
D,Youn2026,10,20,2.0,4,50,0.223634,1.0,0.776366,1.054575,0.285313
D,Youn2026,10,20,2.0,4,51,0.260553,1.0,0.739447,0.94827,0.329496
D,Random-K,10,20,2.0,4,42,0.189716,1.0,0.810284,1.050203,0.858475
D,Random-K,10,20,2.0,4,43,0.187561,1.0,0.812439,0.974413,0.883833
D,Random-K,10,20,2.0,4,44,0.832606,1.0,0.167394,1.02563,0.712202
D,Random-K,10,20,2.0,4,45,0.83918,1.0,0.16082,0.999892,0.715136
D,Random-K,10,20,2.0,4,46,0.822813,1.0,0.177187,1.036143,0.700981
D,Random-K,10,20,2.0,4,47,0.82776,1.0,0.17224,0.977649,0.716823
D,Random-K,10,20,2.0,4,48,0.831236,1.0,0.168764,1.018438,0.713579
D,Random-K,10,20,2.0,4,49,0.833708,1.0,0.166292,0.998403,0.716193
D,Random-K,10,20,2.0,4,50,0.825975,1.0,0.174025,0.997091,0.715316
D,Random-K,10,20,2.0,4,51,0.819152,1.0,0.180848,0.919979,0.714294
D,RILP,10,20,2.0,5,42,0.218619,1.0,0.781381,0.878129,0.819204
D,RILP,10,20,2.0,5,43,0.235974,1.0,0.764026,0.900329,0.805301
D,RILP,10,20,2.0,5,44,0.213504,1.0,0.786496,0.970541,0.256731
D,RILP,10,20,2.0,5,45,0.261248,1.0,0.738752,0.958403,0.266623
D,RILP,10,20,2.0,5,46,0.207301,1.0,0.792699,1.183416,0.264024
D,RILP,10,20,2.0,5,47,0.227367,1.0,0.772633,0.960623,0.303889
D,RILP,10,20,2.0,5,48,0.224073,1.0,0.775927,1.082481,0.282251
D,RILP,10,20,2.0,5,49,0.25732,1.0,0.74268,0.800225,0.271396
