model_name,category,best_value,best_trial_number,hidden_dim,lr_actor,lr_critic,gamma,clip_ratio,entropy_coef,value_coef,w1,w2,w3,w4,reward_weights_json,hparams_json,best_trial_diverged,n_diverged_trials,learning_rate,tau,target_update_interval
I-HAMAPPO,Category 2 (Latest),8.9292,1,256,0.0016967533607196547,0.00020589728197687926,0.9589094233931479,0.13668090197068677,0.0006624310605949989,0.5148538589793428,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 256, ""lr_actor"": 0.0016967533607196547, ""lr_critic"": 0.00020589728197687926, ""gamma"": 0.9589094233931479, ""clip_ratio"": 0.13668090197068677, ""entropy_coef"": 0.0006624310605949989, ""value_coef"": 0.5148538589793428}",False,0,,,
SAC,Category 1 (Basic),100.0,0,128,,,0.9576449133816793,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 128, ""learning_rate"": 0.0007661100707771367, ""gamma"": 0.9576449133816793, ""tau"": 0.001595708469414836, ""target_update_interval"": 2}",False,0,0.0007661100707771367,0.001595708469414836,2.0
