episode,global_step,mean_reward,mean_loss,swap_count,mean_aoi,peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails
1,300,-0.3766,0.0007,11,1.3948,1.3948,0.8851,4.2993,12.2674,4.2993,4.2993,18.2002,0.243414,0.9192,0.8308,2220,1965
2,600,-0.3776,0.0001,22,1.3467,1.3467,0.8735,4.8706,12.1214,4.8706,4.8706,16.9781,0.16566,0.9522,0.9032,2071,1809
