episode,global_step,mean_reward,mean_loss,swap_count,mean_aoi,peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails
1,300,-0.4064,0.0455,18,1.2095,1.2095,0.7991,5.4661,12.2788,5.4661,5.4661,16.5417,0.143523,0.8606,0.8511,2220,1774
2,600,-0.3997,0.034,34,1.2121,1.2121,0.7919,5.519,12.1138,5.519,5.519,16.618,0.136439,0.9266,0.8677,2071,1640
