episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates
12,24000,25.0,-0.158443,-0.985123,-0.158443,,,,0,False,-0.053763,1.0899,0.017652880400419235,671,13587,671,679,7.217,6.2175,4414,4409,ok,,11.4536,45.3,5.4715,0.1957,23.894,443.0616,27.0869,20.8975,10.6042,0.027549,0.7132,0.407,5044,987,12,0.255483,1353951,5299567,9.2262,4057,0,278019,345,0.002826,0.02352,671
13,26000,30.0,-0.091674,-0.312057,-0.091674,,,,0,False,-0.053763,0.7669,0.3903612494468689,1069,14656,1069,732,3.8389,3.404,7577,7565,ok,,3.6684,31.2,3.2676,0.2166,2.4237,140.7278,0.8628,3.6117,10.7454,0.051862,0.7848,0.3951,9192,1991,20,0.272626,1621556,5947921,2.2798,7201,0,264531,355,0.005148,0.02464,1069
14,28000,35.0,-0.074895,-0.235412,-0.074895,,,,0,False,-0.053763,0.0225,0.027660666964948177,1370,16026,1370,801,3.3851,3.1432,9831,9825,ok,,2.6495,45.7,3.1063,0.2387,0.8124,146.0558,0.588,1.0051,10.7305,0.072779,0.7631,0.1542,12321,2941,52,0.294441,1849592,6281708,1.3797,9380,0,318028,399,0.0069,0.02016,1370
15,30000,5.0,-0.056641,-0.175561,-0.056641,,,,0,False,-0.053763,0.0299,0.012349225580692291,250,16276,250,813,3.5829,3.0995,1487,1485,ok,,3.17,23.4,3.0168,0.1436,0.8716,44.5922,0.3636,1.0224,10.8764,0.010524,0.8105,0.4226,1630,234,1,0.284242,302380,1063813,1.5196,1396,0,47357,90,0.000913,0.00672,250
16,32000,10.0,-0.057298,-0.189871,-0.057298,,,,0,False,-0.053763,0.0219,0.012499270029366016,353,16629,353,831,3.7498,3.3137,2207,2204,ok,,3.2891,28.4,3.138,0.126,1.1263,66.9165,0.5761,1.2788,10.9771,0.015521,0.7821,0.3632,2342,295,1,0.278305,582507,2093055,1.9237,2047,0,74978,159,0.001313,0.00672,353
17,34000,15.0,-0.057616,-0.205807,-0.057616,,,,0,False,-0.053763,0.0201,0.015890643000602722,705,17334,705,866,3.9282,3.5721,4911,4909,ok,,3.0685,26.2,3.4641,0.156,1.0423,69.4868,0.6192,1.2562,10.7443,0.032065,0.8597,0.509,5482,855,9,0.263022,900522,3423755,1.9355,4627,0,179804,275,0.00307,0.01344,705
18,36000,20.0,-0.06121,-0.21805,-0.06121,,,,0,False,-0.053763,0.0428,0.01945604756474495,835,18169,835,908,4.0191,3.5623,5791,5790,ok,,3.2579,28.0,3.4711,0.1822,1.0615,76.0686,0.3215,1.5087,10.7337,0.038954,0.8071,0.3555,6670,1215,15,0.255008,1136791,4457857,1.7305,5455,0,211534,321,0.003735,0.01344,835
19,38000,25.0,-0.059726,-0.242156,-0.059726,,,,0,False,-0.053763,0.081,0.02624175325036049,981,19150,981,957,4.6211,4.0545,6816,6812,ok,,3.6186,33.6,3.9244,0.2182,1.4346,101.0438,0.6094,2.011,10.6185,0.047309,0.8122,0.3687,8190,1787,27,0.252069,1334221,5293087,2.4212,6403,0,282407,385,0.004589,0.0168,981
20,40000,30.0,-0.054339,-0.228501,-0.054339,-0.054297,-0.225877,20.0,4946,False,-0.053763,0.0309,0.02265007421374321,1013,20163,1013,1008,4.6913,4.2051,7106,7105,ok,,3.2926,37.7,4.1388,0.2616,1.1333,81.3975,0.5146,1.7323,10.5655,0.05157,0.8746,0.4026,9058,2370,60,0.280936,1703855,6064931,2.1486,6688,0,305317,358,0.005073,0.01568,1013
21,42000,35.0,-0.047226,-0.229108,-0.047226,,,,0,False,-0.053763,0.066,0.020917512476444244,890,21053,890,1052,5.3653,4.8513,6034,6028,ok,,3.5018,26.5,4.7978,0.2171,1.3195,81.1384,0.6448,1.8841,10.7171,0.043426,0.852,0.5404,7205,1564,20,0.301188,1910342,6342681,3.0307,5641,0,297898,373,0.004036,0.01456,890
22,44000,5.0,-0.045009,-0.164206,-0.045009,,,,0,False,-0.053763,0.0309,0.021267414093017578,233,21286,233,1064,4.3234,3.6483,1358,1357,ok,,3.6358,25.5,3.3168,0.112,0.7094,51.9958,0.2461,0.8375,10.6062,0.008275,0.8241,0.4818,1429,160,0,0.285561,293064,1026275,1.5062,1269,0,50711,89,0.000801,0.0056,233
23,46000,10.0,-0.051971,-0.185524,-0.051971,,,,0,False,-0.053763,0.0515,0.023223163560032845,395,21681,395,1084,4.3809,3.5697,2432,2431,ok,,3.5394,23.5,3.2486,0.1295,1.0337,82.3854,0.2532,1.2178,10.8258,0.01578,0.8493,0.3455,2595,336,0,0.271453,602269,2218687,1.6768,2259,0,88905,173,0.001453,0.00784,395
24,48000,15.0,-0.046282,-0.215569,-0.046282,,,,0,False,-0.053763,0.0325,0.02356930635869503,463,22144,463,1107,5.6764,4.6577,3021,3020,ok,,3.7995,26.9,4.4096,0.1636,1.4328,94.9425,0.538,1.8079,10.7226,0.019759,0.8589,0.3872,3325,544,4,0.264889,825893,3117880,2.8101,2781,0,143284,236,0.001862,0.00784,463
25,50000,20.0,-0.047788,-0.206935,-0.047788,,,,0,False,-0.053763,0.0957,0.021454917266964912,716,22860,716,1143,5.0141,4.3302,4945,4944,ok,,3.3801,40.3,4.205,0.1826,1.0301,48.5479,0.5039,1.345,10.6853,0.031376,0.8116,0.4004,5640,1030,20,0.251372,1072998,4268574,2.2558,4610,0,218517,315,0.003159,0.01344,716
26,52000,25.0,-0.047355,-0.250286,-0.047355,,,,0,False,-0.053763,0.0711,0.023875854909420013,797,23657,797,1182,6.0011,5.2854,5343,5341,ok,,3.5887,40.8,5.2745,0.1925,1.599,84.529,0.6663,2.4067,10.758,0.037533,0.9065,0.5819,6109,1176,18,0.252875,1376370,5442882,3.7732,4933,0,287026,392,0.003421,0.01344,797
27,54000,30.0,-0.0496,-0.213919,-0.0496,,,,0,False,-0.053763,0.0637,0.030813166871666908,834,24491,834,1224,4.7625,4.3129,5804,5799,ok,,3.1734,35.7,4.2879,0.2369,1.1378,96.324,0.4969,1.662,10.4508,0.035842,0.8386,0.2958,7134,1690,25,0.285548,1748377,6122888,2.4701,5444,0,255376,335,0.003996,0.01456,834
28,56000,35.0,-0.048345,-0.228881,-0.048345,,,,0,False,-0.053763,0.0452,0.02147005870938301,915,25406,915,1270,5.2131,4.7343,6222,6220,ok,,3.342,29.7,4.7564,0.2518,1.3056,89.1665,0.6656,1.8152,10.5647,0.04054,0.8898,0.4942,7719,1944,39,0.302772,1907024,6298544,2.9614,5775,0,300071,408,0.004324,0.01344,915
29,58000,5.0,-0.033034,-0.176338,-0.033034,,,,0,False,-0.053763,0.0332,0.01685912162065506,129,25535,129,1276,6.6433,5.3381,670,670,ok,,3.8774,20.3,5.2828,0.1096,0.9014,70.9702,0.4619,0.9775,10.9024,0.004034,0.8658,0.462,666,73,1,0.287625,283568,985895,2.5857,593,0,36302,76,0.000374,0.00448,129
30,60000,10.0,-0.039241,-0.207579,-0.039241,-0.040032,-0.245476,20.0,3381,True,-0.040032,0.0492,0.017931092530488968,343,25878,343,1293,6.2934,5.2898,2064,2064,ok,,4.1693,29.8,5.0787,0.1303,1.2988,68.5469,0.8026,1.4404,10.5902,0.0114,0.8835,0.4894,2157,281,1,0.276162,624942,2262953,3.0589,1876,0,110932,187,0.001208,0.00672,343
31,62000,15.0,-0.042775,-0.217029,-0.042775,,,,0,False,-0.040032,0.0305,0.02014713641256094,436,26314,436,1315,6.2914,5.0738,2752,2751,ok,,3.8917,24.6,4.9054,0.1409,1.4259,114.8955,1.1794,1.5164,10.7543,0.016347,0.8423,0.3314,2888,407,4,0.263689,876826,3325229,3.327,2481,0,141891,267,0.001617,0.00896,436
32,64000,20.0,-0.043097,-0.21208,-0.043097,,,,0,False,-0.040032,0.0368,0.024104468524456024,673,26987,673,1349,5.6182,4.9209,4540,4535,ok,,3.6053,25.1,4.8086,0.1703,1.2541,49.0467,0.6502,1.5835,10.7844,0.029679,0.9297,0.6449,5068,863,4,0.251138,1051537,4187083,3.1941,4205,0,227169,331,0.002839,0.01008,673
33,66000,25.0,-0.046277,-0.228432,-0.046277,,,,0,False,-0.040032,0.0466,0.028536252677440643,785,27772,785,1388,5.5872,4.9362,5238,5238,ok,,3.7874,29.5,4.7753,0.2088,1.4179,183.0394,0.6668,1.9824,10.6852,0.035341,0.8786,0.2915,6196,1294,14,0.257406,1364732,5301859,2.8739,4902,0,263285,322,0.00347,0.01344,785
34,68000,30.0,-0.045297,-0.238446,-0.045297,,,,0,False,-0.040032,0.1013,0.025879889726638794,869,28641,869,1432,6.0023,5.2641,5777,5776,ok,,3.6355,41.2,5.1451,0.2426,1.4557,89.8178,0.8376,2.026,10.5291,0.036191,0.8519,0.524,7061,1713,37,0.271168,1622825,5984579,3.3938,5348,0,309229,392,0.003954,0.01344,869
35,70000,35.0,-0.043266,-0.210935,-0.043266,,,,0,False,-0.040032,0.0625,0.026276140473783016,848,29489,848,1474,5.574,4.8753,5815,5811,ok,,3.4097,26.0,4.7455,0.2321,1.122,47.873,0.578,1.5958,10.4935,0.035898,0.871,0.6021,7071,1641,20,0.299458,1904299,6359143,2.8004,5430,0,288545,365,0.00396,0.01232,848
36,72000,5.0,-0.041241,-0.170274,-0.041241,,,,0,False,-0.040032,0.0264,0.0192131195217371,239,29728,239,1486,5.4596,4.1288,1479,1478,ok,,3.4911,25.0,3.8084,0.1291,0.9151,76.4221,0.3126,1.0583,10.4745,0.007878,0.8715,0.5484,1557,201,1,0.280066,325462,1162090,2.4258,1356,0,62295,122,0.000872,0.00672,239
37,74000,10.0,-0.039144,-0.181652,-0.039144,,,,0,False,-0.040032,0.0264,0.015277875121682882,326,30054,326,1502,5.5803,4.6407,2032,2031,ok,,3.3871,22.1,4.4062,0.1321,1.0948,54.7834,0.6024,1.2591,10.4723,0.01077,0.8779,0.6343,2135,282,2,0.275735,593604,2152807,3.049,1853,0,95975,177,0.001196,0.00672,326
38,76000,15.0,-0.041119,-0.204126,-0.041119,,,,0,False,-0.040032,0.0278,0.01658809930086136,436,30490,436,1524,6.1539,4.9643,2906,2904,ok,,3.6744,27.0,4.6694,0.1576,1.3673,74.8737,0.646,1.6929,10.5346,0.016195,0.8781,0.5727,3153,497,2,0.262457,848208,3231799,3.4837,2656,0,146656,247,0.001766,0.00784,436
