model_name,category,best_value,best_trial_number,hidden_dim,lr_actor,lr_critic,gamma,clip_ratio,entropy_coef,value_coef,w1,w2,w3,w4,reward_weights_json,hparams_json,best_trial_diverged,n_diverged_trials,n_trials,n_usable_trials,n_penalised_trials,failed_fraction,learning_rate,tau,target_update_interval
I-HAMAPPO,Category 2 (Latest),8.7026,14,128,0.0014211388994153887,0.0006817779343845319,0.9500960934261761,0.21437835161486604,0.0038383003785303535,0.4305569181442844,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 128, ""lr_actor"": 0.0014211388994153887, ""lr_critic"": 0.0006817779343845319, ""gamma"": 0.9500960934261761, ""clip_ratio"": 0.21437835161486604, ""entropy_coef"": 0.0038383003785303535, ""value_coef"": 0.4305569181442844}",False,0,15,15,0,0.0,,,
SAC,Category 1 (Basic),3.5946,8,128,,,0.9808508138674378,,,,0.5,0.2,0.2,0.1,"{""w1"": 0.5, ""w2"": 0.2, ""w3"": 0.2, ""w4"": 0.1}","{""hidden_dim"": 128, ""learning_rate"": 0.001193526270851053, ""gamma"": 0.9808508138674378, ""tau"": 0.0012483440997339652, ""target_update_interval"": 4}",False,0,15,15,0,0.0,0.001193526270851053,0.0012483440997339652,4.0
