[run_scenario] Resume: 4331 runs already in /home/imnyj/papers/paper3/paper/experiment/data/A_full.csv; will skip those.
  [4363/6400] d=4 eps=10 g=2.0 tau=5 algo=Youn2026    seed=44 | CHR=0.438 AoI=0.034 | run=140.2s tot=4336s eta=4601m
  [4364/6400] d=4 eps=10 g=2.0 tau=5 algo=Youn2026    seed=45 | CHR=0.438 AoI=0.034 | run=140.0s tot=4476s eta=4603m
  [4365/6400] d=4 eps=10 g=2.0 tau=5 algo=Youn2026    seed=46 | CHR=0.438 AoI=0.034 | run=137.3s tot=4614s eta=4602m
  [4366/6400] d=4 eps=10 g=2.0 tau=5 algo=Youn2026    seed=47 | CHR=0.438 AoI=0.034 | run=137.2s tot=4751s eta=4601m
  [4367/6400] d=4 eps=10 g=2.0 tau=5 algo=Youn2026    seed=48 | CHR=0.438 AoI=0.034 | run=139.0s tot=4890s eta=4602m
  [4368/6400] d=4 eps=10 g=2.0 tau=5 algo=Youn2026    seed=49 | CHR=0.439 AoI=0.034 | run=133.0s tot=5023s eta=4597m
  [4369/6400] d=4 eps=10 g=2.0 tau=5 algo=Youn2026    seed=50 | CHR=0.438 AoI=0.034 | run=135.1s tot=5158s eta=4595m
  [4370/6400] d=4 eps=10 g=2.0 tau=5 algo=Youn2026    seed=51 | CHR=0.438 AoI=0.034 | run=132.1s tot=5290s eta=4589m
  [4371/6400] d=4 eps=10 g=2.0 tau=5 algo=V2I-Base    seed=42 | CHR=0.438 AoI=0.034 | run=125.0s tot=5415s eta=4578m
  [4372/6400] d=4 eps=10 g=2.0 tau=5 algo=V2I-Base    seed=43 | CHR=0.438 AoI=0.034 | run=125.0s tot=5540s eta=4567m
  [4373/6400] d=4 eps=10 g=2.0 tau=5 algo=V2I-Base    seed=44 | CHR=0.438 AoI=0.034 | run=128.3s tot=5668s eta=4559m
  [4374/6400] d=4 eps=10 g=2.0 tau=5 algo=V2I-Base    seed=45 | CHR=0.438 AoI=0.034 | run=127.1s tot=5795s eta=4551m
  [4375/6400] d=4 eps=10 g=2.0 tau=5 algo=V2I-Base    seed=46 | CHR=0.438 AoI=0.034 | run=124.5s tot=5920s eta=4541m
  [4376/6400] d=4 eps=10 g=2.0 tau=5 algo=V2I-Base    seed=47 | CHR=0.438 AoI=0.034 | run=124.2s tot=6044s eta=4531m
  [4377/6400] d=4 eps=10 g=2.0 tau=5 algo=V2I-Base    seed=48 | CHR=0.438 AoI=0.034 | run=127.8s tot=6172s eta=4524m
  [4378/6400] d=4 eps=10 g=2.0 tau=5 algo=V2I-Base    seed=49 | CHR=0.439 AoI=0.034 | run=122.7s tot=6294s eta=4513m
  [4379/6400] d=4 eps=10 g=2.0 tau=5 algo=V2I-Base    seed=50 | CHR=0.438 AoI=0.034 | run=125.7s tot=6420s eta=4505m
  [4380/6400] d=4 eps=10 g=2.0 tau=5 algo=V2I-Base    seed=51 | CHR=0.438 AoI=0.034 | run=122.6s tot=6543s eta=4495m
  [4381/6400] d=4 eps=10 g=2.0 tau=5 algo=V2V-Base    seed=42 | CHR=0.998 AoI=0.000 | run=101.8s tot=6645s eta=4472m
  [4382/6400] d=4 eps=10 g=2.0 tau=5 algo=V2V-Base    seed=43 | CHR=0.998 AoI=0.000 | run=101.0s tot=6746s eta=4449m
  [4383/6400] d=4 eps=10 g=2.0 tau=5 algo=V2V-Base    seed=44 | CHR=0.998 AoI=0.000 | run=103.2s tot=6849s eta=4428m
