scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,PCO
A,Nam2025,1,0,2.0,5,46,0.168527
A,Nam2025,1,0,2.0,5,47,0.16694
A,Nam2025,1,0,2.0,5,48,0.166112
A,Nam2025,1,0,2.0,5,49,0.169367
A,Nam2025,1,0,2.0,5,50,0.167576
A,Nam2025,1,0,2.0,5,51,0.169271
A,Youn2026,1,0,2.0,5,42,0.167894
A,Youn2026,1,0,2.0,5,43,0.168553
A,Youn2026,1,0,2.0,5,44,0.168518
A,Youn2026,1,0,2.0,5,45,0.167954
A,Youn2026,1,0,2.0,5,46,0.168527
A,Youn2026,1,0,2.0,5,47,0.16694
A,Youn2026,1,0,2.0,5,48,0.166112
A,Youn2026,1,0,2.0,5,49,0.169367
A,Youn2026,1,0,2.0,5,50,0.167576
A,Youn2026,1,0,2.0,5,51,0.169271
A,V2I-Base,1,0,2.0,5,42,0.167894
A,V2I-Base,1,0,2.0,5,43,0.168553
A,V2I-Base,1,0,2.0,5,44,0.168518
A,V2I-Base,1,0,2.0,5,45,0.167954
A,V2I-Base,1,0,2.0,5,46,0.168527
A,V2I-Base,1,0,2.0,5,47,0.16694
A,V2I-Base,1,0,2.0,5,48,0.166112
A,V2I-Base,1,0,2.0,5,49,0.169367
A,V2I-Base,1,0,2.0,5,50,0.167576
A,V2I-Base,1,0,2.0,5,51,0.169271
A,V2V-Base,1,0,2.0,5,42,4.521877
A,V2V-Base,1,0,2.0,5,43,4.55856
A,V2V-Base,1,0,2.0,5,44,4.578225
A,V2V-Base,1,0,2.0,5,45,4.590649
A,V2V-Base,1,0,2.0,5,46,4.559189
A,V2V-Base,1,0,2.0,5,47,4.538042
A,V2V-Base,1,0,2.0,5,48,4.46435
A,V2V-Base,1,0,2.0,5,49,4.553212
A,V2V-Base,1,0,2.0,5,50,4.54534
A,V2V-Base,1,0,2.0,5,51,4.554321
A,Random-K,1,0,2.0,5,42,5.837957
A,Random-K,1,0,2.0,5,43,5.785862
A,Random-K,1,0,2.0,5,44,5.845845
A,Random-K,1,0,2.0,5,45,5.833465
A,Random-K,1,0,2.0,5,46,5.776723
A,Random-K,1,0,2.0,5,47,5.800686
A,Random-K,1,0,2.0,5,48,5.769121
A,Random-K,1,0,2.0,5,49,5.858712
A,Random-K,1,0,2.0,5,50,5.804284
A,Random-K,1,0,2.0,5,51,5.811778
A,RILP,1,0,3.0,5,42,0.165353
A,RILP,1,0,3.0,5,43,0.164757
A,RILP,1,0,3.0,5,44,0.165843
A,RILP,1,0,3.0,5,45,0.164977
A,RILP,1,0,3.0,5,46,0.165039
A,RILP,1,0,3.0,5,47,0.165095
A,RILP,1,0,3.0,5,48,0.165056
A,RILP,1,0,3.0,5,49,0.166423
A,RILP,1,0,3.0,5,50,0.16428
A,RILP,1,0,3.0,5,51,0.16625
A,RILP-Greedy,1,0,3.0,5,42,0.165353
A,RILP-Greedy,1,0,3.0,5,43,0.164757
A,RILP-Greedy,1,0,3.0,5,44,0.165843
