scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,AoI_violation_rate
A,V2V-Base,1,10,0.0,5,42,4e-06
A,V2V-Base,1,10,0.0,5,43,5e-06
A,V2V-Base,1,10,0.0,5,44,4e-06
A,V2V-Base,1,10,0.0,5,45,5e-06
A,V2V-Base,1,10,0.0,5,46,5e-06
A,V2V-Base,1,10,0.0,5,47,4e-06
A,V2V-Base,1,10,0.0,5,48,6e-06
A,V2V-Base,1,10,0.0,5,49,7e-06
A,V2V-Base,1,10,0.0,5,50,5e-06
A,V2V-Base,1,10,0.0,5,51,4e-06
A,Random-K,1,10,0.0,5,42,0.00011
A,Random-K,1,10,0.0,5,43,0.000136
A,Random-K,1,10,0.0,5,44,7.2e-05
A,Random-K,1,10,0.0,5,45,9.9e-05
A,Random-K,1,10,0.0,5,46,0.000103
A,Random-K,1,10,0.0,5,47,9.8e-05
A,Random-K,1,10,0.0,5,48,0.00011
A,Random-K,1,10,0.0,5,49,9.9e-05
A,Random-K,1,10,0.0,5,50,9.7e-05
A,Random-K,1,10,0.0,5,51,0.000104
A,RILP,1,10,1.0,5,42,0.034206
A,RILP,1,10,1.0,5,43,0.034234
A,RILP,1,10,1.0,5,44,0.034102
A,RILP,1,10,1.0,5,45,0.03425
A,RILP,1,10,1.0,5,46,0.034141
A,RILP,1,10,1.0,5,47,0.034129
A,RILP,1,10,1.0,5,48,0.03415
A,RILP,1,10,1.0,5,49,0.034107
A,RILP,1,10,1.0,5,50,0.034091
A,RILP,1,10,1.0,5,51,0.034248
A,RILP-Greedy,1,10,1.0,5,42,0.034206
A,RILP-Greedy,1,10,1.0,5,43,0.034234
A,RILP-Greedy,1,10,1.0,5,44,0.034102
A,RILP-Greedy,1,10,1.0,5,45,0.03425
A,RILP-Greedy,1,10,1.0,5,46,0.034141
A,RILP-Greedy,1,10,1.0,5,47,0.034129
A,RILP-Greedy,1,10,1.0,5,48,0.03415
A,RILP-Greedy,1,10,1.0,5,49,0.034107
A,RILP-Greedy,1,10,1.0,5,50,0.034091
A,RILP-Greedy,1,10,1.0,5,51,0.034248
A,Nam2023b,1,10,1.0,5,42,0.197482
A,Nam2023b,1,10,1.0,5,43,0.19731
A,Nam2023b,1,10,1.0,5,44,0.197643
A,Nam2023b,1,10,1.0,5,45,0.197562
A,Nam2023b,1,10,1.0,5,46,0.197967
A,Nam2023b,1,10,1.0,5,47,0.197733
A,Nam2023b,1,10,1.0,5,48,0.198092
A,Nam2023b,1,10,1.0,5,49,0.197591
A,Nam2023b,1,10,1.0,5,50,0.1977
A,Nam2023b,1,10,1.0,5,51,0.198068
A,Nam2025,1,10,1.0,5,42,0.034206
A,Nam2025,1,10,1.0,5,43,0.034234
A,Nam2025,1,10,1.0,5,44,0.034102
A,Nam2025,1,10,1.0,5,45,0.03425
A,Nam2025,1,10,1.0,5,46,0.034141
A,Nam2025,1,10,1.0,5,47,0.034129
A,Nam2025,1,10,1.0,5,48,0.03415
A,Nam2025,1,10,1.0,5,49,0.034107
A,Nam2025,1,10,1.0,5,50,0.034091
A,Nam2025,1,10,1.0,5,51,0.034248
A,Youn2026,1,10,1.0,5,42,0.034206
A,Youn2026,1,10,1.0,5,43,0.034234
A,Youn2026,1,10,1.0,5,44,0.034102
A,Youn2026,1,10,1.0,5,45,0.03425
A,Youn2026,1,10,1.0,5,46,0.034141
A,Youn2026,1,10,1.0,5,47,0.034129
A,Youn2026,1,10,1.0,5,48,0.03415
A,Youn2026,1,10,1.0,5,49,0.034107
A,Youn2026,1,10,1.0,5,50,0.034091
A,Youn2026,1,10,1.0,5,51,0.034248
A,V2I-Base,1,10,1.0,5,42,0.034206
A,V2I-Base,1,10,1.0,5,43,0.034234
A,V2I-Base,1,10,1.0,5,44,0.034102
A,V2I-Base,1,10,1.0,5,45,0.03425
A,V2I-Base,1,10,1.0,5,46,0.034141
A,V2I-Base,1,10,1.0,5,47,0.034129
A,V2I-Base,1,10,1.0,5,48,0.03415
A,V2I-Base,1,10,1.0,5,49,0.034107
A,V2I-Base,1,10,1.0,5,50,0.034091
A,V2I-Base,1,10,1.0,5,51,0.034248
A,V2V-Base,1,10,1.0,5,42,4e-06
A,V2V-Base,1,10,1.0,5,43,5e-06
A,V2V-Base,1,10,1.0,5,44,4e-06
A,V2V-Base,1,10,1.0,5,45,5e-06
A,V2V-Base,1,10,1.0,5,46,5e-06
