scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CDSR
A,Youn2026,1,0,2.0,5,46,0.004486
A,Youn2026,1,0,2.0,5,47,0.004464
A,Youn2026,1,0,2.0,5,48,0.00456
A,Youn2026,1,0,2.0,5,49,0.004437
A,Youn2026,1,0,2.0,5,50,0.004498
A,Youn2026,1,0,2.0,5,51,0.004469
A,V2I-Base,1,0,2.0,5,42,0.004555
A,V2I-Base,1,0,2.0,5,43,0.004518
A,V2I-Base,1,0,2.0,5,44,0.004446
A,V2I-Base,1,0,2.0,5,45,0.004514
A,V2I-Base,1,0,2.0,5,46,0.004486
A,V2I-Base,1,0,2.0,5,47,0.004464
A,V2I-Base,1,0,2.0,5,48,0.00456
A,V2I-Base,1,0,2.0,5,49,0.004437
A,V2I-Base,1,0,2.0,5,50,0.004498
A,V2I-Base,1,0,2.0,5,51,0.004469
A,V2V-Base,1,0,2.0,5,42,0.69474
A,V2V-Base,1,0,2.0,5,43,0.694713
A,V2V-Base,1,0,2.0,5,44,0.694572
A,V2V-Base,1,0,2.0,5,45,0.694663
A,V2V-Base,1,0,2.0,5,46,0.694362
A,V2V-Base,1,0,2.0,5,47,0.694848
A,V2V-Base,1,0,2.0,5,48,0.694623
A,V2V-Base,1,0,2.0,5,49,0.694592
A,V2V-Base,1,0,2.0,5,50,0.694809
A,V2V-Base,1,0,2.0,5,51,0.694764
A,Random-K,1,0,2.0,5,42,0.900443
A,Random-K,1,0,2.0,5,43,0.900373
A,Random-K,1,0,2.0,5,44,0.900255
A,Random-K,1,0,2.0,5,45,0.900265
A,Random-K,1,0,2.0,5,46,0.900217
A,Random-K,1,0,2.0,5,47,0.900244
A,Random-K,1,0,2.0,5,48,0.900209
A,Random-K,1,0,2.0,5,49,0.900366
A,Random-K,1,0,2.0,5,50,0.900219
A,Random-K,1,0,2.0,5,51,0.900294
A,RILP,1,0,3.0,5,42,0.004478
A,RILP,1,0,3.0,5,43,0.004466
A,RILP,1,0,3.0,5,44,0.004465
A,RILP,1,0,3.0,5,45,0.004431
A,RILP,1,0,3.0,5,46,0.004476
A,RILP,1,0,3.0,5,47,0.004496
A,RILP,1,0,3.0,5,48,0.004518
A,RILP,1,0,3.0,5,49,0.004418
A,RILP,1,0,3.0,5,50,0.00442
A,RILP,1,0,3.0,5,51,0.004438
A,RILP-Greedy,1,0,3.0,5,42,0.004478
A,RILP-Greedy,1,0,3.0,5,43,0.004466
A,RILP-Greedy,1,0,3.0,5,44,0.004465
A,RILP-Greedy,1,0,3.0,5,45,0.004431
A,RILP-Greedy,1,0,3.0,5,46,0.004476
A,RILP-Greedy,1,0,3.0,5,47,0.004496
A,RILP-Greedy,1,0,3.0,5,48,0.004518
A,RILP-Greedy,1,0,3.0,5,49,0.004418
A,RILP-Greedy,1,0,3.0,5,50,0.00442
A,RILP-Greedy,1,0,3.0,5,51,0.004438
A,Nam2023b,1,0,3.0,5,42,0.002964
A,Nam2023b,1,0,3.0,5,43,0.00298
A,Nam2023b,1,0,3.0,5,44,0.002965
A,Nam2023b,1,0,3.0,5,45,0.002952
A,Nam2023b,1,0,3.0,5,46,0.002984
A,Nam2023b,1,0,3.0,5,47,0.002992
A,Nam2023b,1,0,3.0,5,48,0.003027
A,Nam2023b,1,0,3.0,5,49,0.002921
A,Nam2023b,1,0,3.0,5,50,0.002932
A,Nam2023b,1,0,3.0,5,51,0.002942
A,Nam2025,1,0,3.0,5,42,0.004478
A,Nam2025,1,0,3.0,5,43,0.004466
A,Nam2025,1,0,3.0,5,44,0.004465
A,Nam2025,1,0,3.0,5,45,0.004431
A,Nam2025,1,0,3.0,5,46,0.004476
A,Nam2025,1,0,3.0,5,47,0.004496
A,Nam2025,1,0,3.0,5,48,0.004518
A,Nam2025,1,0,3.0,5,49,0.004418
A,Nam2025,1,0,3.0,5,50,0.00442
A,Nam2025,1,0,3.0,5,51,0.004438
A,Youn2026,1,0,3.0,5,42,0.004478
A,Youn2026,1,0,3.0,5,43,0.004466
A,Youn2026,1,0,3.0,5,44,0.004465
