scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CHR
A,V2V-Base,1,0,2.0,5,43,0.999427
A,V2V-Base,1,0,2.0,5,44,0.999442
A,V2V-Base,1,0,2.0,5,45,0.999433
A,V2V-Base,1,0,2.0,5,46,0.999426
A,V2V-Base,1,0,2.0,5,47,0.999448
A,V2V-Base,1,0,2.0,5,48,0.999447
A,V2V-Base,1,0,2.0,5,49,0.999424
A,V2V-Base,1,0,2.0,5,50,0.999443
A,V2V-Base,1,0,2.0,5,51,0.999456
A,Random-K,1,0,2.0,5,42,0.999309
A,Random-K,1,0,2.0,5,43,0.999225
A,Random-K,1,0,2.0,5,44,0.999284
A,Random-K,1,0,2.0,5,45,0.999278
A,Random-K,1,0,2.0,5,46,0.999251
A,Random-K,1,0,2.0,5,47,0.999238
A,Random-K,1,0,2.0,5,48,0.999276
A,Random-K,1,0,2.0,5,49,0.999292
A,Random-K,1,0,2.0,5,50,0.999233
A,Random-K,1,0,2.0,5,51,0.999239
A,RILP,1,0,3.0,5,42,0.438361
A,RILP,1,0,3.0,5,43,0.438181
A,RILP,1,0,3.0,5,44,0.43852
A,RILP,1,0,3.0,5,45,0.438272
A,RILP,1,0,3.0,5,46,0.438622
A,RILP,1,0,3.0,5,47,0.438194
A,RILP,1,0,3.0,5,48,0.438246
A,RILP,1,0,3.0,5,49,0.438398
A,RILP,1,0,3.0,5,50,0.438291
A,RILP,1,0,3.0,5,51,0.438268
A,RILP-Greedy,1,0,3.0,5,42,0.438361
A,RILP-Greedy,1,0,3.0,5,43,0.438181
A,RILP-Greedy,1,0,3.0,5,44,0.43852
A,RILP-Greedy,1,0,3.0,5,45,0.438272
A,RILP-Greedy,1,0,3.0,5,46,0.438622
A,RILP-Greedy,1,0,3.0,5,47,0.438194
A,RILP-Greedy,1,0,3.0,5,48,0.438246
A,RILP-Greedy,1,0,3.0,5,49,0.438398
A,RILP-Greedy,1,0,3.0,5,50,0.438291
A,RILP-Greedy,1,0,3.0,5,51,0.438268
A,Nam2023b,1,0,3.0,5,42,0.291513
A,Nam2023b,1,0,3.0,5,43,0.29153
A,Nam2023b,1,0,3.0,5,44,0.291482
A,Nam2023b,1,0,3.0,5,45,0.291602
A,Nam2023b,1,0,3.0,5,46,0.291529
A,Nam2023b,1,0,3.0,5,47,0.291325
A,Nam2023b,1,0,3.0,5,48,0.291279
A,Nam2023b,1,0,3.0,5,49,0.291563
A,Nam2023b,1,0,3.0,5,50,0.291497
A,Nam2023b,1,0,3.0,5,51,0.291294
A,Nam2025,1,0,3.0,5,42,0.438361
A,Nam2025,1,0,3.0,5,43,0.438181
A,Nam2025,1,0,3.0,5,44,0.43852
A,Nam2025,1,0,3.0,5,45,0.438272
A,Nam2025,1,0,3.0,5,46,0.438622
A,Nam2025,1,0,3.0,5,47,0.438194
A,Nam2025,1,0,3.0,5,48,0.438246
A,Nam2025,1,0,3.0,5,49,0.438398
A,Nam2025,1,0,3.0,5,50,0.438291
A,Nam2025,1,0,3.0,5,51,0.438268
A,Youn2026,1,0,3.0,5,42,0.438361
A,Youn2026,1,0,3.0,5,43,0.438181
A,Youn2026,1,0,3.0,5,44,0.43852
A,Youn2026,1,0,3.0,5,45,0.438272
A,Youn2026,1,0,3.0,5,46,0.438622
A,Youn2026,1,0,3.0,5,47,0.438194
A,Youn2026,1,0,3.0,5,48,0.438246
A,Youn2026,1,0,3.0,5,49,0.438398
A,Youn2026,1,0,3.0,5,50,0.438291
A,Youn2026,1,0,3.0,5,51,0.438268
A,V2I-Base,1,0,3.0,5,42,0.438361
A,V2I-Base,1,0,3.0,5,43,0.438181
A,V2I-Base,1,0,3.0,5,44,0.43852
A,V2I-Base,1,0,3.0,5,45,0.438272
A,V2I-Base,1,0,3.0,5,46,0.438622
A,V2I-Base,1,0,3.0,5,47,0.438194
A,V2I-Base,1,0,3.0,5,48,0.438246
A,V2I-Base,1,0,3.0,5,49,0.438398
A,V2I-Base,1,0,3.0,5,50,0.438291
A,V2I-Base,1,0,3.0,5,51,0.438268
A,V2V-Base,1,0,3.0,5,42,0.999325
A,V2V-Base,1,0,3.0,5,43,0.999379
A,V2V-Base,1,0,3.0,5,44,0.999411
A,V2V-Base,1,0,3.0,5,45,0.999391
A,V2V-Base,1,0,3.0,5,46,0.999367
A,V2V-Base,1,0,3.0,5,47,0.9994
A,V2V-Base,1,0,3.0,5,48,0.99939
A,V2V-Base,1,0,3.0,5,49,0.999395
A,V2V-Base,1,0,3.0,5,50,0.999389
A,V2V-Base,1,0,3.0,5,51,0.999404
A,Random-K,1,0,3.0,5,42,0.999222
A,Random-K,1,0,3.0,5,43,0.999225
A,Random-K,1,0,3.0,5,44,0.999284
A,Random-K,1,0,3.0,5,45,0.999278
A,Random-K,1,0,3.0,5,46,0.999251
A,Random-K,1,0,3.0,5,47,0.999238
A,Random-K,1,0,3.0,5,48,0.999276
A,Random-K,1,0,3.0,5,49,0.999292
A,Random-K,1,0,3.0,5,50,0.999233
A,Random-K,1,0,3.0,5,51,0.999239
A,RILP,1,10,0.0,5,42,0.438361
A,RILP,1,10,0.0,5,43,0.438181
A,RILP,1,10,0.0,5,44,0.43852
A,RILP,1,10,0.0,5,45,0.438272
A,RILP,1,10,0.0,5,46,0.438622
A,RILP,1,10,0.0,5,47,0.438194
A,RILP,1,10,0.0,5,48,0.438246
A,RILP,1,10,0.0,5,49,0.438398
A,RILP,1,10,0.0,5,50,0.438291
A,RILP,1,10,0.0,5,51,0.438268
A,RILP-Greedy,1,10,0.0,5,42,0.438361
A,RILP-Greedy,1,10,0.0,5,43,0.438181
A,RILP-Greedy,1,10,0.0,5,44,0.43852
A,RILP-Greedy,1,10,0.0,5,45,0.438272
A,RILP-Greedy,1,10,0.0,5,46,0.438622
A,RILP-Greedy,1,10,0.0,5,47,0.438194
A,RILP-Greedy,1,10,0.0,5,48,0.438246
A,RILP-Greedy,1,10,0.0,5,49,0.438398
A,RILP-Greedy,1,10,0.0,5,50,0.438291
A,RILP-Greedy,1,10,0.0,5,51,0.438268
A,Nam2023b,1,10,0.0,5,42,0.291513
A,Nam2023b,1,10,0.0,5,43,0.29153
A,Nam2023b,1,10,0.0,5,44,0.291482
A,Nam2023b,1,10,0.0,5,45,0.291602
A,Nam2023b,1,10,0.0,5,46,0.291529
A,Nam2023b,1,10,0.0,5,47,0.291325
A,Nam2023b,1,10,0.0,5,48,0.291279
A,Nam2023b,1,10,0.0,5,49,0.291563
A,Nam2023b,1,10,0.0,5,50,0.291497
A,Nam2023b,1,10,0.0,5,51,0.291294
A,Nam2025,1,10,0.0,5,42,0.438361
A,Nam2025,1,10,0.0,5,43,0.438181
A,Nam2025,1,10,0.0,5,44,0.43852
A,Nam2025,1,10,0.0,5,45,0.438272
A,Nam2025,1,10,0.0,5,46,0.438622
A,Nam2025,1,10,0.0,5,47,0.438194
A,Nam2025,1,10,0.0,5,48,0.438246
A,Nam2025,1,10,0.0,5,49,0.438398
A,Nam2025,1,10,0.0,5,50,0.438291
A,Nam2025,1,10,0.0,5,51,0.438268
A,Youn2026,1,10,0.0,5,42,0.438361
A,Youn2026,1,10,0.0,5,43,0.438181
A,Youn2026,1,10,0.0,5,44,0.43852
A,Youn2026,1,10,0.0,5,45,0.438272
A,Youn2026,1,10,0.0,5,46,0.438622
A,Youn2026,1,10,0.0,5,47,0.438194
A,Youn2026,1,10,0.0,5,48,0.438246
A,Youn2026,1,10,0.0,5,49,0.438398
A,Youn2026,1,10,0.0,5,50,0.438291
A,Youn2026,1,10,0.0,5,51,0.438268
A,V2I-Base,1,10,0.0,5,42,0.438361
A,V2I-Base,1,10,0.0,5,43,0.438181
A,V2I-Base,1,10,0.0,5,44,0.43852
A,V2I-Base,1,10,0.0,5,45,0.438272
A,V2I-Base,1,10,0.0,5,46,0.438622
A,V2I-Base,1,10,0.0,5,47,0.438194
A,V2I-Base,1,10,0.0,5,48,0.438246
A,V2I-Base,1,10,0.0,5,49,0.438398
A,V2I-Base,1,10,0.0,5,50,0.438291
A,V2I-Base,1,10,0.0,5,51,0.438268
A,V2V-Base,1,10,0.0,5,42,0.999325
A,V2V-Base,1,10,0.0,5,43,0.999379
A,V2V-Base,1,10,0.0,5,44,0.999411
A,V2V-Base,1,10,0.0,5,45,0.999391
A,V2V-Base,1,10,0.0,5,46,0.999367
A,V2V-Base,1,10,0.0,5,47,0.9994
A,V2V-Base,1,10,0.0,5,48,0.99939
A,V2V-Base,1,10,0.0,5,49,0.999395
A,V2V-Base,1,10,0.0,5,50,0.999389
A,V2V-Base,1,10,0.0,5,51,0.999404
A,Random-K,1,10,0.0,5,42,0.999222
A,Random-K,1,10,0.0,5,43,0.999225
A,Random-K,1,10,0.0,5,44,0.999284
A,Random-K,1,10,0.0,5,45,0.999278
A,Random-K,1,10,0.0,5,46,0.999251
A,Random-K,1,10,0.0,5,47,0.999238
A,Random-K,1,10,0.0,5,48,0.999276
A,Random-K,1,10,0.0,5,49,0.999292
A,Random-K,1,10,0.0,5,50,0.999233
A,Random-K,1,10,0.0,5,51,0.999239
A,RILP,1,10,1.0,5,42,0.438361
A,RILP,1,10,1.0,5,43,0.438181
A,RILP,1,10,1.0,5,44,0.43852
A,RILP,1,10,1.0,5,45,0.438272
A,RILP,1,10,1.0,5,46,0.438622
A,RILP,1,10,1.0,5,47,0.438194
A,RILP,1,10,1.0,5,48,0.438246
A,RILP,1,10,1.0,5,49,0.438398
A,RILP,1,10,1.0,5,50,0.438291
A,RILP,1,10,1.0,5,51,0.438268
A,RILP-Greedy,1,10,1.0,5,42,0.438361
A,RILP-Greedy,1,10,1.0,5,43,0.438181
A,RILP-Greedy,1,10,1.0,5,44,0.43852
A,RILP-Greedy,1,10,1.0,5,45,0.438272
A,RILP-Greedy,1,10,1.0,5,46,0.438622
A,RILP-Greedy,1,10,1.0,5,47,0.438194
A,RILP-Greedy,1,10,1.0,5,48,0.438246
A,RILP-Greedy,1,10,1.0,5,49,0.438398
A,RILP-Greedy,1,10,1.0,5,50,0.438291
A,RILP-Greedy,1,10,1.0,5,51,0.438268
A,Nam2023b,1,10,1.0,5,42,0.291513
A,Nam2023b,1,10,1.0,5,43,0.29153
A,Nam2023b,1,10,1.0,5,44,0.291482
A,Nam2023b,1,10,1.0,5,45,0.291602
A,Nam2023b,1,10,1.0,5,46,0.291529
A,Nam2023b,1,10,1.0,5,47,0.291325
A,Nam2023b,1,10,1.0,5,48,0.291279
A,Nam2023b,1,10,1.0,5,49,0.291563
A,Nam2023b,1,10,1.0,5,50,0.291497
A,Nam2023b,1,10,1.0,5,51,0.291294
A,Nam2025,1,10,1.0,5,42,0.438361
A,Nam2025,1,10,1.0,5,43,0.438181
A,Nam2025,1,10,1.0,5,44,0.43852
A,Nam2025,1,10,1.0,5,45,0.438272
A,Nam2025,1,10,1.0,5,46,0.438622
A,Nam2025,1,10,1.0,5,47,0.438194
A,Nam2025,1,10,1.0,5,48,0.438246
A,Nam2025,1,10,1.0,5,49,0.438398
A,Nam2025,1,10,1.0,5,50,0.438291
A,Nam2025,1,10,1.0,5,51,0.438268
A,Youn2026,1,10,1.0,5,42,0.438361
A,Youn2026,1,10,1.0,5,43,0.438181
A,Youn2026,1,10,1.0,5,44,0.43852
A,Youn2026,1,10,1.0,5,45,0.438272
A,Youn2026,1,10,1.0,5,46,0.438622
A,Youn2026,1,10,1.0,5,47,0.438194
A,Youn2026,1,10,1.0,5,48,0.438246
A,Youn2026,1,10,1.0,5,49,0.438398
A,Youn2026,1,10,1.0,5,50,0.438291
A,Youn2026,1,10,1.0,5,51,0.438268
A,V2I-Base,1,10,1.0,5,42,0.438361
A,V2I-Base,1,10,1.0,5,43,0.438181
A,V2I-Base,1,10,1.0,5,44,0.43852
A,V2I-Base,1,10,1.0,5,45,0.438272
A,V2I-Base,1,10,1.0,5,46,0.438622
A,V2I-Base,1,10,1.0,5,47,0.438194
A,V2I-Base,1,10,1.0,5,48,0.438246
A,V2I-Base,1,10,1.0,5,49,0.438398
A,V2I-Base,1,10,1.0,5,50,0.438291
A,V2I-Base,1,10,1.0,5,51,0.438268
