scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,RLBI
A,Nam2023b,1,0,2.0,5,49,0.989817
A,Nam2023b,1,0,2.0,5,50,0.98975
A,Nam2023b,1,0,2.0,5,51,0.989791
A,Nam2025,1,0,2.0,5,42,0.989703
A,Nam2025,1,0,2.0,5,43,0.989754
A,Nam2025,1,0,2.0,5,44,0.989828
A,Nam2025,1,0,2.0,5,45,0.989789
A,Nam2025,1,0,2.0,5,46,0.989784
A,Nam2025,1,0,2.0,5,47,0.989814
A,Nam2025,1,0,2.0,5,48,0.989625
A,Nam2025,1,0,2.0,5,49,0.989817
A,Nam2025,1,0,2.0,5,50,0.98975
A,Nam2025,1,0,2.0,5,51,0.989791
A,Youn2026,1,0,2.0,5,42,0.989703
A,Youn2026,1,0,2.0,5,43,0.989754
A,Youn2026,1,0,2.0,5,44,0.989828
A,Youn2026,1,0,2.0,5,45,0.989789
A,Youn2026,1,0,2.0,5,46,0.989784
A,Youn2026,1,0,2.0,5,47,0.989814
A,Youn2026,1,0,2.0,5,48,0.989625
A,Youn2026,1,0,2.0,5,49,0.989817
A,Youn2026,1,0,2.0,5,50,0.98975
A,Youn2026,1,0,2.0,5,51,0.989791
A,V2I-Base,1,0,2.0,5,42,0.989703
A,V2I-Base,1,0,2.0,5,43,0.989754
A,V2I-Base,1,0,2.0,5,44,0.989828
A,V2I-Base,1,0,2.0,5,45,0.989789
A,V2I-Base,1,0,2.0,5,46,0.989784
A,V2I-Base,1,0,2.0,5,47,0.989814
A,V2I-Base,1,0,2.0,5,48,0.989625
A,V2I-Base,1,0,2.0,5,49,0.989817
A,V2I-Base,1,0,2.0,5,50,0.98975
A,V2I-Base,1,0,2.0,5,51,0.989791
A,V2V-Base,1,0,2.0,5,42,0.989703
A,V2V-Base,1,0,2.0,5,43,0.989754
A,V2V-Base,1,0,2.0,5,44,0.989828
A,V2V-Base,1,0,2.0,5,45,0.989789
A,V2V-Base,1,0,2.0,5,46,0.989784
A,V2V-Base,1,0,2.0,5,47,0.989814
A,V2V-Base,1,0,2.0,5,48,0.989625
A,V2V-Base,1,0,2.0,5,49,0.989817
A,V2V-Base,1,0,2.0,5,50,0.98975
A,V2V-Base,1,0,2.0,5,51,0.989791
A,Random-K,1,0,2.0,5,42,0.989703
A,Random-K,1,0,2.0,5,43,0.989824
A,Random-K,1,0,2.0,5,44,0.989801
A,Random-K,1,0,2.0,5,45,0.989865
A,Random-K,1,0,2.0,5,46,0.989785
A,Random-K,1,0,2.0,5,47,0.989803
A,Random-K,1,0,2.0,5,48,0.989722
A,Random-K,1,0,2.0,5,49,0.989926
A,Random-K,1,0,2.0,5,50,0.989885
A,Random-K,1,0,2.0,5,51,0.98986
A,RILP,1,0,3.0,5,42,0.989768
A,RILP,1,0,3.0,5,43,0.989824
A,RILP,1,0,3.0,5,44,0.989801
A,RILP,1,0,3.0,5,45,0.989865
A,RILP,1,0,3.0,5,46,0.989785
